id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9425,ホテルサンシャイン,/yad331782/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331782&callbackHistFlg=1,ひがし北海道の玄関口・網走＆紋別に程近く道内でも珍しいスイッチバックがある特急停車駅の遠軽駅から徒歩５分！ビジネス利用はもちろん、道東観光にも便利な立地♪全室Wi-Fi完備の機能的なホテル！,【アクセス】特急停車駅の遠軽駅から徒歩5分！,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥7,777〜","（￥3,888〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9426,海山美味の宿　サロマ湖悠林館,/yad315165/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315165&callbackHistFlg=1,シンプルな調理法で飾らず素材そのものの美味しさをたっぷりと味わえる料理を用意。沈む夕陽を眺めながら四季それぞれに旬の新鮮な魚貝をゆっくりと楽しめる。,【アクセス】網走市内から国道238号線経由で約50キロ。道の駅サロマ湖のすぐ近く,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥25,600〜","（￥12,800〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9427,ホテル オホーツクパレス紋別,/yad321798/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321798&callbackHistFlg=1,１５周年を迎える紋別のシティホテル。館内Ｗｉ−Ｆｉ接続無料！市内の中心バスターミナルに隣接。【四季折々のオホーツク海を一望できる客室】と【オホーツクの海の幸を使った料理】でお出迎えします。,【アクセス】紋別空港より車で約１５分。ＪＲ遠軽駅より車で約１時間。旭川紋別自動車道・浮島ＩＣより車で約９０分,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9428,ファームイン冨田,/yad327729/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327729&callbackHistFlg=1,新鮮な自家製チーズ、地域の拘った食材でのおもてなし…オホーツクの恵まれた自然と動物たちとのふれあいで、ゆっくりと時を刻んでみてはいかが？心、癒されます…,【アクセス】旧宇津小学校横　赤いサイロの目印があります,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9429,ビジネスホテル　タカハシイン（旧ホテルときわ）,/yad337092/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337092&callbackHistFlg=1,◆□無料駐車場は屋根付きでいつでも快適□◆遠軽駅や市街地に近く、周辺には飲食店も多い。家庭的なおもてなしで、長期滞在にもおススメです。,【アクセス】JR遠軽駅下車徒歩２分　北海道北見バス遠軽ターミナル下車徒歩5分,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥8,100〜","（￥4,050〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9430,たきのうえホテル渓谷,/yad344798/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=344798&callbackHistFlg=1,清流・渚滑川の渓谷に建つお城風のホテル。日本の歩きたくなる道500選に選ばれた滝上渓谷の遊歩道は、豊かな河畔林と滝から発するマイナスイオンに包まれ、深い癒しの効果を体感させてくれます。,【アクセス】旭川市より・・・高速道路　浮島インター下車　国道273号線経由（約1時間45分）,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9431,マウレ山荘,/yad348108/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348108&callbackHistFlg=1,三角屋根に真っ白な壁が印象的なリゾートホテル。温泉は湯冷めしにくく肌がなめらかになるアルカリ性単純泉。温泉付きの部屋や温泉付きのコテージもあり。夕食は地元の食材を使った和洋折衷のコース料理。,【アクセス】ＪＲ丸瀬布駅・旭川紋別自動車道丸瀬布ＩＣから車で１５分。,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥20,370〜","（￥10,185〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9432,ビジネスホテル　タカハシ,/yad369740/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369740&callbackHistFlg=1,ＪＲ遠軽駅徒歩１分と好立地のビジネスホテルです。ビジネスはもちろん、レジャーにも便利。家庭的な雰囲気であなたをお出迎えいたしますので、気軽に立ち寄ってください。,【アクセス】ＪＲ遠軽駅より徒歩１分、バスセンターより徒歩３分,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥8,100〜","（￥4,050〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433,紋別プリンスホテル,/yad374325/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=374325&callbackHistFlg=1,流氷とカニの町紋別。天然温泉の湧き出るお湯が、旅の疲れを癒します。海側の客室からはオホーツク海を180度のパノラマで展望でき、レストランでは活がにをはじめとするオホーツクの海の幸を堪能できます。,【アクセス】旭川紋別自動車道、浮島ＩＣより滝上方面に向かい滝上より30ｋｍ、又は丸瀬布ICより鴻之舞方面へ,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434,オホーツク温泉　ホテル日の出岬,/yad381795/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=381795&callbackHistFlg=1,オホーツクの幸に舌鼓！新鮮な海の幸と感動的なロケーションが当館の自慢です。客室・大浴場からは、四季折々のオホーツク海がご堪能いただけ、冬には眼前に迫る流氷をご覧頂くこともできます。,【アクセス】JR名寄駅下車、名士バス、北紋バスを乗り継ぎ約２時間,エリア ： 北海道 > サロマ・紋別,2016-03-27 08:31:19,2016-03-27 08:31:19,"￥20,833〜","（￥10,416〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
