id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4516,薬研温泉 ホテルニュー薬研,/yad314035/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314035&callbackHistFlg=1,本州最北の極楽♪渓流に面した森林浴のできる開放的な露天や、青森ひばの爽やかな香りに包まれた総ひば造りの大浴場は源泉掛け流し。季節限定で、本場【大間のまぐろ】など海の幸や郷土料理が味わえる。,【アクセス】JR大湊線下北駅からバス大畑駅下車（45分）＋送迎バス（20分）※無料・要予約／三沢ICより約2時間,エリア ： 青森県 > 下北半島,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,むつグランドホテル,/yad320212/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320212&callbackHistFlg=1,むつグランドホテルはむつ市のランドマークホテルとして市の東部の丘にあり、下北半島国定公園観光の一大拠点としてご利用いただけます。スタッフ一同思い出に残る旅づくりをお手伝いさせていただきます。,【アクセス】ＪＲ下北駅よりタクシーで8分。前日までのご予約で、下北駅に列車の到着時間に合わせて無料送迎あり。,エリア ： 青森県 > 下北半島,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥11,074〜","（￥5,537〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518,プラザホテルむつ,/yad351677/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351677&callbackHistFlg=1,★★浴室に窓のついたビューバスルームあり★★下北唯一の本格的シティホテル！JR下北駅より徒歩2分で立地抜群！ヒバ風呂など多様なお部屋タイプも人気♪青森の名物郷土料理なども好評です☆,【アクセス】ＪＲ大湊線下北駅から徒歩2分,エリア ： 青森県 > 下北半島,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,ホテルユニサイトむつ,/yad361674/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=361674&callbackHistFlg=1,むつ市繁華街中心の好立地に2008年5月30日グランドオープン！ビジネスや観光に便利。禁煙ルーム、レディースルームも有り。立体駐車場、青空駐車場は70台まで収容。【全室Wi-Fi完備】,【アクセス】JR大湊線下北駅下車、タクシーで9分、徒歩30分,エリア ： 青森県 > 下北半島,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥6,944〜","（￥3,472〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4520,ホテルニューグリーン,/yad385017/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385017&callbackHistFlg=1,★★バスターミナル至近★★《下北駅より車で6分》駐車場無料◎全室インターネットＯＫ！禁煙室あり♪ビジネスやむつ・下北・恐山観光の拠点としてもオススメ♪,【アクセス】JR下北駅よりタクシー６分。または下北交通バス消防署前バス停からすぐ。,エリア ： 青森県 > 下北半島,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4521,駅前ホテルニューレスト,/yad317585/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317585&callbackHistFlg=1,■■弘前駅より徒歩３分＆弘前城まで車で10分の好立地■■≪館内全客室Wi-Fi対応≫当日24時まで予約受付ＯＫ★駐車場は1泊300円。館内にはお食事処「味京」がございます。ビジネスや観光の拠点として便利！,【アクセス】ＪＲ弘前駅中央口より徒歩３分。東北道、大鰐弘前ＩＣより車で約２０分。青森空港から空港線バスで約５０分,エリア ： 青森県 > 弘前・白神,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥5,185〜","（￥2,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4522,ホテルナクアシティ弘前／旧ベストウェスタンＨニューシティ弘前,/yad324718/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324718&callbackHistFlg=1,ＪＲ弘前駅前に位置し津軽路の観光・ビジネスに最適な立地。館内コンビニ有。ご家族のご宿泊大歓迎！！ご家族向けトリプルルーム、キングダブルベッドルーム新設！！自慢の朝食はクチコミ評価4.6！！,【アクセス】ＪＲ弘前駅中央口徒歩１分。青森空港よりバス６０分。東北自動車道大鰐・弘前ＩＣより約２０分。,エリア ： 青森県 > 弘前・白神,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥6,000〜","（￥3,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4523,ホテルルートイン弘前駅前,/yad327415/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327415&callbackHistFlg=1,ＪＲ弘前駅の真正面！バイキング朝食・立体駐車場無料（先着順・車高車幅制限有。装備品付不可。詳細はホテルにお問合せ下さい）ビジネス・観光に最適なホテル♪ぜひルートイン弘前駅前へお越し下さいませ☆,【アクセス】ＪＲ奥羽本線弘前駅より徒歩３分,エリア ： 青森県 > 弘前・白神,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥8,657〜","（￥4,328〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,温泉旅館　清明館,/yad328664/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328664&callbackHistFlg=1,岩木山登山や岩木山神社への観光、岩木運動公園、百沢スキー場と近場には、自然にかこまれた施設が充実している。疲れには源泉かけ流しの温泉と手作り料理（季節によって山菜料理）でおもてなし,【アクセス】JR弘前駅下車、弘前〜枯木平宣（百沢経由）岩木山神社前下車,エリア ： 青森県 > 弘前・白神,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥17,222〜","（￥8,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,齋栄旅館,/yad335425/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335425&callbackHistFlg=1,弘前の観光スポットを巡るにはベストポジションな旅館☆創業１２８年の歴史を受け継ぐ女将が笑顔で貴方をお待ちしております。,【アクセス】JR弘前駅、バスターミナル〜車で５分。青森空港〜バス(弘前バスターミナル行)５０分→弘前駅→車で５分。,エリア ： 青森県 > 弘前・白神,2016-03-28 02:03:52,2016-03-28 02:03:52,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
