id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,天然温泉付　ペンション＆貸別荘　レンガ館,/yad301590/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301590&callbackHistFlg=1,アンティークな隠れ家を、貸切で仲間と楽しもう！ゼミ・同僚・数家族のグループ旅行に！☆自炊設備完備☆　パーティーにもいいかも！★学生さん限定プラン受付中★,【アクセス】東北自動車道松尾八幡平インターより八幡平温泉郷方向へ車で15分,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥50,925〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,カントリーハウス　　せき,/yad303854/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303854&callbackHistFlg=1,手軽な料金で宿泊できる民宿。産地の野菜を使った料理やしゃぶしゃぶ食べ放題プランも人気。スキーの後は思う存分食べて楽しもう。,【アクセス】ＪＲ花輪線赤坂田駅下車徒歩３分。東北自動車道松尾八幡平ＩＣ、安代ＩＣから１０から２０分。,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,民宿せきとよ,/yad305070/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305070&callbackHistFlg=1,館内はゆったり広々。足を伸ばして思いっきりくつろげる。田舎の暖かみ伝わる料理で使用する野菜は手作り！自慢の鍋や女将さんの手打ちそばも楽しめる。満腹満足の食事の後は、ヘルストン温泉でゆったり！！,【アクセス】東北自動車道松尾八幡平ICまたは安代ICより車で１５〜２０分,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,ペンション　ウィングライト,/yad307062/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307062&callbackHistFlg=1,二百種の宿根草、山野草のロックガーデンは必見。ブナ二次林のガイドや安比温泉などの秘境探索も好評。地産食材を生かした舞茸のポタージュやチャージョー、ランチはホーレン草のカレーやチャイが人気。,【アクセス】安比高原スキー場まで徒歩５分。スキー場ふもとのペンションヴィレッジ内,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,稲庭交流センター　天台の湯,/yad307391/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307391&callbackHistFlg=1,山々に囲まれた、緩やかな傾斜の稲庭高原に位置し、自然の息吹を感じて心も身体もリフレッシュ！地元食材をふんだんに使った料理も自慢。準トロン温泉のお風呂につかれば旅の疲れもさっぱりと流される,【アクセス】東北新幹線二戸駅下車、車で約30分,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥8,750〜","（￥4,375〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,ペンション　ベアーズロック,/yad309117/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309117&callbackHistFlg=1,使い方は貴方次第。自由に厨房を使って料理自慢もOK。大人の時間を大切に、「おいしいもの」をみつけたい貴方には・・・「ＣＨＥＺ　ＪＯＨＮＮＹ」へお連れします。,【アクセス】東北自動車道松尾八幡平IC下車約10分。安代IC下車約15分。JR花輪線安比高原駅下車,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,安比高原カムイの森ユースホステル,/yad311954/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311954&callbackHistFlg=1,大自然と遊ぶ！体験！体感！安比高原駅を降りると高原の清涼な大気に包まれて、大自然の中で心身リフレッシュ。豊かな自然の中や生態系とフィールドパートナーが案内します。ブナの森散策等体験プログラム有,【アクセス】盛岡駅より花輪線乗り換え安比高原駅下車徒歩２．５Km,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,ログ・ハウス　森のなかまたち,/yad312450/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312450&callbackHistFlg=1,美しい自然に囲まれて、ホットできるログハウスで心を休めて下さい。ゆっくり、のんびりできるひとときを過ごされるように、そ〜っとお手伝いしたいと思います。わんこやにゃんこのお越しも待っております。,【アクセス】東北自動車道インターより車で15分。,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥14,814〜","（￥7,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,ペンションアドバンテージ,/yad313734/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313734&callbackHistFlg=1,八幡平温泉郷の中の小さなペンション。天然温泉とちょっぴり自慢なお食事でゆったりお過ごしください。,【アクセス】松尾八幡平ＩＣから八幡平温泉郷方向へ約２０分、目印はライジングサンホテルから約５００ｍ先,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,ペンション　日の出,/yad314094/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314094&callbackHistFlg=1,木立に囲まれた静かな環境に立地する清潔感あふれるペンション。全５室の小さな宿ならではの手づくり料理も美味。温泉貸切・テニスコート利用（ラケット・ボール含む）は無料でＯＫ。,【アクセス】東北自動車道松尾八幡平ICから八幡平温泉郷方面へ車で15分。盛岡駅から八幡平方面へバスで90分。,エリア ： 岩手県 > 安比・八幡平・二戸,2016-03-28 02:07:42,2016-03-28 02:07:42,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
