id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,ファミリーロッジ旅籠屋・仙台亘理店,/yad306620/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306620&callbackHistFlg=1,広い客室にクイーンサイズベッド２台を配置した人気のロードサイドホテル。朝軽食・WiFi＆ネット接続・駐車場いずれも無料。コインランドリーあり。ご家族、カップルやグループ、ビジネスにも最適。,【アクセス】仙台東部道路「亘理インター」から約1.7km、仙台空港から約8km,エリア ： 宮城県 > 角田,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥8,300〜","（￥4,150〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,南三陸ホテル観洋,/yad308160/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308160&callbackHistFlg=1,目の前に広がるオーシャンビューは、誰もが唸る絶景！震災を風化させないための「語り部バス」は防災教育として好評です。海の幸海鮮料理でお腹も満足♪キッズルームや観光船もありファミリーも大満足！,【アクセス】三陸自動車道桃生津山ＩＣより車で25分。陸前戸倉駅（ＢＲＴバス停）より徒歩25分（無料送迎有※要予約）,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,サンマリン気仙沼ホテル観洋,/yad310253/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310253&callbackHistFlg=1,東洋一と呼ばれる港町気仙沼。気仙沼魚市場より車で１分の高台に建つ天然温泉の宿！親会社が水産会社で、気仙沼港から直送の新鮮な魚介類を贅沢に提供♪天然温泉では「浮遊浴」をお楽しみいただけます。,【アクセス】JR気仙沼駅からタクシー10分、東北自動車道一関ICから70分,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,南三陸　民宿　清観荘,/yad310720/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310720&callbackHistFlg=1,この度の東日本大震災において、多くの方々より心温まるご支援をいただき心より感謝いたします。まだまだ復興の道半ばですが、海の恵みと多くの笑顔に支えられての営業です。,【アクセス】仙台からは三陸自動車道を北へ60分　登米東和インターより車で30分。,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥12,592〜","（￥6,296〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,ホテルパールシティ気仙沼　（HMIホテルグループ）,/yad313005/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313005&callbackHistFlg=1,【全客室リニューアルオープン！】疲れを癒してくれる客室は落ち着ける雰囲気で快適、三陸の旅やビジネス、復興支援等で来訪の方にも便利でおすすめのシティホテルです。,【アクセス】車：東北自動車道一関ICより70分。三陸自動車道津山ICより90分。電車：ＪＲ気仙沼駅真正面。,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥8,351〜","（￥4,175〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,南三陸まなびの里　いりやど,/yad318480/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318480&callbackHistFlg=1,★土曜日も同料金のリーズナブルに宿泊できる宿★全て南三陸で獲れた海の幸・山の幸を使った田舎料理を堪能し、地元スタッフのおもてなしに癒される♪研修宿泊施設として２０１２年ＯＰＥＮ,【アクセス】《三陸道》登米・東和インターより、東へ車で１０分。《電車》ＢＲＴ志津川で下車、タクシーで５分,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,日の出の見える宿　ニュー泊崎荘,/yad319089/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319089&callbackHistFlg=1,『おらほさきてけさいん』のＣＭでお馴染み♪南三陸近海で水揚げの新鮮魚介を堪能できる料理自慢の宿。★歓迎ショーや、手作りお菓子（ロールケーキ等）が好評。,【アクセス】,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥24,416〜","（￥12,208〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,アコモイン気仙沼,/yad328296/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328296&callbackHistFlg=1,気仙沼エリア宿泊実績ＮＯ１★ＪＲ気仙沼駅より車3分・徒歩10分★「有名マットレス&枕の貸出コーナー」がビジネスマンに人気♪無料Ｐ140台！無料・無線ＬＡＮ全室完備！最高の笑顔でお迎えします♪,【アクセス】ＪＲ気仙沼駅より車で約３分・徒歩約１０分。東北道『一関IC』から車で約６０分。三陸道からも好アクセス☆,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥8,055〜","（￥4,027〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,民宿　崎野屋,/yad329817/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329817&callbackHistFlg=1,気仙沼の復興を応援する宿。復興に携わる工事関係やボランティアの皆様、ビジネスマンや気仙沼に訪問される皆様を格安料金で応援します。,【アクセス】JR陸前階上駅より車で5分,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,気仙沼プラザホテル,/yad338076/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338076&callbackHistFlg=1,☆★夕食口コミ4.7★☆気仙沼湾を一望する高台に立つホテル！地下1800ｍから湧き出る天然温泉に浸かりながらぷかぷか“浮遊浴”♪御食事は旬の食材を活かした海鮮御膳をご用意〜ホテル観洋グループ〜,【アクセス】東北自動車道一ノ関ＩＣより国道284経由気仙沼方面へ約70分,エリア ： 宮城県 > 気仙沼・本吉,2016-03-28 02:15:22,2016-03-28 02:15:22,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
