id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,泥湯温泉　奥山旅館,/yad347284/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347284&callbackHistFlg=1,深山に立ち上る源泉の湯気。山あいにぽつり、手つかずの自然と溶け込むように湧く、秘境の出湯です。大露天風呂や岩風呂、足湯など、趣の異なる四つの湯で、四季折々の景色と共ににごり湯をお楽しみ下さい！,【アクセス】JR奥羽本線湯沢駅下車、車50分（5名以上送迎可）／国道108号、13号、県道51号（湯沢栗駒公園）を経て泥湯へ,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥13,277〜","（￥6,638〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3812,ホテルプラザアネックス横手,/yad302794/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=302794&callbackHistFlg=1,最上階には日常の喧騒を離れ沈む夕日を眺望する展望温泉空間が拡がる。玉川産北投石岩盤浴や露天風呂付客室等多様なニーズに応え高い利便性と癒しをテーマにした快適なホテル,【アクセス】JR奥羽本線横手駅から徒歩1分、秋田自動車道横手ICより車で5分,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3813,ホテルウェルネス横手路（HMIホテルグループ）,/yad306052/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306052&callbackHistFlg=1,秋田ふるさと村に隣接し角館や田沢湖などへの旅にも便利な位置にあります。観光、ご宿泊、温泉保養、各種ご宴会などにご利用いただけます。,【アクセス】秋田自動車道横手ICより約2分、JR横手駅から車で10分,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,スパ＆リゾートホテル　秋の宮山荘,/yad309104/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309104&callbackHistFlg=1,秋田県最古の温泉として長い歴史を持つ豊かな温泉の恵みと、四季折々の秋の宮の幸と、秋田の旬な食を心ゆくまでご堪能ください。,【アクセス】ＪＲ奥羽本線横堀駅より車で２０分。東北道古川ＩＣより国道４７，１０８号線経由９０分。,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥16,296〜","（￥8,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3815,横手セントラルホテル,/yad310852/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310852&callbackHistFlg=1,横手市内の中心部にあり、「かまくら」「梵天祭り」「送り盆祭り」の主会場に至近距離。横手城、かまくら館等の観光スポットや官公庁、病院、学校、金融機関にも近く観光にビジネスに最適なホテルです。,【アクセス】ＪＲ横手駅下車徒歩１５分タクシーで３分。秋田自動車道横手ＩＣより国道１０７号線経由、車で約８分。,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥8,888〜","（￥4,444〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3816,上畑温泉さわらび,/yad311336/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311336&callbackHistFlg=1,山間に佇む【上畑温泉さわらび】には日替わりで楽しめる内風呂と露天風呂がございます。源泉掛け流しの貸切風呂（家族風呂）もございますので、ご家族、カップルでもゆったりとご入浴することが出来ます。,【アクセス】秋田自動車道十文字ＩＣより車で30分。,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3817,新五郎湯,/yad314195/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314195&callbackHistFlg=1,開湯３００年（元禄１５年）の秋の宮温泉峡の中でも、一番歴史ぶかい宿。昔ながらの自炊もでき長期滞在者にも好評。野外アクティビティとしては釣りや登山も楽しめる。,【アクセス】東北自動車道　古川ＩＣより車で90分,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥8,400〜","（￥4,200〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3818,旅館　松葉館,/yad314624/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314624&callbackHistFlg=1,栗駒山で採れた旬の山菜や地元の食材をお部屋で味わうことができます。全8室から小安峡の大自然がながめられる静かな宿で、露天風呂に入って四季折々の温泉を満喫！,【アクセス】仙台市から東北自動車道で築館で降りて１時間半,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥14,444〜","（￥7,222〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,旅館　多郎兵衛,/yad324228/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324228&callbackHistFlg=1,湯守り１２代。天然秋田杉を使用した大浴場と４つの趣の異なる温泉、女将自らこだわりの食材で作る手作り料理が自慢のお宿。秋田訛りのおもてなしを心ゆくまで。　大噴湯まで徒歩５分　全室WiFi完備,【アクセス】秋田自動車道湯沢こICから車で約4０分　東北自動車道築館ICまたは古川ICから１時間３０分　３９８号線沿い,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥20,370〜","（￥10,185〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,あいのの温泉　鶴ヶ池荘,/yad326814/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326814&callbackHistFlg=1,新観光秋田30景に選ばれた鶴ヶ池のほとりに佇む当館では、源泉100％掛け流しの天然温泉と、名物「いものこ汁」が愉しめます。春はお花見、秋は紅葉と四季折々の景色とともにごゆっくりと。,【アクセス】JR北上線相野々駅より徒歩5分,エリア ： 秋田県 > 横手・湯沢,2016-03-28 02:07:22,2016-03-28 02:07:22,"￥14,259〜","（￥7,129〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
