id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2853,美人の湯　寒河江温泉　ホテルシンフォニー本館,/yad313413/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313413&callbackHistFlg=1,ＪＲ寒河江駅から徒歩3分の好立地。館内には、食事処、スナックもあり大変便利。敷地内に60台分専用駐車場あり（無料）。温泉は深夜も入れるのでチェックインが遅くても利用できる。,【アクセス】ＪＲ山形新幹線山形駅乗り換え、左沢線寒河江駅下車徒歩3分,エリア ： 山形県 > 寒河江,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥7,703〜","（￥3,851〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,割烹旅館　吉本　,/yad346350/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346350&callbackHistFlg=1,歴史ある山形県・寒河江温泉の割烹旅館。地元名産のバラを使った豪華な「バラ風呂」を不定期に実施中。お肌ツルツル、心も癒される温泉に浸った後は山形の旬の味覚が満載の和食会席を楽しんで。,【アクセス】JR左沢線寒河江駅より徒歩5分,エリア ： 山形県 > 寒河江,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,チェリーパークホテル,/yad350618/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350618&callbackHistFlg=1,母なる川最上川の川沿いに面し大自然のマイナスイオンを浴びながら隣接している現代湯治場「ゆ〜チェリー」でリフレッシュできます。寒河江ＳＡスマートインターチェンジ真向かいでアクセスも最適です。,【アクセス】さがえSAスマートIC真向かい。JR寒河江駅よりタクシー約10分。,エリア ： 山形県 > 寒河江,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥8,500〜","（￥4,250〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,ホテルシンフォニーアネックス,/yad372576/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=372576&callbackHistFlg=1,360°自然に囲まれた大パノラマが拡がるホテル。全室から最上川が眺められ、バラ風呂・貸切風呂など温泉設備も充実。高速からも寒河江ＳＡから１分で便利！,【アクセス】山形自動車道・寒河江ＳＡ（ＥＴＣ出口）の直ぐ前。,エリア ： 山形県 > 寒河江,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥9,814〜","（￥4,907〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2857,ファミリーロッジ旅籠屋・寒河江店,/yad399562/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=399562&callbackHistFlg=1,広い客室にクイーンサイズベッド２台を配置した人気のロードサイドホテル。朝軽食・WiFi＆ネット接続・駐車場いずれも無料。コインランドリーあり。ご家族、カップルやグループ、ビジネスにも最適。,【アクセス】山形道・寒河江SA（スマートIC）隣接地（SAの中ではございません。）,エリア ： 山形県 > 寒河江,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥8,300〜","（￥4,150〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2858,山菜料理　出羽屋　,/yad349854/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349854&callbackHistFlg=1,山形道西川ICより約5分。春は山菜と秋はきのこと四季折々の山の幸をご堪能いただけます。料理クチコミ4.7点！山形の郷土料理山菜堪能後は、月山の自然水を利用したお風呂でお寛ぎください。,【アクセス】山形道西川ICよりR112経由、鶴岡方面へ約5分,エリア ： 山形県 > 月山・朝日,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥20,370〜","（￥10,185〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2859,雪のふるさと　変若水の湯　つたや,/yad355114/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355114&callbackHistFlg=1,近くで採れた山菜などの山の幸、山形牛や川魚料理など地元の旬の美味をご堪能下さい。桧造りの大浴場や露天風呂に加え２棟の貸切風呂も無料！月山大自然の中、ゆったりと…　（月山口より送迎あり）,【アクセス】山形駅から鶴岡行き高速バスで月山口下車（月山口まで無料送迎有）冬期間のみ山形駅送迎有（要予約・有料）,エリア ： 山形県 > 月山・朝日,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥28,000〜","（￥14,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,Ａｓａｈｉ自然観,/yad376250/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376250&callbackHistFlg=1,料理長自慢の和洋折衷のお料理は、山形のおいしい旬の食材を使用し季節ごと味覚をお届けします！山形市や天童市などの中心部からもアクセスが良く、ブナの自然がみなさまをお迎えいたします。,【アクセス】山形自動車道寒河江ICより50分,エリア ： 山形県 > 月山・朝日,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2861,ホテルグリーントーホク,/yad343582/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343582&callbackHistFlg=1,口コミ総合4以上のホテル！ＪＲ山形駅から徒歩10分、七日町へも７分とビジネス、観光に利便性が抜群！美味しいと評判のお米「はえぬき」（おかわり自由）・野菜を中心とした食事は山形の旬を味わえます。,【アクセス】＊JR山形駅下車、徒歩10分　＊山形交通バスターミナル、徒歩５分　＊各種長距離バス発着所徒歩３分,エリア ： 山形県 > 山形,2016-03-28 02:35:56,2016-03-28 02:35:56,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862,飯田温泉,/yad356904/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356904&callbackHistFlg=1,山形駅から車で10分。自家源泉掛け流しの天然温泉ビジネス旅館。24時間入浴可能です。泉質はメタケイ酸を多く含む美肌の湯。,【アクセス】山形駅から車で10分。,エリア ： 山形県 > 山形,2016-03-28 02:35:57,2016-03-28 02:35:57,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
