id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8809,小名浜シーサイドホテル,/yad304456/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304456&callbackHistFlg=1,小名浜の繁華街のど真ん中にあるビジネスホテル。近くにはアクアマリンふくしまや、お買いものスポットららミュウがあります。,【アクセス】ＪＲ常磐線泉駅よりタクシーで10分、常磐交通バス小名浜案内所より徒歩2分,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥7,037〜","（￥3,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8810,ホテルルートインいわき泉駅前,/yad310485/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310485&callbackHistFlg=1,２０１６年３月２４日（木）【ホテルルートイン名取岩沼インター】オープン！開業記念プランを販売中！この機会にいわき泉にお得に泊まろう♪,【アクセス】常磐線泉駅より徒歩１分。　常磐自動車道いわき勿来ICより約2５分。小名浜港まで車１５分,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥8,194〜","（￥4,097〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8811,三崎ホテル,/yad340299/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340299&callbackHistFlg=1,客室からは小名浜を港一望。夕食は旬の魚介料理。冬は名物アンコウ鍋が楽しめる。アクアマリンふくしま(水族館)車3分。ハワイアンズ20分距離。,【アクセス】JR常磐線泉駅よりタクシー15分常磐道湯本ICより小名浜方面へ20分,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥11,400〜","（￥5,700〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8812,小名浜オーシャンホテル＆ゴルフクラブ,/yad340578/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340578&callbackHistFlg=1,☆全室無線ＬＡＮ接続環境＆ＣＳ放送(ゴルフ/スポーツ/アニメチャンネル)視聴無料☆　絶景眺望と地域最大級の広さの客室が自慢！太平洋を見渡す絶景眺望！オーシャンホテルでしか体験できない休日を・,【アクセス】常磐自動車道　勿来ＩＣより１５分　湯本ＩＣより20分,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥13,259〜","（￥6,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8813,ファミリーインホテルズ　和や,/yad346360/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346360&callbackHistFlg=1,【期間限定】ＶＯＤ（最新映画など）見放題無料サービス中!!人気のアクアマリン福島やハワイアンズが車で10分観光拠点やビジネスに便利な国道沿い全室ダブルベットでゆっくりとお休みいただけます。,【アクセス】常磐道いわき湯本ICをアクアマリン福島方面に車で１０分、国道6号線と国道6号バイパス交差点を北に300ｍ,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥5,490〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8814,小名浜グリーンホテル（ＢＢＨホテルグループ）,/yad350978/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350978&callbackHistFlg=1,日替わりの手作り朝食サービス無料！豊富な無料貸し出しサービスで長期滞在も安心♪人気の観光スポット、アクアマリンふくしまへのアクセスも抜群です♪全国約９０店舗展開中のBBHホテルグループ！,【アクセス】常磐道湯本ICより小名浜方面へ20分。泉駅車10分。,エリア ： 福島県 > いわき・小名浜,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥6,277〜","（￥3,138〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8815,スパリゾートハワイアンズ　ウイルポート,/yad324003/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324003&callbackHistFlg=1,３つのホテル（ホテルハワイアンズ、モノリスタワー、ウィルポート）の中の地中海風リゾートホテル。ホワイトを基調とした館内は、太陽の光が降り注ぐ船をモチーフとしたキャビンと呼ばれる客室。,【アクセス】常磐自動車道いわき湯本ICより5分,エリア ： 福島県 > いわき・湯本,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥18,444〜","（￥9,222〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8816,湯の宿　美笹,/yad304246/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304246&callbackHistFlg=1,スパリゾートハワイアンズ、ゴルフ場まで車で10〜15分の好立地。夕食は海の幸づくしでお腹いっぱい。お風呂は小さいながら源泉100％掛け流しで疲れがとれる！リーズナブルな価格に満足！いわきなら美笹へ!!,【アクセス】JR湯本駅下車、徒歩5分。常磐自動車道湯本ICより車で10分,エリア ： 福島県 > いわき・湯本,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8817,スパホテルスミレ館,/yad306824/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306824&callbackHistFlg=1,ビジネスや観光に便利。いわきでは珍しいペット可客室あり。,【アクセス】JR常磐線湯本駅下車徒歩7分、高速常磐道いわき湯本ICより8分。,エリア ： 福島県 > いわき・湯本,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥7,314〜","（￥3,657〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8818,ホテルミドリ　いわき植田,/yad316738/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316738&callbackHistFlg=1,全室リニューアルで人気の高級ベッドを格安で体験でき「泊まると元気になる！」と大好評♪お子様の添寝は無料の素泊りをはじめビジネス・アクアマリン・帰省・ゴルフパック等格安プランで大人気,【アクセス】ＪＲ植田駅徒歩3分、いわき勿来インターより8分、ハワイアンズへ車15分♪アクアマリン車15分,エリア ： 福島県 > いわき・湯本,2016-03-28 02:36:12,2016-03-28 02:36:12,"￥8,629〜","（￥4,314〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
