id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8120,ホテル清水荘,/yad339718/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=339718&callbackHistFlg=1,JR氏家駅より「徒歩3分」駐車場45台和室もウォシュレット【重要】インターネットはフロント前ソファー、１Fレストランで接続出来ます。ご不憫をお掛け致しますがご理解の程宜しくお願い申し上げます。,【アクセス】ＪＲ宇都宮線、氏家駅下車、徒歩3分,エリア ： 栃木県 > さくら,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥10,925〜","（￥5,462〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8121,ホテルかつらぎ,/yad351942/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351942&callbackHistFlg=1,東北道矢板インターより15分。宇都宮線氏家駅からも車で15分。周辺ゴルフ場や工場団地などへのアクセスが良い。お食事は自家製の米・みそや、地元野菜を使った家庭料理。長期滞在も安心の家庭的な宿。,【アクセス】氏家駅から車で１５分、矢板ICから１５分、旧喜連川地内です。,エリア ： 栃木県 > さくら,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8122,ホテルアーバングレイス宇都宮,/yad305114/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305114&callbackHistFlg=1,（全客室有線・無線LAN完備のお知らせ）この度全客室に、有線LANに加え無線LANも完備致しましたので、お部屋でも快適にインターネットをご利用いただけます。,【アクセス】JR宇都宮駅西口より車で5分。バスで150円範囲内。県庁前バス停下車。東武宇都宮駅東口より徒歩5分。,エリア ： 栃木県 > 宇都宮,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥6,111〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8123,アパホテル<宇都宮駅前>,/yad310501/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310501&callbackHistFlg=1,ＪＲ東北新幹線、ＪＲ東北本線（宇都宮線）、ＪＲ日光線「宇都宮駅」東口から徒歩３分の好立地。,【アクセス】JR宇都宮駅東口下車徒歩3分,エリア ： 栃木県 > 宇都宮,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8124,ホテルサンルート宇都宮,/yad334648/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334648&callbackHistFlg=1,立地最高◎　JR宇都宮駅西口徒歩１分、☆コンビニ徒歩１０歩（２４時間ＡＴＭ×２台）！！　さらにお客様のさまざまなご利用にお応えするため、各種タイプのお部屋をご用意いたしました。,【アクセス】JR宇都宮駅西口徒歩１分,エリア ： 栃木県 > 宇都宮,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥3,796〜","（￥1,898〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125,ホテルデル・ソル,/yad393848/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393848&callbackHistFlg=1,朝食無料・ネット・天然温泉・コンビニ至近★清原・芳賀・平出工業団地に好アクセス★連泊割引★全室セミダブル以上★駐車場無料（普通車）普通車以外は事前にご連絡くださいお断りする場合もございます★,【アクセス】ＪＲ宇都宮東口より車で5分、北関東道・宇都宮上三川ＩＣより車で10分。駐車場有(中型車以上有料),エリア ： 栃木県 > 宇都宮,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥6,388〜","（￥3,194〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8126,益子舘　里山リゾートホテル,/yad314110/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314110&callbackHistFlg=1,陶芸の街益子は、おしゃれなカフェやショップの多い街として注目エリア。窯元や陶器店の並ぶ街を散策後は、滝を眺める広々とした露天風呂でゆったり。四季折々の和会席の夕食に舌鼓♪毎週土曜はライブ開催！,【アクセス】真岡鉄道益子駅下車、お車で約7分。北関東自動車道真岡ＩＣより益子方面へ、国道294号経由で約25分。,エリア ： 栃木県 > 益子・茂木,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥18,333〜","（￥9,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8127,ホテルツインリンク,/yad332182/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332182&callbackHistFlg=1,モビパークではバイクやカートの運転を体験♪みんなで競争！ハローウッズでは「ジップライン」や「指令アドベンチャー」で遊ぼう！夜は大浴場でのんびり、大自然で星空観察も◎お子様が笑顔になるホテル♪,【アクセス】常磐道水戸北スマートIC及び、北関東道真岡ＩＣよりお車で４５分。,エリア ： 栃木県 > 益子・茂木,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8128,益古時計,/yad343355/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343355&callbackHistFlg=1,陶芸の町・益子。当館内ギャラリーで益子焼をご紹介しています。自然の中で寛ぎたいお客様におススメ！気軽なB&Bスタイルの宿で、のんびりお寛ぎ下さい。朝カフェごはんや貸切利用可の展望露天風呂も自慢。,【アクセス】真岡線益子駅からタクシーで約3分・徒歩で約25分／北関東自動車道真岡ICより約30分,エリア ： 栃木県 > 益子・茂木,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥10,555〜","（￥5,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8129,こころ宿　ＮＡＧＯＭＩ,/yad379980/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379980&callbackHistFlg=1,心が和む空間でのんびりとした時間を過ごすのも良いし、そば打ち、陶芸体験、コンニャク作りなどを楽しむのも旅の良き思い出に。近郊には陶芸の里・益子やツインリンクもてぎもあり地域の観光拠点としても◎,【アクセス】真岡鉄道　茂木駅より車で８分,エリア ： 栃木県 > 益子・茂木,2016-03-27 11:00:36,2016-03-27 11:00:36,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
