id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,ビジネスホテル伊勢崎ファースト・イン,/yad306626/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306626&callbackHistFlg=1,シングル・ツイン・和室と客室タイプもさまざま　男女別大浴場は24時間入浴可能でゆったりくつろげる　アクセスも便利な立地で、ビジネスだけでなくスポーツ・研修・レジャーにもおすすめ,【アクセス】,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥9,768〜","（￥4,884〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,ハーベストホテル,/yad308571/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308571&callbackHistFlg=1,◆和洋選べる夕食や健康朝食ﾊﾞｲｷﾝｸﾞが大好評！◇コンビニまで徒歩３分。◆市民文化会館そば！◇商談・宴会に便利なダイニングバー併設。◆ネット接続無料(モデム貸出※数量限定),【アクセス】伊勢崎ｲﾝﾀｰから車１０分・伊勢崎駅から２km弱。文化会館入口,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥4,814〜","（￥2,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,ホテル若松,/yad314112/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314112&callbackHistFlg=1,ＪＲ伊勢崎駅から徒歩5分。ビジネスをはじめ、レジャーの拠点にもってこい。料金もエコノミーだから、長期利用にもオススメだ。客室は機能的でくつろぎ感もバッチリ。館内には24時間入浴OKの人工温泉も有。,【アクセス】ＪＲ伊勢崎駅から徒歩５分。,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥7,870〜","（￥3,935〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,アパホテル＜伊勢崎駅南＞,/yad328298/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328298&callbackHistFlg=1,全室Wi-fi接続可能全室40インチTV完備平面駐車場無料（大型車は連絡要）高速バスのバス停ホテル目の前ご朝食6：30よりスタート,【アクセス】JR・東武伊勢崎線伊勢崎駅より徒歩６分　　北関東自動車道駒形I/Cより１０分,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥6,944〜","（￥3,472〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,ビジネスホテル　伊勢崎平成イン,/yad365080/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=365080&callbackHistFlg=1,安全・安心・安息をモットーにお客様を笑顔でお出迎えいたします！お客様の様々なシーンに合わせて多彩な客室タイプをご用意しております。遠赤外線効果の大浴場では旅の疲れを癒していただけます！,【アクセス】東武伊勢崎線にて新伊勢崎駅下車徒歩５分、ＪＲ両毛線にて伊勢崎駅下車、タクシーで５分,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥8,148〜","（￥4,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,ホテルルートイン伊勢崎,/yad369500/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369500&callbackHistFlg=1,駒形ICから車で約７分★全室無料LAN完備★男女別活性石人工温泉大浴場で疲労回復★和洋メニューを取り揃えた朝食バイキングが無料です★ゆったり無料平面駐車場56台分（※2t車以上のお車は駐車頂けません）,【アクセス】北関東自動車道　駒形ICより車で約7分／JR両毛線東武伊勢崎線　伊勢崎駅より車で約10分,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥9,166〜","（￥4,583〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,ＡＢホテル伊勢崎,/yad385420/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385420&callbackHistFlg=1,２０１６年４月１３日グランドオープン。☆和洋バイキング無料朝食・名湯めぐりの男女別大浴場・ネット接続無料。,【アクセス】伊勢崎駅より徒歩1分,エリア ： 群馬県 > 伊勢崎,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥5,370〜","（￥2,685〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,ホテルルートイン安中,/yad311526/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311526&callbackHistFlg=1,国道18号線沿い、世界遺産の富岡製糸場へもお車で20分です。◆バイキング朝食無料◆大浴場◆平面無料駐車場101台◆全客室Wi-Fi･LANご利用可能◆大型ランドリー完備◆加湿機能付き空気清浄機全室完備◆,【アクセス】上信越自動車道松井田妙義インターより車で約20分、JR信越本線磯部駅より車で約10分,エリア ： 群馬県 > 碓氷・磯部,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,ふわふわ豆腐鍋のおいしいお宿　見晴館,/yad312329/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312329&callbackHistFlg=1,世界遺産富岡製糸場に近い、眺望抜群の全８室の小さなお宿。定評のあるふわふわ豆腐鍋や天然温泉に２４時間入浴できるのは嬉しい♪チェックアウトまで布団はそのまま♪全室無線LAN有でビジネス利用も◎,【アクセス】JR信越本線磯部駅下車徒歩3分。上信越自動車道妙義松井田ICで下車しR18で磯部温泉方面へ向かい車で15分。,エリア ： 群馬県 > 碓氷・磯部,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,夕焼け小焼けのお宿高台旅館,/yad341978/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=341978&callbackHistFlg=1,四季折々の自然に触れ、移り変わる風の色を感じながらとにかくのんびりお過ごしいただきたい。木の暖かさ畳のやさしさ、ふるさとのなつかしさを思い出していただけましたら幸い。山々の夕焼けも美しい。,【アクセス】信越線磯部駅下車送迎あり。,エリア ： 群馬県 > 碓氷・磯部,2016-03-27 11:00:22,2016-03-27 11:00:22,"￥24,000〜","（￥12,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
