id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,アーバンホテル＜つくば＞,/yad305463/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305463&callbackHistFlg=1,Wi-Fi全室無料！全客室分の平面無料駐車スペース（大型車要予約）隣にコンビニ。ご希望の場所とホテルを繋ぐ無料送迎有り（要予約）。様々なサービスと快適空間な客室をご堪能ください。,【アクセス】つくばエクスプレスつくば駅下車バス13分。常盤自動車道谷田部ICから車で約25分。筑波山まで車で約２５分,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥7,037〜","（￥3,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ホテルつくばヒルズ梅園店（ＢＢＨホテルグループ）,/yad309508/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309508&callbackHistFlg=1,JAXAや産業総合研究センターまで徒歩圏内！　つくばの各研究センターが多い梅園地区に立地し、お仕事にもお寛ぎにも便利な環境です.「全国約９０店舗展開中のＢＢＨホテルグループ！」,【アクセス】ＪＲ　荒川沖駅よりバスで「並木団地南」下車。徒歩にて約１分,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥7,388〜","（￥3,694〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,東横インつくばエクスプレス研究学園駅北口,/yad309925/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309925&callbackHistFlg=1,つくば市役所徒歩5分、大型ショッピングセンター(イーアス）徒歩3分の好立地。筑波大学やつくば国際会議場などへ車でのアクセスも抜群です。ビジネスに、観光に、ぜひご利用ください。,【アクセス】つくばエクスプレス「研究学園駅」北口より徒歩３分,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥7,100〜","（￥3,550〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,つくばデイリーイン,/yad311907/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311907&callbackHistFlg=1,つくば研究学園都市の中心やや南側に位置し、JAXAに隣接します。産総研や国際会議場の利用にも便利です。落ち着いた雰囲気で、気軽な雰囲気の施設です。「多目的ロビー」ではご自由に集うことができます。,【アクセス】『つくばセンター』より『荒川沖駅』行きバス乗車、『千現１丁目』下車、進行方向大通り反対側徒歩５分。,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,筑波山温泉　つくばグランドホテル,/yad319634/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319634&callbackHistFlg=1,日本100名山の一つ筑波山の中腹に位置し、客室・温泉露天・ラウンジから望む関東平野は絶景。こんこんと湧き出る美肌の湯、４種の風呂に浸かり、その絶景を望めば、自然と疲れが心地よく洗い流されます。,【アクセス】TXつくば駅より筑波山直行シャトルバス（約４０分）。常磐道・土浦北ＩＣよりR125経由で筑波山へ,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥22,000〜","（￥11,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,オークラフロンティアホテルつくば,/yad324335/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324335&callbackHistFlg=1,客室はもちろん、室内プール、レストラン、アメニティに至るまで「オークラ品質」。おもてなしの心が創り出した優雅なホテルステイをお約束します。◆OneHarmonyポイント付きます◆,【アクセス】つくばエクスプレス・つくば駅下車、徒歩3分。常磐道・桜土浦ICより筑波学園都市方面へ10分から15分,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ホテルマークワンつくば研究学園,/yad327318/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327318&callbackHistFlg=1,つくばエクスプレス研究学園駅より徒歩２分の好立地。人口温泉大浴場、女性専用のフロア、長期宿泊者向けの設備の充実したお部屋等ご用意いたしております。最大８０名収容の多目的ホールもございます。,【アクセス】つくばエクスプレス研究学園駅北口徒歩２分,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥6,462〜","（￥3,231〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ホテル東光,/yad329037/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329037&callbackHistFlg=1,男性浴場・女性浴場・家族風呂。全客室で有線LAN＆高速で繋がる無線LANが無料。広々とした無料駐車場完備！もちろん大型車ＯＫ！,【アクセス】ＴＸ研究学園駅からタクシーで5分。循環バスで東光台４丁目下車、徒歩１分。谷田部ＩＣからは約１０分。,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,筑波山ホテル青木屋,/yad332930/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332930&callbackHistFlg=1,古くは万葉集にも、西の富士、東の筑波と並び称される筑波山。筑波山神社や茨城県フラワーパークと観光は色々有り。四季折々の旬のお料理と湯船から眺める180度の大パノラマ温泉で心潤うひと時を。,【アクセス】TX秋葉原駅からTXつくば駅下車タクシーで約30分。常磐道土浦北IC筑波山方面へ向かい約30分。,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,筑波山温泉　彩香の宿一望,/yad333348/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333348&callbackHistFlg=1,筑波山で唯一の貸切露天風呂（内湯付）を完備♪日帰り温泉施設【つくば湯】を併設し、日帰り入浴も好評★★食物の宝庫茨城の食材を調理長が厳選した和食会席料理★★駐車場無料★最寄登山道へ徒歩１０分♪,【アクセス】つくばエクスプレス・つくば駅よりシャトルバス。常磐道・土浦北ICよりR125筑波山方面県道14号経由,エリア ： 茨城県 > つくば,2016-03-27 11:00:01,2016-03-27 11:00:01,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
