id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,ビジネス旅館　新風荘,/yad328460/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328460&callbackHistFlg=1,ＪＲ大宮駅に近く（大宮駅東口[北]階段より徒歩約８分）、家庭的雰囲気でご家族づれ、女性の方も安心して宿泊できるビジネス旅館。コインランドリー有り、長期滞在可能。徒歩圏内に鉄道博物館も。,【アクセス】ＪＲ大宮駅下車。大宮駅東口[北]階段より徒歩約８分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥11,000〜","（￥5,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,プラザホテル浦和,/yad310699/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310699&callbackHistFlg=1,埼京線中浦和駅に隣接という利便性の高いホテル。駐車場を完備（普通車：500円/泊）しており、大型車の駐車（2000円/泊〜）も可能です。館内にはお食事処やレストランがあり食事に困りません。,【アクセス】JR埼京線中浦和駅徒歩１分。JR浦和駅西口車で５分。首都高速埼玉大宮線浦和南インターより車で約５分。,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥7,037〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,アパホテル＜さいたま新都心駅北＞,/yad315417/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315417&callbackHistFlg=1,ホテル名称をアパホテル＜さいたま新都心駅北＞に変更いたしました。JR京浜東北線『さいたま新都心駅』東口徒歩6分　JR埼京線『大宮駅』東口徒歩12分　さいたまスーパーアリーナより徒歩3分,【アクセス】さいたま新都心駅下車徒歩6分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥6,018〜","（￥3,009〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,割烹旅館　東山,/yad317660/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317660&callbackHistFlg=1,四季折々の風情ある姿を見せる庭園を持つ、和の情緒あふれる宿。夕食は新鮮な山海の幸を吟味し、季節の情緒を盛り込んだ懐石料理。客室で料理人のこだわりの逸品を味わえば、まずは食の話で盛り上がるはず。,【アクセス】ＪＲ大宮駅東口より車で８分／東武野田線大宮公園駅より徒歩１０分。１０名様以上はバス送迎有（要申込）,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥13,400〜","（￥6,700〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,パレスホテル大宮,/yad319907/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319907&callbackHistFlg=1,大宮駅西口、駅チカ徒歩3分！2012年に全客室の改装完了し、米国シーリー社製ベッドを標準採用。Wi-Fi接続無料で、大宮ソニックシティ隣接、鉄道博物館＆さいたまスーパーアリーナへは、電車＆徒歩で約10分,【アクセス】大宮駅西口より徒歩3分（フロントは1階）／羽田空港より直通バス70分／首都高速「新都心西」出口より5分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥12,962〜","（￥6,481〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,与野第一ホテル,/yad323966/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323966&callbackHistFlg=1,大宮・さいたま新都心に近く、スーパーアリーナ・ソニックシティなどに隣接し都心へのアクセス良好。ビジネスシーンの拠点や、レジャー、受験など幅広く利用出来る快適空間を演出【駐車場無料です】,【アクセス】ＪＲ大宮駅、さいたま新都心駅より車にて約５〜１０分　首都高速・大宮線与野ＩＣより１分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,722〜","（￥4,861〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,浦和ロイヤルパインズホテル,/yad330988/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330988&callbackHistFlg=1,JR浦和駅徒歩７分のハイクオリティ高層シティホテル。ゆとりとくつろぎを大切にした客室は全室Wi-Fi無料！大宮駅から2駅、埼玉スタジアム・さいたまスーパーアリーナ・鉄道博物館へのアクセスも良好♪,【アクセス】JR京浜東北線・上野東京ライン・湘南新宿ライン浦和駅徒歩7分/首都高速5号池袋線埼玉大宮線〜浦和南IC約4km,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,おふろｃａｆｅ　ｕｔａｔａｎｅ,/yad331780/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331780&callbackHistFlg=1,２０１３年１１月完全リニューアルオープン！大宮エリア最大規模の温浴施設に併設された宿泊施設です。鉄道博物館駅より徒歩にて８分！,【アクセス】埼玉新都市交通「ニューシャトル」鉄道博物館駅（大成駅）より線路沿いを北に向かって徒歩約8分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥5,370〜","（￥2,685〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,ビジネスホテルミウラ,/yad335684/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335684&callbackHistFlg=1,東北自動車道岩槻インターから最も近いホテル。東西に国道16号バイパス、南北に国道122号線(共に1分）が走っており、車でのアクセスは抜群です。大宮まで電車で12分。電車でのアクセスも抜群です。,【アクセス】国道16号からは東町2丁目交差点を岩槻駅方面に曲がったら信号4つ目を右。岩槻駅からは信号3つ目を左。,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,259〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,ラフレさいたま,/yad345070/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=345070&callbackHistFlg=1,赤ちゃん添寝無料。大宮駅から1駅。ＪＲさいたま新都心駅から徒歩７分。高速出口から1分。館内に水着で入る天然温泉クアハウス・フィットネスクラブ・コンビニ有。チェックイン門限なし。,【アクセス】電車／大宮駅から１駅、さいたま新都心徒歩７分、北与野駅徒歩10分　（大宮駅より車で10分）,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥10,481〜","（￥5,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
