id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,鴨川グランドタワー,/yad301617/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301617&callbackHistFlg=1,部屋のクチコミ４．７点！コンドミニアム形式のタワーホテル。８０平米超の広々とした客室にはキッチンやリビングルーム完備。館内にレストランや大浴場有り。隣の鴨川グランドホテルの温泉も無料で利用ＯＫ,【アクセス】安房鴨川駅より徒歩１０分。送迎バスあり（要予約/運行時間９時〜１８時）,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,魚彩和みの宿　三水,/yad301732/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301732&callbackHistFlg=1,"鯛の浦と誕生寺入口に佇む温泉宿。\海辺の別荘\""をテーマにした温泉半露天風呂付きの新客室オープン（全室Wi-Fi完備）！伊勢海老、鮑、金目鯛など地元の味覚でおもてなし。鴨川シーワールドは車で１０分""",【アクセス】JR東京駅外房線利用、安房小湊下車・送迎10分館山道君津ICから鴨川方面・誕生寺目標で50分,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥15,740〜","（￥7,870〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,貸別荘　はなふじ,/yad305316/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305316&callbackHistFlg=1,海の見える丘の上に2階建の貸別荘が全5棟回りを気にせず楽しく過せるからグループや学生にオススメ。食材を持ちこんでバーベキューや自炊も楽しみたい。スポーツや海水浴レジャー施設等一年中遊べる。,【アクセス】外房線鴨川駅より車で１０分。車では国道１２８号線鴨川より館山方面へ嶺岡トンネル手前を左折し５分。,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5502,地魚と潮騒の宿　よしのや,/yad305402/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305402&callbackHistFlg=1,♪the海辺♪潮風、波の音、海からの日の出、おいしい魚を食べてもらおうと一匹ずつ確かめて仕入れています。のんびりと海を感じにきませんか。仁右衛門島　徒歩5分、鴨シーワールド、亀田病院で車15分。,【アクセス】ＪＲ内房線太海駅徒歩５分、外房線安房鴨川駅車で１０分,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥13,600〜","（￥6,800〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,ペットと泊まる宿　サンデッキ,/yad306798/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306798&callbackHistFlg=1,海の近くの山の中，畑と川に囲まれてポツンと佇んでいます。お風呂以外なら何処でもペットと一緒。24時間入浴できる貸切風呂が2箇所とシャワー室が1箇所有ります。暖かい陽射しの中でゆっくりお過ごし下さい,【アクセス】館山自動車道君津インターより房総スカイライン、鴨川有料道路へ安房小湊駅から県民の森方面。,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:49,2016-03-28 04:17:49,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5504,大山青少年研修センター,/yad307494/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307494&callbackHistFlg=1,棚田の里大山青少年研修センターは、棚田百選の大山千枚田にも近い関東三大不動「大山不動尊」の境内にあります。ご宿泊は、基本的にセルフサービスでお気軽にご利用いただけます,【アクセス】房総半島の中央に位置し、各地への足がかりとして便利,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥5,185〜","（￥2,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505,房総鴨川温泉　是空　―ＺＥＫＵＵ―（旧　磯の宿　そとぼう）,/yad310861/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310861&callbackHistFlg=1,ワンランク上のオーシャンビュー！磯の斜面に寄り添うように造られた当館からの眺めは最上級。お部屋は海の上に居るような感じ。リニューアルオープンの新棟は全室、海一望の露天風呂付き客室。,【アクセス】JR外房線太海駅より徒歩10分。館山自動車道君津ICより車で約50分。,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥30,000〜","（￥15,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506,「浜辺の湯　浪漫の歌」　宿　中屋,/yad312032/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312032&callbackHistFlg=1,『星空の歌』5階全室露天風呂付き（源泉）客室オープン。菜々畑ロード、お花畑、いちご狩りなどお楽しみ満載の季節。新鮮な磯料理、音楽の夕べ、ジャズ、サンセットラウンジなど是非　宿　中屋へ,【アクセス】ＪＲ安房小湊駅下車送迎バス5分館山自動車道君津ＩＣより50分。,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥31,574〜","（￥15,787〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5507,鴨川温泉　ホテル 中村,/yad313402/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313402&callbackHistFlg=1,安房鴨川駅へ歩いて５分の小さな温泉宿。新潟米と房総魚の朝食が旨い！夕食は鴨川人の普段使いのお店をご紹介します。シーワールドに亀田病院に海水浴場にアクセス便利！荷物を預けて鴨川の活動拠点にどうぞ,【アクセス】安房鴨川駅から徒歩５分　シーワールドへ車３分　亀田病院に車４分　海水浴場に徒歩10分　近くに食事処多数,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥11,000〜","（￥5,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5508,鴨川館,/yad313560/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313560&callbackHistFlg=1,豊かな緑を湛える松林の中に、優美に佇む数寄屋造りの宿。鴨川温泉「潮騒の湯」の個性豊かな露天風呂で湯浴みを楽しみ、南房総の旬の海の幸・近隣の里山の幸をご堪能下さい。鴨川シーワールドへも徒歩３分。,【アクセス】JR外房線安房鴨川駅下車、タクシーにて5分,エリア ： 千葉県 > 鴨川,2016-03-28 04:17:48,2016-03-28 04:17:48,"￥38,000〜","（￥19,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
