id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622,コンラッド東京,/yad349621/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349621&callbackHistFlg=1,銀座から徒歩圏内に位置する「コンラッド東京」。客室はスタンダードルームでも広々の48,,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥46,920〜","（￥23,460〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623,ヒルトン東京お台場,/yad311218/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311218&callbackHistFlg=1,羽田空港からバスで約20分、銀座・品川までも30分圏内、東京ビッグサイトも近くとビジネスにも最適。TDRへはホテル発「グッドネイバーバス」が無料運行！プライベートバルコニーからの夜景は必見！,【アクセス】ゆりかもめ台場駅直結。りんかい線東京テレポート駅下車徒歩約10分（無料バス「東京ベイシャトル」あり）。,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥21,279〜","（￥10,639〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7624,ベイサイドホテルアジュール竹芝,/yad317787/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317787&callbackHistFlg=1,ﾚｲﾝﾎﾞｰﾌﾞﾘｯｼﾞからお台場まで雄大な景観に圧倒されるお部屋からの眺望も宝石箱を思わせるような夜景がご覧頂けます館内には3つのﾚｽﾄﾗﾝがあり､素晴しいﾛｹｰｼｮﾝでお愉しみ頂けます,【アクセス】JR山手線・京浜東北線浜松町駅より竹芝方向へ徒歩７分。新交通ゆりかもめ竹芝駅より１分。,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7625,お台場　大江戸温泉物語,/yad319550/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319550&callbackHistFlg=1,日帰りから、宿泊まで、お客様が楽しめる癒しのアミューズメント地下１４００メートルから湧く湯量たっぷりの源泉「大江戸温泉」など十四種類のお風呂を堪能。足湯で浴衣姿の語らいもまた小粋。,【アクセス】新交通ゆりかもめ「テレコムセンター」駅より徒歩2分,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥17,000〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7626,パークホテル東京,/yad345712/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=345712&callbackHistFlg=1,日本の美意識を体感できるアートを取り入れたホテル◆JR・地下鉄「新橋」駅徒歩7分、ゆりかもめ「汐留」駅直結◆銀座や築地へも徒歩圏内、羽田・成田空港までのリムジンバス有◆全室26階以上＆WiFi無料！,【アクセス】JR「新橋」駅徒歩7分、新交通ゆりかもめ「汐留」駅直結、都営大江戸線「汐留」駅直結,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥16,203〜","（￥8,101〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7627,ホテルサンルート有明,/yad350291/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350291&callbackHistFlg=1,りんかい線国際展示場駅から徒歩3分。ホテルから東京ビッグサイトまで徒歩5分。舞浜までのTDRグッドネイバーバスが無料。羽田・成田空港からリムジンバス運行中。渋谷、新宿、池袋、新橋まで乗換なし。,【アクセス】りんかい線国際展示場駅、ゆりかもめ国際展示場正門駅からともに徒歩3分。首都高湾岸線有明ランプより3分。,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7628,ホテル グランパシフィック LE DAIBA,/yad397480/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397480&callbackHistFlg=1,羽田空港からバスで約20分、銀座・新橋へは「ゆりかもめ」で約15分、ＴＤＲへは「グッドネイバーホテル・シャトル」の無料送迎もある。また、東京ビッグサイトも近くとレジャー・ビジネスに便利なホテル。,【アクセス】ゆりかもめ台場駅直結。りんかい線東京テレポート駅下車徒歩約10分（無料バス「東京ベイシャトル」あり）。,エリア ： 東京都 > お台場・汐留・竹芝,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7629,水道橋グランドホテル,/yad307812/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307812&callbackHistFlg=1,ホテル周辺は江戸時代の名残のある文京の地。東京ドーム・ラクーアが目の前にあり、最寄り５つの駅まで徒歩５分以内と交通至便。ビジネス・レジャーに最適。１０階和室貴賓室松園では宿泊と食事が出来る。,【アクセス】地下鉄水道橋駅徒歩1分・後楽園駅徒歩3分・春日駅徒歩5分。JR水道橋駅徒歩5分,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7630,お茶の水　ホテルジュラク,/yad323160/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323160&callbackHistFlg=1,JR御茶ノ水駅徒歩2分、秋葉原徒歩6分とアクセス抜群。なによりおススメはクチコミでも絶賛の「あけびの実」自然派ビュッフェ朝食！ディナービュッフェはその場で握るお寿司や揚げたて天ぷらが大人気です♪,【アクセス】JR中央線、総武線「御茶ノ水駅」下車聖橋口、地下鉄千代田線「新御茶ノ水駅」B２出口より徒歩２分,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7631,サクラホテル神保町,/yad324447/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324447&callbackHistFlg=1,世界有数の書店街、神保町にあるホテル。東西線、半蔵門線、新宿線の地下鉄3線が利用可能。東京ドームや日本武道館も徒歩圏内！ビジネスや観光はもちろん、野球観戦やコンサートでお越しの方もどうぞ！,【アクセス】神保町駅A1出口を左方向へ専大前交差点を左折し、ファミリーマートを過ぎたら再び左折。徒歩1分,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥7,712〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
