id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,セントラルホテル　横須賀,/yad308664/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308664&callbackHistFlg=1,※順次お部屋改装中です。■駅近＆繁華街至近☆好立地♪■全館・全客室Wi-Fi（無線LAN）対応！■各お部屋にサービスで、ボトルウォーター・インスタントコーヒー・カップ麺をご用意♪,【アクセス】京浜急行横須賀中央駅下車徒歩１分。横浜横須賀道路、横須賀Ｉ．Ｃより本町山中有料道路出口より５分。,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,ホテルＹＲＰ,/yad317912/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317912&callbackHistFlg=1,ホテル全室及びロビーにて無線LAN（Wi-Fi）接続サービスを無料でご利用いただけます。,【アクセス】京急ＹＲＰ野比駅下車、京急バスで光の丘５番下車徒歩０分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,観音崎京急ホテル,/yad322673/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322673&callbackHistFlg=1,品川から京急本線で1本。横浜横須賀道路馬堀海岸ICより約5分で、三浦半島のリゾート地、観音崎に到着。玄関を入ると雄大な海がお出迎え。さらに対岸には、房総半島を眺める絶好のロケーションが広がります。,【アクセス】京浜急行線馬堀海岸駅より「観音崎」行きバス１０分・タクシー７分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,葉山ホテル音羽ノ森,/yad339669/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=339669&callbackHistFlg=1,この度当ホテルでは、下記の日程におきまして館内改修工事を実施いたします。レストラン潮幸及びカフェテラスの一部【2016年3月14日（月）〜　4月13日（水）】,【アクセス】■JR逗子駅→ホテル送迎バスあり。平日のみ1日2便（12：10発、14：45発）電話予約のみ承っております。,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥32,777〜","（￥16,388〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,佐島マリーナホテル,/yad340547/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340547&callbackHistFlg=1,冬晴れの空、夕陽と富士山が絶景です。相模湾が一望出来る展望風呂でのんびりした後は地元の食材を使ったお料理をお楽しみ下さい。海が一望出来るレストランでは只今「クラムチャウダーランチ」が人気です。,【アクセス】横浜横須賀道路逗子ｲﾝﾀｰから車で約20分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥13,333〜","（￥6,666〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4204,ホテルハーバー横須賀,/yad363990/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=363990&callbackHistFlg=1,京浜急行「汐入駅」徒歩１分。JR「横須賀駅」徒歩５分。コンビニも徒歩１分。ホットコーヒー無料。ホテル駐車場満車日:3月27日4月29日,【アクセス】京浜急行汐入駅徒歩1分　JR横須賀駅徒歩5分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥8,518〜","（￥4,259〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,メルキュールホテル横須賀,/yad364572/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=364572&callbackHistFlg=1,京浜急行汐入駅徒歩1分、ＪＲ横須賀駅徒歩７分の好立地。鎌倉、湘南も充分行動範囲内♪　万全のセキュリティシステムで女性だけの宿泊も安心です☆　横須賀港を見渡せる19階レストランでの朝食もオススメ！,【アクセス】京浜急行汐入駅から徒歩1分、横浜横須賀道路、横須賀ＩＣより本町山中有料道路出口より約５分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥7,842〜","（￥3,921〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,ウィークリィマンション　シャトーブラン,/yad388564/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388564&callbackHistFlg=1,自炊ができる宿泊施設！長期滞在に最適。京浜急行横須賀中央駅から徒歩７分。買い物至便。全室インターネット接続可能。洗面用品・タオル・寝巻き・食料及び調味料はお客様ご自身でご用意くださいませ。,【アクセス】京浜急行線横須賀中央駅下車徒歩７分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥7,388〜","（￥3,694〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,湘南ＯＶＡ,/yad391104/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=391104&callbackHistFlg=1,「安らぎ」と「癒し」を楽しめる空間でリフレッシュ！,【アクセス】JR逗子駅・横須賀駅から車で20分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥13,888〜","（￥6,944〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,衣笠温泉旅館,/yad397685/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397685&callbackHistFlg=1,都心から約60分。横浜横須賀道路、衣笠ICより５分。三浦半島のほぼ中央部に位置。横須賀・三浦半島への観光の他、ビジネスにご利用下さい。,【アクセス】横浜横須賀道路衣笠ＩＣより５分、京浜急行電鉄横須賀中央駅より２０分、ＪＲ衣笠駅より１５分,エリア ： 神奈川県 > 横須賀,2016-03-28 04:18:11,2016-03-28 04:18:11,"￥12,959〜","（￥6,479〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
