id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,いずみ旅館,/yad305524/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305524&callbackHistFlg=1,インターネット全室無料、　身延山参拝、ビジネス、富士五湖、七面山　南アルプス、毛無山　、　身延工業団地、　写真、JR身延線利用、国道５２、　３００利用便利　、,【アクセス】JR身延線下部温泉駅下車目の前　各地高速から中央自動車道甲府南又は甲府昭和ICで下りる,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥9,166〜","（￥4,583〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,田中屋旅館,/yad306718/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306718&callbackHistFlg=1,身延山三門まで徒歩30秒。江戸時代からの歴史と伝統が息づく当館で、多彩な会席料理や山梨ワイン＆地酒に舌鼓。身延駅と久遠寺へは無料送迎あり。心を癒す早朝の勤行「朝勤」やパワースポット巡りへGO！,【アクセス】JR身延線　身延駅下車　ﾊﾞｽまたは車（送迎）で約12分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥13,888〜","（￥6,944〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,山あいの隠れ家　湯宿　梅ぞ乃,/yad308317/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308317&callbackHistFlg=1,湯葉料理やヤマメ塩焼きなど旬の食材を活かした自然会席をお部屋でゆっくりと。信玄の隠し湯〜名湯100選の温泉はぬる湯・あつ湯が楽しめます。自然あふれる山あいの清流沿いにある静かな宿です。,【アクセス】電車/JR身延線下部温泉駅より徒歩3分、車/中央道甲府南ICより50分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,光明石の湯　いち柳ホテル,/yad310225/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310225&callbackHistFlg=1,湯ざわりの優しい光明石の湯と、山梨グルメや郷土料理など旬の懐石料理でおもてなし。全室ネット接続ＯＫ！ビジネスにも便利！中部横断道：増穂ICより車で５分！身延山まで車で1時間です。,【アクセス】中央道双葉JCTから中部横断自動車道、増穂インター下車左折、一つ目の信号右折3分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥9,722〜","（￥4,861〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,下部温泉　元湯旅館　大黒屋,/yad312408/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312408&callbackHistFlg=1,武田信玄の隠し湯といわれる下部温泉の源泉ぬる湯とあつ湯が堪能できる総ひのき風呂と岩風呂が自慢。1日2組限定の貸切風呂も人気。清流の川魚や山菜、猪鍋等下部ならではの旬の幸を味わえる。,【アクセス】JR中央線甲府駅乗換JR身延線下部温泉駅下車、タクシー5分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,下部ホテル,/yad315267/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315267&callbackHistFlg=1,これからは新緑狩りとハイキングが最適な季節！魅力あるプランも盛りだくさん！「信玄の隠し湯」と言われた名湯を泉質の異なる２つの温泉と１２の湯舟。本栖湖まで車で約30分,【アクセス】電車：JR身延線下部温泉駅より徒歩1分／車：中央道甲府南ICより50分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥24,800〜","（￥12,400〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,全館源泉かけ流しの宿　甲州西山温泉　慶雲館,/yad321825/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321825&callbackHistFlg=1,日本建築の粋を集め、西山の神秘の郷に咲いた風雅の宿。甲斐の山懐につつまれた秘湯は、多くの都人や名将、文人達に愛されつづけてきた。４つの自然湧出の源泉は、湯量も豊富。,【アクセス】中央道　双葉JC→中部横断自動車道　増穂ICより７０分　→国道Ｒ５２号→県道Ｒ３７号（身延町・早川町）,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥44,000〜","（￥22,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,湯元ホテル,/yad333394/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333394&callbackHistFlg=1,下部川渓谷沿いの風呂と料理自慢の歴史ある老舗旅館。敷地内に自噴する源泉を3本有し湯量は、下部ＮＯ１．御料理は、旬の素材を活かした和食会席料理。常連客やリピーターが多く、ゆったり過ごせる宿です。,【アクセス】JR身延線下部温泉駅下車、タクシー3分／中央道甲府南ICおよび甲府昭和ICより約50分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥12,277〜","（￥6,138〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,くつろぎの宿　裕貴屋,/yad336244/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336244&callbackHistFlg=1,館内は天井や柱・梁など歴史を感じる風情。ぬる湯の源泉が底の板間から湧き出る岩風呂は、じっくり浸かるほどその良さが分かる。和の灯りがやさしい館内でくつろぐ、癒しの時間を心ゆくまで。,【アクセス】JR中央線甲府駅下車、身延線乗り換え下部温泉駅タクシー3分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥24,074〜","（￥12,037〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,船山温泉,/yad342994/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=342994&callbackHistFlg=1,山の中の一軒宿です。露天風呂など６つのお風呂からの眺めは、深い山と清冽な川！自然満喫の散策と、お部屋でのおくつろぎで心と身体が癒されます。山と川の、旬の幸を活かしたお料理、名物は猪鍋です。,【アクセス】JR身延線内船駅より車で約１０分、車/新東名高速新清水ICより国道５２号線に入り甲府・身延方面へ約３５分,エリア ： 山梨県 > 下部・身延・早川,2016-03-28 00:46:46,2016-03-28 00:46:46,"￥34,814〜","（￥17,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
