id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6338,囲炉裏会席と樹氷の宿　不動温泉　華菱（はなびし）,/yad304197/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304197&callbackHistFlg=1,阿智村浪合の当館は地図にはあまり載っていませんが炭火で味わう囲炉裏料理は強烈な印象が残り、リピーター客も多いです。豊かに湧き出る南信州の名湯　不動温泉のうるおいの湯でゆったりお寛ぎ下さいませ。,【アクセス】新宿から中央道経由で3時間30分で飯田着,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥12,037〜","（￥6,018〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6339,リフレッシュ　in　ひるがみの森,/yad306060/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306060&callbackHistFlg=1,美肌の湯を堪能できる庭園風露天風呂と1年中遊べるスライダー付き温水プールが魅力。幅広い年齢層のお客様にお寛ぎ頂けるリーズナブルでアットホームな温泉お宿,【アクセス】中央道園原ＩＣより約１０分（名古屋・関西方面）、飯田山本ＩＣより約１０分（関東・長野方面）,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,ユルイの宿　恵山,/yad323961/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323961&callbackHistFlg=1,“ユルイ”とは囲炉裏のこと。とろとろとした「美肌美人の湯」と、板前が作る郷土の食材を使った会席料理、さらには自慢の囲炉裏料理の二本柱で恵山だけのおもてなし。旅の楽しみを知っていただける宿です。,【アクセス】JR飯田駅よりバスで40分。中央道飯田山本ICより車で約12分。中央道園原ICより車で約10分。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥24,000〜","（￥12,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6341,料理旅館むらさわ,/yad335358/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335358&callbackHistFlg=1,静かに上質なお湯とお料理を堪能したい方の為の宿。気さくな女将と主人に「まるで自分の田舎のようだ」と何度も足を運ぶ人が多い。,【アクセス】中央道園原ICより１０分／飯田ICより２５分,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥26,000〜","（￥13,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342,万葉茶寮みさか,/yad346120/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346120&callbackHistFlg=1,南信州の季節の青葉、ハーブ、紅葉などを器にあしらうなど真心いっぱい、工夫いっぱいのお料理が楽しい。ミニ図書館とミニギャラリーもあり。,【アクセス】中央道飯田ＩＣよりＲ１５３号で約１５分。中央道園原ＩＣより約５分。飯田駅よりタクシーで約３０分。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥14,500〜","（￥7,250〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,下條温泉 加賀美（旧くつろぎの宿　佳が美）　,/yad391544/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=391544&callbackHistFlg=1,山間に佇む一軒宿。開放的な露天風呂で四季の景観/満天の星空をお楽しみ下さい。とろみのある温泉と南信州の地のものを活かし宿の主が丹精こめた和会席が自慢！季節の自然を満喫できる静かな湯宿です。,【アクセス】ＪＲ天竜峡駅車７分/飯田山本IC車5分/信州下條村「道の駅そばの城」お車3分,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥17,037〜","（￥8,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344,浪漫の館　月下美人,/yad300526/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300526&callbackHistFlg=1,"開放感のある露天風呂と山の幸を使った手作り会席料理が自慢。※３月末まで地方創生交付金事業の下條村の取組として簡単なアンケートにお答え頂いた方にお１人様¥1,000のキャッシュバック実施中！",【アクセス】三遠南信天竜峡ICよりお車で5分。中央高速伊賀良バス停から25分・JR飯田線天竜峡駅より7分。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥19,305〜","（￥9,652〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6345,石苔亭いしだ,/yad308922/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308922&callbackHistFlg=1,南信州の静かな山里に佇む湯宿。3月の「座禅草」「福寿草」に始まり温泉街の「桜並木」や古木「駒つなぎの桜」、月川の「花桃」とこの季節、多くの花が愉しめます。「日本一きれいな星空」も必見です！,【アクセス】JR飯田駅から路線バスで４０分。無料送迎あり（要事前予約）　名古屋から昼神温泉直行バスあり（約90分）,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥34,000〜","（￥17,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346,昼神グランドホテル天心,/yad318170/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318170&callbackHistFlg=1,名古屋から車で90分。昼神温泉郷の阿智川沿いに位置する温泉旅館。昼神温泉ライナーのご利用も便利です。地上7階の展望大浴場と1階の庭園風呂で温泉を満喫。スタッフの心温まるおもてなしも評判です。,【アクセス】ＪＲ飯田駅よりタクシーで30分。中央自動車道　園原ＩＣより車で10分または、飯田山本ＩＣより車で10分。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥18,518〜","（￥9,259〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6347,お宿山翠,/yad318274/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318274&callbackHistFlg=1,春は桜やはなもも、夏はあじさいや蛍、秋は紅葉にコスモス、冬は雪景色と四季を肌で感じられるお宿。全28室、禁煙ルームや和洋室、また囲炉裏付きのお部屋もありごゆっくりとお過ごしいただけます。,【アクセス】中央道園原インターより車で10分、飯田山本インターより10分、JR飯田駅よりバス40分,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥21,000〜","（￥10,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6348,おとぎ亭　光風,/yad319263/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319263&callbackHistFlg=1,四季折々のおとぎ物語をテーマに趣向のある空間をお楽しみください。ゆったりとした時の流れを感じて思い思いにお寛ぎください。,【アクセス】JR飯田線飯田駅下車タクシー２５分。中央道園原ICより国道153ぞい温泉峡内。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥22,000〜","（￥11,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,信州まつかわ温泉　清流苑,/yad319693/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319693&callbackHistFlg=1,南アルプスの山並が眺望できる伊那谷屈指の庭園大露天風呂。夜には満天の星空。隣接のスライダー付室内温水プール、人工芝体育館等も完備。森林セラピー、トレッキング等、豊かな自然の中でのんびりを体験！,【アクセス】JR飯田線伊那大島駅下車、車で８分,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,昼神温泉　はなや（絶景露天風呂と料理を愉しむ湯宿）,/yad325088/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325088&callbackHistFlg=1,★大人気！★“デザイナーズ客室”と“無料の貸切温泉”Ａ5信州牛【料理長自慢の創作料理】は女性や食通にも大評判〜≪個人のお客様中心の≫上質な湯宿で『上質な2人旅』〜,【アクセス】東京方面より：中央道飯田山本ICから約10分　　名古屋方面：園原I.Cから約8分）　小牧JCTから約1時間です。,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥28,000〜","（￥14,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6351,月川温泉　野熊の庄　月川,/yad331279/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331279&callbackHistFlg=1,四季で風景を感じ、テニス・登山・釣り・スキーなどでリフレッシュ。露天風呂より見える星空は格別、南信州の味と風景を感じて頂く山郷の一軒宿,【アクセス】中央自動車道園原ICより約5分、飯田ICより約35分。JR飯田駅より約45分、JR中津川駅より中央道利用約35分,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,湯元ホテル阿智川,/yad342120/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=342120&callbackHistFlg=1,武田信玄ゆかりの湯として知られる名湯。200人は入れようかと言う大浴場に、洞窟風呂ありジャクジーありの温泉天国。　近年　全館を増改築完成。風呂・施設・食事　全て満足のいく昼神随一のホテルです。,【アクセス】中央道園原ＩＣより１０分（中京・関西方面）、飯田山本ＩＣより１０分（関東・長野方面）,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥18,518〜","（￥9,259〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6353,日長庵　桂月,/yad346195/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346195&callbackHistFlg=1,銘木造りの大浴場で温泉を堪能できる高級和風旅館。香のかおり漂う館内、品格漂う調度やしつらい、旬の素材を使った心づくしのお料理。歴史ある老舗料亭を姉妹店に持ち、料理に定評のあるお宿。,【アクセス】中央道園原ＩＣより１０分（中京・関西方面）、飯田山本ＩＣより１０分（関東・長野方面）,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6354,懐石と炉ばたの宿　吉弥,/yad357458/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357458&callbackHistFlg=1,信州・昼神温泉「阿布知の四泉」として男女露天、男女展望風呂が自慢の宿。食事は足の下ろせるお座敷で。別館ではいろり料理がいただける。貸切温泉、癒しのアロママッサージルーム完備,【アクセス】中央道園原ＩＣより１０分（中京・関西方面）、飯田山本ＩＣより１０分（関東・長野方面）,エリア ： 長野県 > 阿智・昼神・下伊那,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6355,安曇野の小さなホテル アルムハウス,/yad317545/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317545&callbackHistFlg=1,清潔・快適・おいしい料理がモットーのオーベルジュ。オーナーシェフによる手作りの欧風コース料理が自慢。マダムが講師も勤めるリンパケアはエステ感覚で好評。夕食後にはとんぼ玉作成体験もできる。,【アクセス】ＪＲ大糸線穂高駅よりタクシー約５分、長野自動車道豊科ＩＣより約１５分,エリア ： 長野県 > 安曇野・穂高,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6356,ペンション　花ことば,/yad364112/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=364112&callbackHistFlg=1,　穂高温泉郷の森の中の別荘地に佇む静かな館。マイナスイオンたっぷり森林浴を！中房渓谷から引湯のアルカリ単純泉は美肌にいいと女性に大人気。自家栽培のお米や野菜をたっぷり使った料理は身体に優しい。,【アクセス】安曇野ＩＣから穂高温泉郷方面へ12Ｋｍ20分、ＪＲ穂高駅下車タクシー１０分,エリア ： 長野県 > 安曇野・穂高,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥12,685〜","（￥6,342〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6357,ペンション　あるかす,/yad304429/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304429&callbackHistFlg=1,ＴＶドラマにも使われたペンション。和洋折衷の手作りディナーと燻製チーズが好評。天然温泉は空いている時に入れる貸切制。お一人・ご家族・カップル・グループで♪気兼ねなく寛げるリピーターの多い宿！,【アクセス】ＪＲ大糸線穂高駅タクシー１０分（バスあり）。長野道安曇野ＩＣより車20分,エリア ： 長野県 > 安曇野・穂高,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥10,555〜","（￥5,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6358,セミナーハウス花村,/yad304690/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304690&callbackHistFlg=1,貸別荘コテージは、穂高温泉を引き込み、大理石の浴槽に天然温泉をかけ流し!寝室３つに広間30,,エリア ： 長野県 > 安曇野・穂高,2016-03-28 00:46:15,2016-03-28 00:46:15,"￥33,055〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
