id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3939,旅館　冥加屋ハウス,/yad304907/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304907&callbackHistFlg=1,観光地弥彦の中で、お手頃料金で泊まれるリーズナブルな宿。和室のお部屋でのんびり寛げる。緑あふれる弥彦公園へも歩いて１分。フロント、及びすべてのお部屋で無線ＬＡＮ対応だからビジネスにも便利！,【アクセス】弥彦駅より徒歩1分。新幹線燕三条駅よりタクシーで２５分。関越道三条燕ＩＣより車で２５分。,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:31,2016-03-28 00:46:31,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3940,弥彦館　冥加屋,/yad304984/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304984&callbackHistFlg=1,現在の当主で75代目。全て異なる造りの客室は宮大工の手による凝った細工が残されている。大浴場は24時間入浴可能。2004年6月ペットと入れる貸切風呂を新設！又当館経営のログレストランで洋食も楽しめる。,【アクセス】上越新幹線燕三条駅乗換、弥彦線弥彦駅より徒歩１５分。北陸道三条燕ICよりR２８９経由車３０分。,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:31,2016-03-28 00:46:31,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3941,アパヴィラホテル＜燕三条駅前＞（アパホテルズ＆リゾーツ）,/yad308792/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308792&callbackHistFlg=1,一人旅＆観光に最適！全室Ｗｉ-Ｆｉ接続無料で人工ラヂウム温泉浴場を完備。新潟駅・長岡駅へ新幹線１駅の好立地。寺泊港・弥彦神社・燕三条地場産業振興センターへのアクセスも抜群！,【アクセス】上越新幹線・ＪＲ弥彦線「燕三条駅」徒歩約３分,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥4,166〜","（￥2,083〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3942,海華亭　かわい,/yad311742/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311742&callbackHistFlg=1,■美しい日本海を望める越後七浦シーサイドラインの高台にあり■ロビー・お部屋から日本海を一望！■地元の漁港より直送の魚貝類をふんだんに使った料理が人気■大浴場、露天風呂で癒しのひとときを。,【アクセス】ＪＲ越後線岩室駅下車タクシー２０分。北陸自動車道巻潟東ＩＣよりＲ４６０をＲ４０２へ。,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥22,148〜","（￥11,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,アクアホテル燕三条駅前店,/yad313475/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313475&callbackHistFlg=1,JR燕三条駅燕口から徒歩1分と好立地。館内には新潟県で一番高い階（10階）にある展望風呂とサウナがあり！本館１Ｆには日本海の海の幸と創作料理『ニ半亭』がございます。Wi-Fi完備。,【アクセス】ＪＲ燕三条駅から徒歩１分。北陸道・三条燕インターより車で３分！,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥9,351〜","（￥4,675〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3944,岩室温泉　ほてる大橋館の湯,/yad313589/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313589&callbackHistFlg=1,大浴場、露天風呂は岩室・燕三条・弥彦地区随一の広さ、新潟唯一岩盤浴を備えた天然温泉宿。越後一の宮・弥彦神社より連なる岩室富士の四季を望み、洗練された会席料理と日本の銘酒に酔いしれる至福の一時を,【アクセス】北陸道＜巻潟東ＩＣ＞より国道116号線→約15分／ＪＲ越後線「岩室駅」→タクシー8分（無料送迎有要予約）,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥5,998〜","（￥2,999〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945,ホテルニューグリーン燕三条,/yad313668/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313668&callbackHistFlg=1,燕三条駅、三条燕インターに近くビジネス・レジャーに最適。全室Ｗｉ-Ｆｉ接続無料、暖房便座付ウォシュレット、ベッドはセミダブルサイズ・羽毛布団使用。バスルームにも窓があり、明るく開放的です。,【アクセス】ＪＲ上越新幹線燕三条駅より徒歩３分、北陸自動車道三条燕インターより車で３分。,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946,岩室温泉　高志の宿　高島屋,/yad314098/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314098&callbackHistFlg=1,江戸時代の庄屋屋敷を活かしたロビーは、２６０年もの歳月を経て今なお時を刻み続けております。非日常の和の空間と心尽くしのおもてなしで、皆様のお越しをお待ち致しております。,【アクセス】ＪＲ越後線・岩室駅より車8分、岩室駅より送迎可能。北陸自動車道・巻潟東ＩＣ下車18分,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:30,2016-03-28 00:46:30,"￥30,277〜","（￥15,138〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3947,弥彦温泉　割烹の宿　櫻家,/yad317165/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317165&callbackHistFlg=1,弥彦駅前にあり弥彦の歴史とおもてなしを守り継ぐ宿。館内は全て畳か絨毯敷きなので素足で過ごせる（足袋もご用意）板長自慢の割烹料理は越後ならではの山海の幸を贅沢に使った絶品が並び、旬の味覚に舌鼓,【アクセス】弥彦駅より徒歩１分,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:31,2016-03-28 00:46:31,"￥15,000〜","（￥7,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948,湯田上温泉　旅館　初音,/yad327855/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327855&callbackHistFlg=1,新登場『地酒三昧プラン』新潟の美味い！を召し上がれ！和食とイタリアンのお料理が大好評☆昭和レトロな雰囲気をお楽しみいただける静かな里山の小さな温泉宿です。,【アクセス】北陸自動車道三条燕ＩＣより車で３０分。信越線田上駅よりタクシー2分。,エリア ： 新潟県 > 燕・三条・岩室・弥彦,2016-03-28 00:46:31,2016-03-28 00:46:31,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
