id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8423,バーデン明日,/yad300001/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300001&callbackHistFlg=1,黒部川の清流と緑の樹林に囲まれた源泉の天然温泉。立山連峰の雪解け水を地下の水脈に取り込み、豊かに溢れ出る温泉は、トロリとした湯質で天然の化粧水といわれる美人湯。立山の天然水をプレゼント,【アクセス】北陸自動車道黒部ｲﾝﾀｰﾁｪﾝｼﾞから車で約15分。公共交通機関ご利用の場合は、送迎の予約が必要です。,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥11,944〜","（￥5,972〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8424,長谷川旅館,/yad300715/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300715&callbackHistFlg=1,ビジネス・観光に最適！駐車50台分完備。地元黒部の名水で育まれた、海山の幸を使った料理も大好評。メニューも毎日変わるので、長期滞在の方にもご好評。又全室インターネットの接続が無料で出来ます。,【アクセス】JR黒部駅下車徒歩1分。北陸高速道黒部IC出口より車で15分。魚津IC出口より車で20分。,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8425,名剣温泉,/yad301573/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301573&callbackHistFlg=1,黒部峡谷鉄道のトロッコ電車で終点・欅平（けやきだいら）より徒歩15分。掛け流しの温泉と地物山菜料理でおもてなし。峡谷に轟く滝の音がすぐ間近に感じられ奥黒部の自然のすごさに圧倒される。,【アクセス】黒部峡谷鉄道宇奈月駅よりトロッコで1時間20分、終点欅平駅より徒歩15分。,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥32,000〜","（￥16,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8426,ファミリーロッジ旅籠屋・黒部店,/yad304057/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304057&callbackHistFlg=1,広い客室にクイーンサイズベッド２台を配置した人気のロードサイドホテル。朝軽食・WiFi＆ネット接続・駐車場いずれも無料。コインランドリーあり。ご家族、カップルやグループ、ビジネスにも最適。,【アクセス】北陸自動車道・黒部ICから西へ4.8km。国道8号のバイパス側道沿い。,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥8,300〜","（￥4,150〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,ホテルアクア黒部,/yad312061/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312061&callbackHistFlg=1,黒部峡谷など観光の拠点に最適！あいの風とやま鉄道黒部駅から徒歩1分なのでビジネス利用にも便利！館内には富山湾の幸が味わえる日本料理店も備え、お勧め！,【アクセス】あいの風とやま鉄道黒部駅下車徒歩1分、北陸自動車道黒部ｲﾝﾀ-より車で12分,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥11,700〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8428,マークホテル,/yad330292/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330292&callbackHistFlg=1,広いお部屋で全室ダブルベッドサイズ、あなたの旅の疲れを癒します。全室インターネット可　バス＆洗浄付きトイレ　冷蔵庫液晶TV　各種アメニティ完備　無料駐車場,【アクセス】JR入善駅より徒歩5分　北陸自動車道入善スマートICより車で１０分　入善まちなか交流施設「うるおい館」隣,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥7,629〜","（￥3,814〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429,旅館かしはら館,/yad332415/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332415&callbackHistFlg=1,四季折々の北陸の豊富な自然の幸に恵まれた入善。駅から徒歩５分と、ビジネスにも便利です。広めの洋室のプライベートな空間と、暖かな家庭的な雰囲気。自室のおくつろぎを、お約束致します。,【アクセス】入善駅から徒歩5分,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥6,203〜","（￥3,101〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8430,宇奈月 杉乃井ホテル (旧 宇奈月ニューオータニホテル),/yad332990/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332990&callbackHistFlg=1,昨年9月オープンの展望露天風呂『棚湯』、そして昨年11月リニューアルの『大黒部』。2つの温泉が皆様の心と体を温めます。そして現在開催中のバイキングは！ブリカニ祭り！日本海の味覚をご堪能あれ！,【アクセス】富山地方鉄道宇奈月温泉駅より徒歩3分、無料送迎バス有、要予約。北陸自動車道黒部ICより車約20分,エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8431,さざなみ温泉　みずしま,/yad356543/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356543&callbackHistFlg=1,定置網から直送される新鮮な海の幸。お刺身の舟盛りや、ぶり・カニ・白えび・ホタルイカに郷土料理のタラ汁も人気★温泉浴場の露天風呂や客室から日本海が見渡せます★黒部峡谷・立山への玄関口にあたります,【アクセス】北陸道朝日ICより８分。国道８号境交差点。あいの風とやま鉄道越中宮崎駅より徒歩２０分(送迎有・要電話),エリア ： 富山県 > 宇奈月・黒部,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥23,703〜","（￥11,851〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8432,ホテルグランミラージュ,/yad310299/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310299&callbackHistFlg=1,富山県を代表する食の宝庫「日本海」と、春夏秋冬様々な姿で皆様を惹く「立山連峰」に囲まれた、市内唯一のシティホテルです。北陸地域ならではの味と、おもてなしの心を持って、皆様をお迎え致します。,【アクセス】魚津駅から徒歩５分、２０１５年３月１４日〜北陸新幹線黒部宇奈月温泉駅⇒ホテル間乗合タクシー無料要予約,エリア ： 富山県 > 滑川・魚津,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥12,222〜","（￥6,111〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8433,ホテルサンルート滑川,/yad317709/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317709&callbackHistFlg=1,あいの風とやま鉄道滑川駅から徒歩1分。滑川ICから車で10分と大変便利。上市町や富山市にもほど近く、ビジネスの拠点に最適！立山黒部アルペンルート、黒部峡谷トロッコの入り口まで1時間で観光の拠点にも！,【アクセス】あいの風とやま鉄道滑川駅の北東に隣接,エリア ： 富山県 > 滑川・魚津,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8434,ビジネスホテル美浪,/yad373498/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=373498&callbackHistFlg=1,当ホテルはなんといっても立地よし！黒部峡谷・立山アルペンルートへの拠点に最適♪宇奈月温泉までも富山地鉄本線で約30分！お部屋は禁煙・喫煙とお選びいただけます☆ごゆっくりとお寛ぎください。,【アクセス】北陸本線魚津駅から徒歩1分,エリア ： 富山県 > 滑川・魚津,2016-03-27 09:31:00,2016-03-27 09:31:00,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
