id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,ＨＯＴＥＬ　ＡＺ　石川粟津店（旧亀の井ホテル 石川粟津店）,/yad313794/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313794&callbackHistFlg=1,◆平成２８年３月１日改装オープン！！■インターネット完備(有線LAN・無線LANあり）■無料大駐車場有■フロント２４時間有人対応,【アクセス】加賀インター＆小松インターから車で25分、JR加賀温泉駅＆JR小松駅よりタクシーで15分,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥6,796〜","（￥3,398〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,源泉かけ流しの宿  かめたに,/yad315078/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315078&callbackHistFlg=1,泉質にこだわる方にお勧めの宿です。かめたにの温泉は敷地内地下15mより湧出後三秒以内、そのままに源泉を湯ぶねにかけ流しております。飲用もできる、本当の温泉をぜひ一度お試しにいらして下さい。,【アクセス】JR「加賀温泉駅」下車タクシー20分。車：「加賀IC」から８号線へ出て、金沢小松・方面へ約25分。,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥9,537〜","（￥4,768〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352,旅亭　萬葉,/yad316346/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316346&callbackHistFlg=1,2千坪の庭園に囲まれた全10室の金沢の隠れ宿「旅亭　萬葉」。10室中7室がそれぞれ趣が異なる露天風呂付客室。静かな隠れ宿で大人のための「極み懐石」を味わう至福のひと時。この静寂は金沢から約15km。,【アクセス】北陸自動車道　小松IC下車　加賀産業道路（22号線）より　約20分,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥34,259〜","（￥17,129〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,露天のゆ　金閣,/yad320940/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320940&callbackHistFlg=1,「恋人達の宿」として注目の温泉旅館。自家堀源泉100％の湯は「翌朝の化粧ノリが断然違う！」と評判。湯浴み後は、部屋で極上エステを堪能。姉妹館「辻のや花乃庄」への湯巡り無料♪（※花廻湯は除く）,【アクセス】JR加賀温泉駅より車で約20分。小松空港より車で約25分。北陸道加賀ICより小松方面へ車で約25分。,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5354,星空露天と味のおもてなし　金沢辰口温泉たがわ龍泉閣,/yad336503/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336503&callbackHistFlg=1,開湯1400年豊富な湯量と自然派温泉「田んぼの湯」は口コミ4.5★北陸最大級の混浴露天風呂★金沢から40分★JR松任駅＆小松空港送迎も有り！,【アクセス】金沢より西へわずか約20km車40分松任駅より車15分　北陸自動車道金沢西ICより約30分・小松ICより約20分,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥14,814〜","（￥7,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,小松天然温泉 ルートイングランティア小松エアポート,/yad360800/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360800&callbackHistFlg=1,◆小松ＩＣから１分◆ゴルフ練習場・グランドゴルフ・テニスコート・宴会場・会議室◆地下1000ﾒｰﾄﾙから湧き出す天然温泉「あたかの湯」◆平面無料駐車場300台◆加湿空気清浄機・Wi-Fi全室完備,【アクセス】北陸自動車道小松ICより500m/小松空港より3.5km車で5分/JR小松駅より3.7km車で7分,エリア ： 石川県 > 粟津・小松・辰口,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥10,833〜","（￥5,416〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5356,ちりはまホテルゆ華,/yad300454/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300454&callbackHistFlg=1,【至福の宿】2015年4月全館リニューアルオープン♪ゆったりできる18室と6棟の離れ。自家源泉掛け流し美肌効果のある琥珀色の湯。千里浜徒歩3分！石川能登満喫には最適の宿。のどぐろ新鮮な能登の幸を堪能,【アクセス】金沢より車で40分。観光に最適。のと里山海道・千里浜ICすぐそば。JR羽咋駅よりタクシーで5分,エリア ： 石川県 > 羽咋・かほく,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5357,ホテル北陸古賀乃井（HMIホテルグループ）,/yad303136/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303136&callbackHistFlg=1,いつでもお手頃な料金で北陸の海の幸がいっぱい味わえる宿。柴山潟と白山連邦を間近に見渡す眺めの良い温泉大浴場。,【アクセス】電車：JR加賀温泉駅下車タクシー約8分　車：北陸道片山津IC下車約8分　小松空港：タクシー約30分,エリア ： 石川県 > 加賀,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥9,518〜","（￥4,759〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,湯快リゾート　片山津温泉　ＮＥＷ　ＭＡＲＵＹＡ　別館,/yad308689/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308689&callbackHistFlg=1,ビジネス利用・チェックイン遅め・食事は外で…【素泊まりプラン】大歓迎！※当館は女性大浴場・お食事会場はございません。本館へご移動お願いしております。　詳しくは一度、お電話下さいませ。,【アクセス】加賀温泉駅下車、無料巡回バスで１０分　（予約制）,エリア ： 石川県 > 加賀,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥8,555〜","（￥4,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,サンシティーホテル山代,/yad313405/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313405&callbackHistFlg=1,立地に少し弱気なので頑張ります！《無料サービス》,,エリア ： 石川県 > 加賀,2016-03-27 09:31:24,2016-03-27 09:31:24,"￥6,435〜","（￥3,217〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
