id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8477,あわら温泉　白和荘,/yad309483/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309483&callbackHistFlg=1,日本海の旬の幸を盛り込んだ美味しいお料理を満喫！板長が心を込めて調理致します。「離れ　風月庵」や「露天風呂付き客室」と「貸し切り風呂３タイプ」もお子様連れやカップルに好評☆是非ご利用下さい。,【アクセス】ＪＲ芦原温泉駅よりバス又はタクシーにて１０分。無料送迎有り。要予約。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8478,伝統旅館のぬくもり　灰屋,/yad312648/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312648&callbackHistFlg=1,創業明治１７年の老舗宿。▽数寄屋造りの離れや、きめ細やかで温かい各種サービスも嬉しい。,【アクセス】ＪＲ芦原温泉駅より車で10分。北陸道金津ＩＣより15分。小松空港より車で約1時間。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥26,000〜","（￥13,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8479,あわら温泉　あわらグランドホテル,/yad314440/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314440&callbackHistFlg=1,■ふるさと割り対応のお宿■館内７大湯殿と外湯めぐりで温泉三昧■お子様連れでも安心夫婦水入らずでゆっくりお部屋・個室で「上げ膳据え膳」■東尋坊・越前海岸・永平寺・恐竜博物館への観光にも便利♪,【アクセス】■高速道路：金津ＩＣから車で10分　■芝政ワールド：車10分,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥8,296〜","（￥4,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8480,あわら温泉　グランディア芳泉,/yad316392/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316392&callbackHistFlg=1,"トリップアドバイザー2015年エクセレンス認証受賞◇趣の異なる32の温泉露天風呂付客室と約7,000坪の美しい日本庭園、温泉たまご手作り体験が人気の宿◇全室Wi-Fi無料接続OK◇クチコミ（夕食＆朝食）4.5点♪",【アクセス】JR芦原温泉駅より車で約15分(送迎有・要予約)／北陸道・金津ICより車で約15分／小松空港より車で約1時間,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8481,あわら温泉　日本の宿　べにや,/yad316832/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316832&callbackHistFlg=1,“1世紀を越える”歴史の中、『数々の著名人』に深く愛されてきた≪べにや≫今までもこれからも変わる事のない「おもてなし」を――“福井県”の温泉旅館として初めて、【国の登録有形文化財】に指定,【アクセス】ＪＲ芦原温泉駅より車で10分。北陸道金津ＩＣより15分。小松空港より車で約1時間。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥30,000〜","（￥15,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8482,気兼ねなく、心地よく、あわら温泉　ホテル八木,/yad320213/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320213&callbackHistFlg=1,サービスコンセプトは、「気兼ねなく、心地よく」。お手頃価格で静かに居心地のいい空間と気楽な時間を過ごすならホテル八木。出来立てと旬にこだわったごちそうバイキングでは4月末まで山菜まつり開催中！,【アクセス】JR芦原温泉駅より車で10分。あわら湯のまち駅から徒歩3分。北陸道金津ICより20分。小松空港より車で1時間,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥12,037〜","（￥6,018〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8483,味な庵　湯元　長谷川,/yad321765/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321765&callbackHistFlg=1,芝政まで車で約１０分！ファミリーにオススメ★美味しい『山海の幸盛りだくさんの』会席と、≪湯量豊富なまろやかな天然温泉≫と≪足湯≫で、体の芯までぽっかぽか♪心もあったまる旅をあわらで☆,【アクセス】JR芦原温泉駅より車で10分。無料送迎あります（要予約)。北陸道金津ICより15分。小松空港より車で1時間。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8484,花の宿　福寿,/yad323302/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323302&callbackHistFlg=1,あわら温泉・小さな宿ならではのくつろぎ★女将自ら彩る美しい花々や体の芯から温まるまろやかな湯、新鮮な海の幸をご堪能下さい!,【アクセス】ＪＲ芦原温泉駅より車で10分。北陸道金津ＩＣより車で20分。小松空港より車で60分。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8485,北陸最大級の庭園露天風呂の宿　清風荘,/yad323593/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323593&callbackHistFlg=1,冬の蟹ふぐバイキングは５０種類（姿蟹・蟹刺し・焼き蟹・蟹天麩羅・ふぐ刺しなど）は個室風ダイニングで１６.２００円〜レストラン食は１０.２６０円〜露天風呂付き＆庭園付きは完全禁煙フロアで全１３室。,【アクセス】あわら湯の町駅下車徒歩5分、JR芦原温泉駅よりタクシーで15分、金津IC下車温泉方面へ向かい約15分,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8486,北陸　あわら温泉　美松,/yad327149/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327149&callbackHistFlg=1,日本海側最大級計36室の露天風呂付客室数を誇る、美松の奥ゆかしきお寛ぎ空間。美しきご滞在のひとときを悠々と…。食の彩りも美松ならではの愉悦。福井の味の数々を。美松で湯めぐり芦原の名湯三昧。,【アクセス】ＪＲ芦原温泉駅より車で15分。北陸道金津ＩＣより15分。小松空港より車で約45分。,エリア ： 福井県 > あわら,2016-03-27 09:30:26,2016-03-27 09:30:26,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
