id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4586,伊東温泉　東栄ホテルあいおら　,/yad300816/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300816&callbackHistFlg=1,伊東の温泉郷を一望できる高台の宿。伊豆の自然がもたらした、豊かで清らかな自家源泉に一切手を加えない純粋な掛け流し風呂が魅力。伊豆の味覚満載の料理を、手頃な価格で堪能できるのもこの宿ならでは。,【アクセス】伊東駅より車で8分。無料送迎サービスもあります。,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥8,981〜","（￥4,490〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4587,貸切温泉付きコンドミニアムホテル　ガーランドコート宇佐美,/yad304993/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304993&callbackHistFlg=1,★今なら無料スパ券プレゼント★バーベキューや露天風呂を貸切で楽しみたいならココで決定！自然に囲まれたマンションタイプのガーデン付きコンドミニアムで別荘気分で自由気ままに滞在を楽しみましょう♪,【アクセス】道の駅伊東ﾏﾘﾝﾀｳﾝ伊東ｵﾚﾝｼﾞﾋﾞｰﾁ車約20分、宇佐美駅宇佐美海岸車約15分※当館HPの地図参照,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥4,259〜","（￥2,129〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4588,伊豆・伊東温泉　大東館,/yad319569/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319569&callbackHistFlg=1,源泉掛け流しの本物の温泉が自慢の宿です。お風呂は6つございまして、その内3ヶ所が貸切風呂となります。全てのお風呂が24時間入浴OKです。日帰り温泉としてもご利用いただけます。,【アクセス】東名厚木ＩＣ⇒小田原厚木道路⇒真鶴道路⇒熱海⇒135号線⇒ＪＲ伊東駅より車で4分。(伊東駅より徒歩12分),エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4589,眺望と全室源泉かけ流し露天　南山荘紫乃,/yad320924/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320924&callbackHistFlg=1,太平洋や街を見下ろす高台に佇む１日僅か３組様限定の隠れ宿。とにかく説明無用の大パノラマと、お部屋の露天風呂までもが完全放流式源泉かけ流し。こだわりの贅沢を是非ご堪能ください。,【アクセス】JR伊東駅から車で5分。最寄バス停南山荘徒歩2分。,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥61,111〜","（￥30,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4590,伊豆伊東温泉　癒し湯の宿　パレスホテル,/yad322776/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322776&callbackHistFlg=1,食事は、素材・仕入れにこだわり朝夕お部屋食♪地物を中心に刺身は生わさびを合わせてご用意致します！自家源泉の肌に優しい柔らか湯あたりの温泉はマイナスイオン含有で肌にも優しく心地よいです。,【アクセス】ＪＲ伊東駅より徒歩３分。東名沼津ＩＣより車で約１００分、厚木ＩＣより約９０分。,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4591,くつろぎ日和　伊東遊季亭,/yad323876/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323876&callbackHistFlg=1,嗜好を凝らした月替りの創作会席。温泉は保温効果抜群の自家源泉をかけ流しで。ゆったり１２時チェックアウト。伊東駅からはプライベート感重視の無料タクシー送迎。贅沢な大人の宿でくつろぎのひとときを。,【アクセス】ＪＲ伊東駅下車徒歩約9分（ＪＲ伊東駅タクシー無料送迎サービス有）,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥29,629〜","（￥14,814〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4592,ラフィーネ伊東,/yad333082/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333082&callbackHistFlg=1,伊東の町並みを望む全６室のお宿掛け流し温泉では、疲れた身体を心身共にリフレッシュ！小さな宿ならではの雰囲気は、プチ旅行にピッタリ♪ご宿泊者無料のプレミアムコーヒーはご好評を頂いております,【アクセス】東海道本線特急スーパービュー踊り子、伊東駅下車、車で約５分,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥6,851〜","（￥3,425〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593,翠方園,/yad342817/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=342817&callbackHistFlg=1,夕食・朝食なしの素泊り旅館。お風呂はすべて加水・加温無しの掛け流しで24時間入浴できる。鍵付き岩風呂の貸切露天で良質の天然温泉を満喫しよう。伊東駅からも近く電車でも便利。,【アクセス】JR伊東線伊東駅下車徒歩10分。お車では、東名高速厚木ICより、R271，R135経由で90分。,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4594,温泉民宿こまどり荘,/yad343074/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343074&callbackHistFlg=1,春爛漫。伊豆高原の桜のトンネルや、さくらの里のソメイヨシノも見頃になります。お料理自慢。熱々で新鮮な魚料理や自慢の舟盛、アットホームなおもてなしと１００％源泉の掛け流しでお迎えします。,【アクセス】ＪＲ伊東駅から徒歩１５分,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥17,037〜","（￥8,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4595,マストランプ -源泉掛け流しの小さなホテル-,/yad343219/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343219&callbackHistFlg=1,2015年ダイニングレストラン＆内風呂をリニューアル！新鮮魚介たっぷりのブイヤベース、伊豆ならではの食材の魅力を生かしたフレンチコースの宿。源泉100％掛け流し温泉でゆったりお過ごしください。,【アクセス】東名厚木ICより小田原経由で90分。または東名沼津ICより大仁経由で60分。JR伊東駅からタクシー3分。,エリア ： 静岡県 > 伊東・宇佐美・川奈,2016-03-28 02:36:37,2016-03-28 02:36:37,"￥25,925〜","（￥12,962〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
