id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,奥飛騨湯菜の宿　白雲荘,/yad315965/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315965&callbackHistFlg=1,日本海や太平洋の新鮮な魚介類や奥飛騨でしか味わう事の出来ない食材を当宿自慢の奥飛騨フレンチで仕上げます。５つあるお風呂は全て無料貸切りにて利用できます。,【アクセス】○松本ICより車で約８０分、高山西ICより車で約７０分、富山ICより車で約８０分。,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥15,000〜","（￥7,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,湯う香　三蔵庵(さんぞうあん),/yad323227/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323227&callbackHistFlg=1,"標高1,200m以上、天空の平湯温泉！自慢の温泉をお部屋の半露天風呂で24時間お好きな時間に満喫できます。お食事はお部屋で飛騨牛を堪能してください。自分達だけのプライベート時間を存分に満喫してください",【アクセス】JR東海高山線高山駅より平湯方面行きバス平湯温泉下車徒歩１分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥24,000〜","（￥12,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,個室で厳選飛騨牛を堪能、源泉露天付客室で癒される宿　旅亭雪紫,/yad324032/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324032&callbackHistFlg=1,飛騨牛と湯贅を愉しむ、大人な休日♪【飛騨牛専門旅館】が魅せる『極上A5飛騨牛』を使うお料理は絶品“とろける飛騨牛”をゆったり味わえる【個室食事処】“美人の湯”の【貸切露天風呂】は＜無料♪＞,【アクセス】長野道松本ＩＣより高山方面へ。平湯温泉経由にて車で90分。中部縦貫道高山ＩＣより車で80分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥34,000〜","（￥17,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,ひらゆの森,/yad330222/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330222&callbackHistFlg=1,平湯温泉ではめずらしい乳白色の源泉。15000坪の広大な敷地の中には、16の露天風呂(男7女9)！森の中の露天風呂で四季を感じる贅沢をどうぞ♪1泊朝食に素泊まりプランも好評♪原生林を満喫できる遊歩道も有。,【アクセス】JR松本駅下車、バス９０分平湯バスターミナル下車。徒歩３分。,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥8,148〜","（￥4,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,新平湯温泉　民宿森井,/yad346428/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346428&callbackHistFlg=1,大自然の中でゆっくり過ごしたい方に◎お部屋から北アルプスを眺めたり、露天風呂で湯浴みを楽しんだり…。食事は山菜や地元の食材を使った女将が作るおまかせ料理をご堪能いただけます。,【アクセス】東海北陸自動車道高山ICより60分／長野自動車道松本ICより70分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,松宝苑（しょうほうえん）,/yad356605/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356605&callbackHistFlg=1,団体客がいないため静かに過ごせる宿。木曽の五木を使用した湯殿造りの湯屋・露天風呂・貸切露天は三本の自家源泉から溢れる天然温泉で満たされ掛け流しとなる。新館は囲炉裏の次の間付きで心和む空間。,【アクセス】長野道松本ICより車で７０分。中部縦貫道高山ICより6０分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥24,000〜","（￥12,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,新平湯温泉　旅館田島館,/yad366789/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=366789&callbackHistFlg=1,＜綿菓子＞無料♪焼岳をのぞむ絶景露天で＜たる酒＞も！嬉しいサービス満載。飛騨牛トマトすき焼や山椒すき焼、飛騨の赤かぶ鍋…。名物料理も評判！,【アクセス】中部縦貫道高山ICより６０分　長野自動車道、松本ICより約７０分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥2,296〜","（￥1,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,和風旅館　岐山,/yad374475/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=374475&callbackHistFlg=1,奥飛騨の旬の味覚と庭園風露天風呂。木の香ただよう純和風の客室からは四季折々に表情を変える山々が望めます。庭園風露天風呂に浸かりながら満天の星を眺めて湯ったりと。素朴な山里で寛ぎのひとときを,【アクセス】東海北陸道清見IC〜中部縦貫道高山IC〜国道158・471経由60分JR高山駅〜バス70分新平湯温泉下車徒歩3分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥8,703〜","（￥4,351〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,民宿　内山,/yad380056/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=380056&callbackHistFlg=1,わずか4ルームの宿。すこしの山菜と飛騨牛ステーキも囲炉裏テーブルでお楽しみ下さい貸しきり露天風呂も時間問わず何時でも入れます。,【アクセス】長野道松本ICより７０分。中部縦貫道高山ICより６０分,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,奥飛騨温泉郷　新平湯温泉　美山荘,/yad384580/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=384580&callbackHistFlg=1,この場所に約100年前からあった農家を利用して建てられた宿。囲炉裏や梁に歴史を感じ、ゆっくりとした時間を過ごしたい。,【アクセス】ＪＲ高山駅より車で１時間、ＪＲ松本駅より車で1時間15分。,エリア ： 岐阜県 > 奥飛騨,2016-03-28 02:37:20,2016-03-28 02:37:20,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
