id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,名鉄イン名古屋錦,/yad306410/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306410&callbackHistFlg=1,【朝食が無料】サービス♪フロント24時間対応＆全客室ネット有線・無線(Wi-Fi）無料接続♪コンビニ・居酒屋まで徒歩1分の便利な立地！提携有料駐車場：自走式515台・タワー式72台まで徒歩10秒♪,【アクセス】地下鉄久屋大通駅４番出口より徒歩約３分/地下鉄栄駅１番出口より徒歩約６分,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥5,925〜","（￥2,962〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ラグナスイート名古屋,/yad309199/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309199&callbackHistFlg=1,地下鉄・栄駅1番出口より徒歩4分。都心に位置する便利な立地。ホテルへ足を踏み入れれば広がるアジアンリゾートな別世界。『世界一幸せな花嫁を創る』ホテルで、くつろぎの時間をあなたへ。,【アクセス】地下鉄東山線、名城線栄駅1番出口より徒歩4分。,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥6,018〜","（￥3,009〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,東横イン名古屋栄,/yad320224/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320224&callbackHistFlg=1,０９年名古屋の中心街栄地区にオープン。ＴＶ塔・デパート・クラブが近くにあり、深夜まで営業している店もたくさん。東新町ＩＣすぐなので車での移動も大変便利。ヘルシー朝食も便利。,【アクセス】地下鉄東山線　栄駅より徒歩8分、新栄町駅より徒歩6分,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥6,600〜","（￥3,300〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,サンホテル名古屋錦,/yad325899/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325899&callbackHistFlg=1,名古屋駅から地下鉄東山線（藤が丘方面）で２駅目の「栄」駅で下車。,,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥7,203〜","（￥3,601〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,都心の天然温泉　名古屋クラウンホテル,/yad334176/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334176&callbackHistFlg=1,天然温泉大浴場のあるビジネスホテル。地下鉄伏見駅から徒歩5分、名古屋駅からもタクシーで5分と好アクセス。加温・掛流しの三蔵温泉は「壱の湯」と「弐の湯」の2つ（男女入替制）。翌朝10：00まで寛げる。,【アクセス】劇団四季さんの向かい。地下鉄（東山線・鶴舞線）伏見駅,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥6,296〜","（￥3,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ユニゾイン名古屋栄東,/yad340250/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340250&callbackHistFlg=1,『名古屋最大の繁華街！飲食店多数』手羽先で有名な「やまちゃん」など、周辺にはたくさんの飲食店『１階はローソン』急な宿泊でもコンビニがあるので便利『全室インターネット無料（有線・Ｗｉｆｉ）』,【アクセス】地下鉄栄駅下車徒歩5分。お車でお越しの方は名古屋高速東新町出口より1分。,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥4,833〜","（￥2,416〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ハミルトンホテル　−ブラック−,/yad362385/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362385&callbackHistFlg=1,※お車の方。要確認※利用時の責任は負いかねます予約不可当館向い提携立体駐車場/22時閉午後3時〜翌朝11時の間￥1000〜車高155/車幅170/長さ5ｍ上記車以外→コインパーキング￥1300/1日〜など,【アクセス】JR東海道線名古屋駅より地下鉄東山線（藤が丘方面）伏見駅下車６番出口より５分。,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥4,444〜","（￥2,222〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ｒ＆Ｂホテル名古屋錦,/yad378704/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=378704&callbackHistFlg=1,地下鉄久屋大通駅より徒歩３分、栄駅より徒歩５分の好立地！全室高速インターネット接続可能！清潔な客室とスタッフが毎朝焼き上げるあつあつ焼きたてパンの朝食サービス、親切なおもてなしが魅力！,【アクセス】地下鉄桜通線・名城線久屋大通駅西改札４番出口より徒歩３分、地下鉄栄駅１番出口より徒歩５分,エリア ： 愛知県 > 栄・伏見・丸の内・ナゴヤドーム周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥5,851〜","（￥2,925〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ホテルキヨシ名古屋,/yad329522/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329522&callbackHistFlg=1,名古屋市内中心部に立地。ビジネス、観光、会議、各種イベント会場へのアクセスが便利です。地下鉄駅入口前に位置し、近くにはスーパー銭湯（天然温泉）有り、手頃かつ快適にご滞在していただけます。,【アクセス】地下鉄東別院駅２番出口前・金山総合駅から徒歩15分・名古屋駅から電車、車で１5分,エリア ： 愛知県 > 金山・大須・笠寺以南,2016-03-28 02:36:50,2016-03-28 02:36:50,￥833〜,（￥416〜/人）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ｓｔａｔｉｏｎ　Ｉｎｎ　Ｎａｇｏｙａ,/yad328178/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328178&callbackHistFlg=1,ＪＲ名古屋駅桜通口から徒歩５分。周囲には町家風飲食街が立ち並び名古屋名物を味わえる。全客室インターネット光接続無料。利用者ＰＣのネットワーク設定の変更不要。朝食は手作りの和定食をご用意。,【アクセス】ＪＲ名古屋駅の桜通口から徒歩５分,エリア ： 愛知県 > 名古屋駅・名古屋城周辺,2016-03-28 02:36:50,2016-03-28 02:36:50,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
