id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,ファミリーロッジ旅籠屋・伊賀店,/yad350344/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350344&callbackHistFlg=1,広い客室にクイーンサイズベッド２台を配置した人気のロードサイドホテル。朝軽食・WiFi＆ネット接続・駐車場いずれも無料。コインランドリーあり。ご家族、カップルやグループ、ビジネスにも最適。,【アクセス】名阪国道「上柘植IC」より約1.5Km、新名神「甲南IC」より約15Km　R25号沿い,エリア ： 三重県 > 阿山・伊賀,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥8,300〜","（￥4,150〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,ホテル　キャッスルイン　伊勢,/yad311771/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311771&callbackHistFlg=1,外観や館内は「秀吉」をコンセプトにしたつくりで、ひときわ目を引きます。また、屋上には伊勢市街〜伊勢湾を望む風流な露天風呂、古代桧を使用した内湯があり、部屋も機能的で安らげます。,【アクセス】近鉄・ＪＲ「伊勢市駅」からタクシーで約10分。伊勢工業高校近く,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,料理旅館　おく文,/yad314640/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314640&callbackHistFlg=1,じゃらんトップページ⇒ふるさと割クーポン⇒三重県⇒８月３１日まで使用可能なお得クーポン先着配付中！ご確認ください。伊勢市駅や神宮外宮まで約１キロ。神宮参拝・伊勢志摩観光などにご利用ください。,【アクセス】車で伊勢自動車道伊勢西ICより約３キロ。電車で近鉄JR伊勢市駅下車、宮川度会橋方面へ約１キロ。,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,伊勢の宿　紅葉軒,/yad323334/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323334&callbackHistFlg=1,伊勢神宮（外宮）に徒歩１０分、内宮やおかげ横丁へは車で１０分。スペイン村(車で40分）や志摩方面への観光の拠点にもどうぞ。ボリューム満点の料理が大好評！また来るね、そんな笑顔が絶えないお宿です。,【アクセス】ＪＲ伊勢市駅より徒歩１５分、タクシーで5分。　近鉄宇治山田駅より　タクシーで７分。,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥11,000〜","（￥5,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,海洋楼,/yad327385/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327385&callbackHistFlg=1,【歴女に人気】バリアフリーも順次対応中！主人の友人漁師から仕入れるその日水揚の海鮮を、海洋割烹や海洋焼が自慢。夫婦岩徒歩3分の二見浦海岸通りに位置する宿。,【アクセス】名勝二見浦　夫婦岩まで徒歩3分,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,伊勢かぐらばリゾート 千の杜,/yad328078/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328078&callbackHistFlg=1,森に囲まれた当館で静かな時間をお過ごしになりませんか。外宮、内宮ともに車で約１５分、電車でも近鉄宇治山田まで送迎させていただいております。ぜひご利用ください。,【アクセス】伊勢自動車道　玉城ICより車で１５分、伊勢自動車道　伊勢西ICより車で１０分、近鉄宇治山田までお迎えあり,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,松阪屋　吸霞園,/yad337587/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337587&callbackHistFlg=1,海辺の松林沿いに佇む料理自慢の宿。会席料理でなく「懐石料理」を。波の音を聞きながらゆったりと専用個室で頂く。「寛いでいただけるようにとなるだけ係りが客室に伺わない」そんな心遣いも嬉しい。,【アクセス】伊勢道経由伊勢二見鳥羽ライン二見JCより3分。JR二見浦駅より徒歩12分。バス二見浦表参道より徒歩10分。,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥22,000〜","（￥11,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,伊勢の宿　山田館,/yad347402/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347402&callbackHistFlg=1,本館に昔ながらの三層楼と鉄筋の別館を持ち伊勢神宮外宮に近く神宮参拝及び伊勢志摩周遊の基地として交通に便利です。時間が止まったかのような懐かしきよき時代のロマンスをお感じになりませんか。,【アクセス】近鉄、ＪＲ伊勢市駅から徒歩４分。　商店街外宮参道内にあります。,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,伊勢戸田家料庵,/yad347863/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347863&callbackHistFlg=1,白木のほのかな薫り、季節の花々愛でる庭園水琴窟に耳を傾けるしっとりとした純数寄屋造り。天保元年よりお伊勢参りの旅人をお迎えした老舗の豊かなもてなしの心。伊勢の地で静寂と自然との語らいを。,【アクセス】伊勢自動車道伊勢西ＩＣより７分、ＪＲ伊勢市駅より徒歩１０分,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥57,500〜","（￥28,750〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,いにしえの宿　伊久,/yad348644/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348644&callbackHistFlg=1,内宮まで歩いて15分だから早朝の澄んだ空気の中でのお参りがおすすめです。それはあたかも独り占めしているような特別な気分…◆客室露天風呂・大浴場・4つの貸切風呂で旅の疲れを癒す湯巡りもお楽しみ！,【アクセス】近鉄「五十鈴川駅」からタクシー８分、近鉄「宇治山田駅」から路線バス「内宮前」より徒歩10分,エリア ： 三重県 > 伊勢・二見,2016-03-28 02:37:07,2016-03-28 02:37:07,"￥16,666〜","（￥8,333〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
