id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,ビジネス第一ホテル,/yad302221/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=302221&callbackHistFlg=1,駅前だからビジネスに観光に便利！２０１２年大浴場、サウナがオープン！料金もとてもリーズナブルです！近江八幡はもちろん、彦根や長浜への観光にも便利！信長、秀吉など戦国武将ゆかりの地　多数あり。,【アクセス】 JR近江八幡駅より徒歩5分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥8,611〜","（￥4,305〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,ベストイン近江八幡,/yad306778/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306778&callbackHistFlg=1,日替わりプレート朝食、駐車場､インターネット接続無料。ゆっくりくつろげる岩盤浴付風呂あり。JR京都駅まで電車でおよそ35分とビジネス＆レジャーに便利なホテル,【アクセス】JR近江八幡駅北口より徒歩およそ２分。名神高速竜王ICより車およそ２０分、八日市ICよりおよそ３０分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥7,314〜","（￥3,657〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,八日市ロイヤルホテル,/yad310368/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310368&callbackHistFlg=1,隠れ観光スポット多数、ゴルフ場多数有、話題の【三井アウトレットパーク滋賀竜王】まで高速利用で約１０分。活動の拠点に最適☆びわ湖の東に位置する「湖東」の八日市ロイヤルホテルへお越しください。,【アクセス】ＪＲ近江八幡駅乗換、近江鉄道八日市駅下車（車→１０分）　名神高速道路八日市ＩＣより（車→１分）,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,グリーンホテル日野,/yad311500/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311500&callbackHistFlg=1,歴史と伝統が伝えられる近江商人発祥の地。水郷めぐりの近江八幡や彦根城などの歴史観光やドライブ拠点としても便利。宿泊者は大浴場・サウナが利用できる。カップルなら貸切もＯＫ,【アクセス】 名神八日市インター下車、車で約１５分。近江鉄道日野駅から車で３分。,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥6,851〜","（￥3,425〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,クレフィール湖東,/yad312455/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312455&callbackHistFlg=1,レストランからの夕陽が沈む景色は見慣れているはずのスタッフも毎回うっとり…八日市まで15分、彦根まで25分、竜王アウトレットへも名神高速１区間で20分と至近☆,【アクセス】JR能登川駅下車、車で約30分　※送迎バスあり(要事前予約)/名神高速道路八日市ICより15分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥10,555〜","（￥5,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,ビジネスホテルシェル,/yad315492/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315492&callbackHistFlg=1,R8号とR421号の交差点に位置し、八幡工業団地までお車5分。三井アウトレットパーク竜王までお車15分。琵琶湖はもちろん、西国三十三ヶ所廻りにも便利。館内には本格的でリーズナブルなステーキハウスRIGIも,【アクセス】 竜王ＩＣから１５分の国道８号線沿い・近江鉄道線武佐駅から徒歩８分・ＪＲ近江八幡駅東口からお車で５分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥5,833〜","（￥2,916〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,ホテルはちまん,/yad325530/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325530&callbackHistFlg=1,★清潔で広々としたお部屋★全室バス＆シャワートイレセパレートタイプ◎お得なプラン多数！◎三井アウトレット滋賀竜王まで車で１５分◎無料WiFi完備★冷暖房完備・電気毛布(冬季のみ)全室に設置。,【アクセス】JR近江八幡駅下車北口から徒歩5分、名神高速道路竜王ICより国道8号線を15分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,ホテル　ニューオウミ（ホテルニューオータニアソシエイト）,/yad331640/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331640&callbackHistFlg=1,☆Wi-fiは1GBの光回線を使用！さくさくつながります☆近江八幡のご観光はもちろんのこと、アクセス便利な近江八幡からは京都までJRで約30分、彦根まで約15分、アウトレットまでは車で20分と観光の拠点に最適,【アクセス】ＪＲ琵琶湖線近江八幡駅下車、徒歩1分　名神高速道路竜王ＩＣより近江八幡方面へ15分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥9,444〜","（￥4,722〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,ベストイン八日市,/yad333195/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333195&callbackHistFlg=1,東近江市や湖東エリアでのビジネスや観光レジャーの拠点に便利。全室常時インターネット使用可能、コンチネンタルスタイルの朝食付きなどお得がいっぱい,【アクセス】 近江鉄道近江本線、八日市駅下車、タクシー6分,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,アズイン東近江能登川駅前,/yad339960/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=339960&callbackHistFlg=1,JR能登川駅から徒歩1分の超便利な立地。和洋食材を取り揃えた無料朝食、男女大浴場、50台収容の広びろ駐車場も完備。その他、お客様に快適にお過ごし頂く為のサービスをご用意しております。,【アクセス】JR能登川駅西口。徒歩1分。,エリア ： 滋賀県 > 近江八幡,2016-03-27 10:22:54,2016-03-27 10:22:54,"￥8,148〜","（￥4,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
