id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,京 綾部ホテル 大家族の湯,/yad300558/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300558&callbackHistFlg=1,京都北部随一の壮大な景観と美肌の天然温泉が自慢の温泉施設が併設！丘の上に立つので、全部屋から清流由良川と綾部の里山が一望できます。豊かな自然を眺めながらゆったりとお寛ぎ下さい。,【アクセス】綾部駅からタクシーで5分／舞鶴自動車道綾部ICより約10分／京都縦貫自動車道京丹波わちICより約15分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥11,759〜","（￥5,879〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,福知山アークホテル,/yad314331/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314331&callbackHistFlg=1,ＶＯＤシステム・高速インターネット接続（有線ＬＡＮ）・140cmワイドベッド及びデュベ羽毛布団・朝刊無料サービス,【アクセス】ＪＲ福知山駅北口より徒歩３分！,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥7,870〜","（￥3,935〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,三和荘,/yad320674/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320674&callbackHistFlg=1,大パノラマを望む大浴場は香明石を使った準天然温泉。レストランあり。全室ネット使用可。テニスコートなど運動施設や多目的ホール・会議室があり研修やスポーツ合宿に最適な施設。,【アクセス】JR福知山駅よりJRバスで約３０分　JR綾部駅より町営バスで約３０分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥11,888〜","（￥5,944〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,ホテルアルファ綾部,/yad323710/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323710&callbackHistFlg=1,コンビニ・飲食店も近くて便利♪客室広め・液晶ＴＶ・冷蔵庫完備！朝食は和・洋チョイスOK♪夕食はお弁当デリバリーや、地元の人気居酒屋とのコラボプランもご用意★,【アクセス】ＪＲ山陰本線綾部駅から徒歩１分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥9,722〜","（￥4,861〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,ホテルロイヤルヒル福知山＆スパ,/yad338172/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338172&callbackHistFlg=1,温泉施設を併設したホテル。大宴会場、レストラン、ラウンジ、チャペル、無料駐車場300台を備えております。北近畿随一の桧露天風呂のある温泉で日頃の疲れをゆっくりとお癒し下さい。,【アクセス】ＪＲ福知山線福知山駅下車、タクシー８分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,あやべ温泉二王館,/yad338244/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338244&callbackHistFlg=1,日本の元風景を感じる山村風景が残る、自然いっぱいのロケーション。美人の湯とも称される良質の温泉、山里ならではの山の幸、舞鶴で揚がる新鮮な海の幸をゆったりした時の流れで楽しめる癒しの施設。,【アクセス】JR綾部駅下車、バス又はタクシーにて約30分。綾部ICより車約30分。,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥12,400〜","（￥6,200〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,夜久野高原温泉　やくの荘,/yad340623/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340623&callbackHistFlg=1,ゆった和室と、ユニバーサルデザイン採用の洋室を備えたお宿です、ご滞在中は無料で隣接の温泉施設をご利用いただけます又テニスやフットサルのできるコートもあり大自然の中心地良いプレーを楽しんで！,【アクセス】JR山陰本線上夜久野駅から徒歩１５分。駅から市営バスで「農匠の郷」前下車すぐ,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥10,555〜","（￥5,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,アールイン福知山,/yad343884/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=343884&callbackHistFlg=1,■アパパートナーホテルズ加盟店■　全館ｗｉ-ｆｉ対応★ＪＲ福知山駅にもコンビニにも徒歩１分！１４０ｃｍ幅のワイドベッドのお部屋でお寛ぎいただける上、系列の福知山温泉の入浴券もプレゼント！！,【アクセス】JR福知山駅南口より徒歩１分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,アールイン綾部,/yad351478/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351478&callbackHistFlg=1,綿貫宏介氏の作品が随所に飾られるスタイリッシュホテル。京都市内からなら福知山・舞鶴より近くアクセス抜群！綾部駅北口スグ･駐車場無料･門限ナシ■アパパートナーホテルズ加盟店■,【アクセス】JR綾部駅北口降りて徒歩すぐ。綾部インターチェンジから車で5分。京都からなら福知山･舞鶴より近く便利♪,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,セイワ・ホテル,/yad355832/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355832&callbackHistFlg=1,２４時間営業なので夜勤勤務の方も利用可。広々使える和室もあります。洗濯機、乾燥機もあり長期滞在にもオススメ。本道路より１本裏道に入るので静かに過ごせます。ペイチャンネルが全室無料になりました。,【アクセス】福知山駅北口より徒歩7分,エリア ： 京都府 > 綾部・福知山,2016-03-27 10:23:08,2016-03-27 10:23:08,"￥8,333〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
