id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9086,ホテルクラウンパレス神戸（HMIホテルグループ）,/yad308959/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308959&callbackHistFlg=1,ＪＲ神戸駅前の立地の良さはもちろん、神戸ハーバーランドの玄関口としてホテル内のスペースシアターから港まで様々な観光施設が続いています。みなと神戸を象徴するメリケンパークにも近く絶好の観光拠点,【アクセス】ＪＲ「神戸」駅より徒歩2分(駅直結),エリア ： 兵庫県 > ハーバーランド・神戸・新開地,2016-03-27 10:23:56,2016-03-27 10:23:56,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9087,神戸ハーバーランド温泉　万葉倶楽部,/yad340810/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340810&callbackHistFlg=1,日常の喧騒を忘れ、心と身体をときほぐす＜上質な寛ぎ＞をご用意。JR神戸駅より地下街直結の徒歩5分。ようこそ…ここは都会の中の温泉郷。,【アクセス】JR神戸駅より徒歩5分／地下鉄海岸線ハーバーランド駅より徒歩3分,エリア ： 兵庫県 > ハーバーランド・神戸・新開地,2016-03-27 10:23:56,2016-03-27 10:23:56,"￥15,000〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9088,ビジネスホテルてつや,/yad307885/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307885&callbackHistFlg=1,JR和田山駅から徒歩３分。和田山インターから車で北へ１０分。市役所や県和田山庁舎は当館のすぐ裏。当館周辺には飲食店が点在し、飲み会にも便利です。また、今人気の竹田城跡観光の拠点にご利用ください。,【アクセス】JR和田山駅から駅前通りを東に１５０ｍ。,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥7,037〜","（￥3,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,旅館　古城,/yad321051/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321051&callbackHistFlg=1,ほんのり口福、しっとり幸福。くつろぎの空間で、季節の旬の食材をふんだんにあしらった当館自慢の料理をお召し上がり下さい！中でも冬場のカニ料理は、特におすすめです！　昼食プランもやってます！！,【アクセス】北近畿豊岡道養父ＩＣから約5分。　ＪＲ八鹿駅から車で約10分。,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥15,000〜","（￥7,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9090,Hotel IKUE,/yad328320/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328320&callbackHistFlg=1,■3月後半！ビジネスマン必見！シングルが￥5380！◆【4月】早期予約で￥4300〜！3/31まで！■春の竹田城はいかがですか？5/7まで延長！入山料無料プランはGWの旅行にも◎,【アクセス】中国自動車道（福崎I.C）から播但連絡道路を経て312号線で和田山へ。和田山より9号線を西へ。,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥7,392〜","（￥3,696〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9091,翠山荘,/yad341616/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=341616&callbackHistFlg=1,東ハチ伏高原の豊かな自然の中にあるロッジ。森林浴やハイキングなどアウトドアも楽しめる。農作業で大地とふれあったり♪心に残る発見と感動を体験しよう！！,【アクセス】和田山ＩＣから９号線を鳥取方面へ。関宮からハチ高原方面へ,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9092,いずみ旅館,/yad346952/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346952&callbackHistFlg=1,ビジネスに、長期滞在に、ご宴会、ご休憩に、安くてボリューム満点のお食事でお待ちしております又みんなでワイワイとくつろげるバストイレ付１８畳の和室で竹田城見学、ゴルフ、スキーはいかがですか,【アクセス】大阪から北近畿舞鶴道で１２０分、姫路から播但道で４５分、JR和田山駅より徒歩３分,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥8,425〜","（￥4,212〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9093,播磨ふれあいの家,/yad351450/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351450&callbackHistFlg=1,兵庫県朝来市「あさご芸術の森」にある、豊かな自然に囲まれた公共の宿です。小鳥のさえずりや木々の木漏れ日、満点の星空が優しく癒してくれます。姫路城や竹田城などの人気スポットへもアクセス良好★,【アクセス】播但連絡道朝来ICより約１５分。多々良木信号右折し、あさご芸術の森美術館手前,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥9,722〜","（￥4,861〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9094,やぶ温泉　但馬楽座,/yad383570/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=383570&callbackHistFlg=1,但馬エリアの観光やビジネスの拠点に♪八鹿氷ノ山ICでアクセス楽々！★源泉100％の天然温泉！湯触りツルンッの美人の湯として好評です。★但馬牛の本場！冬のカニ！但馬のうまいもんが食べられます♪,【アクセス】JR山陰本線・八鹿駅下車、タクシーで10分,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥9,907〜","（￥4,953〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9095,ホテルサンルート和田山,/yad387920/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=387920&callbackHistFlg=1,播但道・北近畿豊岡道の和田山インターから車で５分。清潔感・ゆとりあるベッドが好評でリピータも多い。全室ＬＡＮ接続無料・お食事は最上階スカイレストラン虎屋にて姉妹施設の天然温泉まで徒歩５分,【アクセス】ＪＲ和田山駅から車で５分、和田山ＩＣから車で５分。竹田城跡車で１５分、ジュピターホール徒歩５分。,エリア ： 兵庫県 > ハチ高原・養父・和田山,2016-03-27 10:23:57,2016-03-27 10:23:57,"￥6,944〜","（￥3,472〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
