id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8358,静響の宿 山水,/yad330508/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330508&callbackHistFlg=1,目の前が川の露天風呂、内湯、寝湯、貸切（ひのき、梅樽）など全部で８種類の浴場があり全て源泉かけ流し。料理は紀州の食材と湧水を使った田舎風会席料理　http://www.onsen-sansui.com/,【アクセス】南阪奈道路高田ＩＣ〜24号線〜五條本陣経由〜168号線,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥12,962〜","（￥6,481〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8359,十津川温泉　湖泉閣　吉乃屋,/yad367885/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=367885&callbackHistFlg=1,まるで美容液♪自慢のお湯はもちろん源泉かけ流し♪お肌の角質を柔らかくするので、湯あがりのお肌はつるつる・ぷるぷる♪絶景の景色の内湯や露天風呂はもちろん、大木をくりぬいた名物風呂も人気です。,【アクセス】松原JCT〜阪和自動車道〜美原JCT〜葛城ＩＣ〜３０号線〜２６１号線〜３１０号線〜五條経由十津川方面,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8360,しもきたやま　きなりの郷,/yad393300/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393300&callbackHistFlg=1,「きなり」とは混ざりけのない・純粋という意味です！ナチュラル感豊かな下北山村で、澄んだ空気・つるすべ温泉・ウッディなコテージ…と心身リフレッシュの旅を☆スポーツ施設も充実!合宿・研修もOK！,【アクセス】【大阪方面より】南阪奈・葛城IC〜大和,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8361,十津川温泉　ホテル昴,/yad305032/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305032&callbackHistFlg=1,世界遺産「熊野古道」の道中にある９種の源泉掛け流しのお宿。人力ロープウエイの野猿やスリル満天のつり橋、温泉プールでお腹を空かせた後は、当館自慢の新鮮な山と川の幸の料理をお召し上がり下さい。,【アクセス】大和五條市から約１２０分、南紀白浜・田辺市から約１２０分、新宮市から約７０分,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8362,湯盛温泉　ホテル杉の湯,/yad305635/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305635&callbackHistFlg=1,日本三大美林と水源地の残る吉野川上村の中心に位置する温泉。大自然が目の前に迫る露天風呂からの風景は必見！季節で変わるオリジナルプランは吉野の優しさを感じ、川上村を満喫できる,【アクセス】近鉄大和上市下車、路線バスにて35分。南阪奈道葛城ICより約1時間,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥18,518〜","（￥9,259〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8363,ホテルのせ川,/yad317846/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317846&callbackHistFlg=1,大阪から車で2時間半、高野山を過ぎると濃い緑とさらさら流れる清流沿いに佇む温泉ホテル。マイナスイオンとまっさらな空気を身体いっぱいに吸い込んで、ゆったり流れる時間の中に身を委ねてみませんか。,【アクセス】高野山からR371(旧)高野龍神スカイライン10.6地点を東折れ、20分/R168小代下より60分,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8364,上湯温泉　神湯荘,/yad333973/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333973&callbackHistFlg=1,川遊び、虫取り、星空観察など、十津川は夏遊びがいっぱい！たっぷり遊んで焼けたお肌にもやさしい「美人の湯」でのんびり湯浴みを。家族みんなではいれる貸切風呂は無料＆空いていれば利用OKがうれしい◎,【アクセス】五條市よりＲ１６８で2時間,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8365,ゲストヴィラ逢桜,/yad377412/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=377412&callbackHistFlg=1,東吉野の山間の広大な敷地に建てられた瀟洒な邸宅と庭園でゆったりとした休日を。2種類の無料貸切風呂で天然温泉を心ゆくまでご堪能いただけます。四季の移ろいを感じながら日常の喧騒を忘れてみませんか？,【アクセス】近鉄・榛原駅から車で20分、バスで30分／名阪国道・針ICより国道369号→県道31号線→榛原街道→県道16号線,エリア ： 奈良県 > 奥吉野・十津川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥24,074〜","（￥12,037〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,あたらしや旅館　(大峯山　洞川温泉）,/yad363312/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=363312&callbackHistFlg=1,【全て手作りの「かきもち」も隠れ名物♪】地の猟師から仕入れる貴重な鹿刺しはサッパリ美味。その味はまるでトロ。山上川の渓流のせせらぎ、主人・女将のおもてなしも心地よい有名人にも愛される宿,【アクセス】南阪奈道路終点橿原より国道169号線309号線を通って車で約９０分,エリア ： 奈良県 > 吉野・天川・洞川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥14,814〜","（￥7,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8367,光緑園西清旅館,/yad306855/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306855&callbackHistFlg=1,純和風宿　ライトアップされた庭園。、お料理はナチュラル食材をふんだんに取り入れた、体にやさしい会席料理を。。露天で湯ったりお部屋でのんびり、、おくつろぎ下さい。お待ちしてます。　　,【アクセス】南阪奈道路（橿原下車）〜70分,エリア ： 奈良県 > 吉野・天川・洞川,2016-03-27 10:23:42,2016-03-27 10:23:42,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
