id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144,お宿　えびす,/yad311551/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311551&callbackHistFlg=1,夫婦で営む小さな民宿です。地場の材料と安全性にこだわった材料で創作料理をご提供させていただいております。白浜と那智の真ん中に位置する串本町でほんの少しの休息を楽しんでくださいませ。,【アクセス】紀勢線和深駅下車徒歩7分紀勢道すさみ南ICを降りて約10分。国道42号線沿い。新宮市方面からは約60分,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥10,740〜","（￥5,370〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145,串本海中公園　ログハウス　サンビラ,/yad316139/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316139&callbackHistFlg=1,串本海中公園敷地内に立地するシーサイドログハウス。一棟貸しなのでご家族やグループでワイワイにぎやかに楽しめます。お部屋からは太平洋の大海原を一望。海の恵みをまるごと感じてください。,【アクセス】ＪＲ串本駅から無料送迎バスで12分（バス時刻表はHPをご参照下さい）　紀勢道すさみ南ICから車で30分,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146,串本ロイヤルホテル,/yad322847/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322847&callbackHistFlg=1,ようこそ本州最南端の町串本へ♪串本沖合いで育てた『本鮪』をお楽しみ下さい。景勝・橋杭岩や日本トルコ友好125周年合作映画「海難1890」の舞台です。,【アクセス】白浜ICからすさみ南ICまで無料区間約30分。すさみ南ICから車約35分！ＪＲ串本駅へ無料定期送迎有,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥9,351〜","（￥4,675〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147,みさきロッジニシダ,/yad355407/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355407&callbackHistFlg=1,水平線を見渡す絶景が目の前。磯遊びや海釣りも徒歩圏内。夜の星空観賞にもおすすめ！望楼の芝も目の前！　新鮮な地魚をふんだんに使ったお食事が人気のお宿　　《お造り盛り合わせは別注料理になります》,【アクセス】JR串本駅下車、熊野交通バス20分,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148,南紀すさみ温泉　ホテルベルヴェデーレ,/yad360728/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360728&callbackHistFlg=1,紀勢自動車道、白浜ＩＣ完成！すさみ町までは8/30開通！隣町の南紀白浜まですぐ近く♪眺望抜群♪南国の草花に囲まれた絶景リゾート！南国リゾートで味わうバーベキューバイキング始まりました！,【アクセス】JR周参見駅より送迎バス・車でお越しの場合、白浜ICより国道42号線南下約20分,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥16,600〜","（￥8,300〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,ＲｅｓｏｒｔＨｏｔｅｌ＆Ｓｐａ Ｂｌｕｅ　Ｍｅｒｍａｉｄ,/yad362016/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362016&callbackHistFlg=1,海と空が鮮やかに色づく様をゆったりと眺めて過ごす二人だけの時間。専用温泉露天風呂から見渡す絶景がカップルに人気♪海抜60ｍの断崖に建つコンドミニアム風のプライベート空間で大切な思い出づくりを！,【アクセス】JR周参見駅と串本駅のほぼ中間。ご希望のお客様には、周参見駅・串本駅まで無料送迎を行っております。,エリア ： 和歌山県 > 串本・すさみ,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥55,185〜","（￥27,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150,ビジネスホテル　グリーンヒル美浜,/yad301155/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301155&callbackHistFlg=1,ＪＲ御坊駅車約３分御坊市内でのビジネスに便利御坊発電所１５分。白浜５０分・海南４０分。閑静で格安。全館Wi-fi＆無線対応。エレベーター完備♪ユニットバス付♪無料駐車場有※大型車は１日1000円,【アクセス】ＪＲ御坊駅より車で５分。徒歩２５分。御坊インターより車で１０分以内。,エリア ： 和歌山県 > 御坊・日高,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151,料理旅館　寿伍六,/yad301320/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301320&callbackHistFlg=1,海辺の料理旅館。潮騒に癒され、本格派海の幸を堪能する。和会席、寿司会席、クエ鍋、フグと素材にこだわるオーナーが味にこだわり抜いた食膳にリピーター続出！春夏秋冬満足の宿,【アクセス】JR紀勢本線紀伊由良駅よりＴＡＸ約７分。湯浅御坊道広川I.Cを直進突当り左折約10分で右に旅館（峠越え）,エリア ： 和歌山県 > 御坊・日高,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥15,203〜","（￥7,601〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152,ロッジ・クール,/yad302672/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=302672&callbackHistFlg=1,中津温泉まで徒歩１分！夏は川遊びやカブト虫採り、ＢＢＱなど自然を満喫。,【アクセス】JR御坊駅から車で20分。川辺ＩＣより中津温泉方面15分。,エリア ： 和歌山県 > 御坊・日高,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥7,962〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153,コスモポート（天文公園）,/yad304137/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304137&callbackHistFlg=1,夜景の綺麗！現在プラネタリュム・観星塔は休止してます宿泊施設で心と体をリフレッシュし、お施設のすぐ下には２０面のテニスコートを完備しております。芝生公園は無料開放,【アクセス】大阪方面より→御坊IC下車7分、白浜方面より→御坊南IC下車7分,エリア ： 和歌山県 > 御坊・日高,2016-03-27 10:24:08,2016-03-27 10:24:08,"￥7,037〜","（￥3,518〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
