id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7363,澤の湯,/yad305196/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305196&callbackHistFlg=1,【東郷温泉】湖のほとりの温泉宿。かけ流しの温泉は、空いていれば無料で貸切可♪お食事は、グループごとの個室を用意。ご家族・グループにもお勧め。,【アクセス】●車以外／松崎駅下車、徒歩3分。倉吉駅よりタクシー１０分　●車／中国自動車道〜院庄IC〜車80分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7364,鯉の湯,/yad306693/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306693&callbackHistFlg=1,【関西・中国・四国じゃらん2016年1月号　コスパ宿大賞2015　受賞】美味しい海鮮料理と天然温泉が楽しめる人気のお宿。かに鍋コースも1泊２食９８００円〜と気軽な料金でご提供。,【アクセス】ＪＲ倉吉駅より車で10分。中国道院庄ＩＣより70分。,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥16,296〜","（￥8,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7365,湖畔の温泉宿　東郷温泉　水明荘,/yad312207/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312207&callbackHistFlg=1,昭和32年、日本初の国民宿舎として誕生。湖畔に佇み、眺める景色に心和む宿。自慢は湖が一望できる掛け流し天然温泉＆料理長入魂の地物会席。国民宿舎なので料金以上の価値が嬉しい宿。,【アクセス】●公共交通／JR松崎駅から徒歩3分。　●車／倉吉駅から車で10分　中国自動車道〜院庄IC〜車80分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥12,277〜","（￥6,138〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366,しあわせひょうたんの宿　旅館　水郷,/yad318753/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318753&callbackHistFlg=1,湖底から湧き出る無色透明で良質な温泉【加水・加温なし】をかけ流しでご堪能いただけます（大浴場24Ｈ）海の幸・鳥取和牛など地元食材を盛り込んだ和会席。*お一人様*お子様歓迎！お子様は365日同料金！,【アクセス】中国道院庄IC→R179、約70分。JR倉吉駅よりバスorタクシー。,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7367,千年島の一軒宿　はわい温泉　千年亭,/yad320797/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320797&callbackHistFlg=1,東郷湖に迫り出した抜群のロケーション♪朝・夕に美しい東郷湖の大パノラマが広がる湖上露天・大浴場・貸切露天風呂♪ゆっくりとした時の流れをご堪能下さい♪,【アクセス】　,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7368,東郷温泉　湖泉閣養生館　湖を独り占め　24時間無料貸切露天風呂,/yad321186/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321186&callbackHistFlg=1,★東郷湖畔広大な四季の花々が咲く６０００坪敷地★鳥取県知事賞受賞、料理長自慢の懐石★お部屋食、個室でお食事★多彩な特典★露天風呂付客室★のある純和風宿★マッサージ器付客室★謝恩価格,【アクセス】●車以外／松崎駅下車、徒歩13分。倉吉駅、下車１０分　●車／中国自動車道〜院庄IC〜車80分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥11,851〜","（￥5,925〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7369,ビジネスホテル・山本,/yad322534/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322534&callbackHistFlg=1,各室に天然温泉ユニットバスがついており、ビジネスの方にゆっくり疲れを癒していただけます。一階に売店があり、地元の土産品を取り揃えています。希少な100年ものの『醤油樽』も必見！,【アクセス】　,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7370,望湖楼,/yad334085/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334085&callbackHistFlg=1,東郷湖畔に立つ絶景の宿。湖底から湧き出た温泉の源泉掛け流しが人気。「湖上に浮かぶような露天風呂」を楽しめるのはここだけ。Wi-Fi可♪平日は湖上露天風呂「夕陽」が女性限定でバラ風呂に♪,【アクセス】［車］中国自動車道　院庄ＩＣより８０分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥24,000〜","（￥12,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7371,はわい温泉　翠泉,/yad336725/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336725&callbackHistFlg=1,東郷湖畔に佇む小さな旅館。落ち着いた雰囲気の館内で、ゆったりお過ごしいただけます。お湯は、24時間入浴可能な源泉かけ流しの天然温泉。心を込めて丁寧に作るお料理とおもてなしの心を感じて下さい。,【アクセス】JR松崎駅より車で約5分/JR倉吉駅より車で約10分/山陰道はわいＩＣより5分/米子道湯原ＩＣから60分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7372,羽衣,/yad338180/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338180&callbackHistFlg=1,山陰八景のひとつ東郷湖畔に面して佇む宿。西日本有数のグラウンド・ゴルフ場を併設し宿泊者は無料で楽しめます♪自家源泉掛け流し１００％！の温泉でごゆっくりとお寛ぎくださいませ。,【アクセス】JR倉吉駅下車、タクシー10分,エリア ： 鳥取県 > はわい・東郷,2016-03-28 01:35:23,2016-03-28 01:35:23,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
