id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7478,さぎの湯荘,/yad310662/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310662&callbackHistFlg=1,足立美術館まで【徒歩30秒】白鷺が傷を癒し、御殿湯でもあった湯量豊富な歴史ある温泉を大浴場・貸切ともすべて掛流しで一晩中楽しめる温泉宿。二つの貸切風呂も無料です♪【温泉】をお楽しみください！,【アクセス】ＪＲ荒島駅よりバスで１３分、ＪＲ安来駅よりバスで２０分、さぎの湯温泉・足立美術館前下車、徒歩３分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479,さぎの湯温泉　安来苑,/yad325005/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325005&callbackHistFlg=1,１日１組限定♪小型犬(・x・U)なら２匹まで同室でご宿泊できます♪美味しい家庭的なお食事とスタッフの温かなおもてなしに心も身体も癒されませんか？ホッ…と一息できますよ♪,【アクセス】ＪＲ山陰本線安来駅からバスで15分。足立美術館前下車ですぐ。,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480,旅館　朝日館,/yad327987/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327987&callbackHistFlg=1,米子駅から1駅・安来駅徒歩１分の好立地！島根・鳥取どちらの観光地へもアクセス便利です♪アットホームな雰囲気でゆったりお過ごしいただけます。旅行、ビジネスにどうぞご利用下さい★,【アクセス】JR安来駅より徒歩1分■出雲大社まで車で約1時間,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7481,さぎの湯温泉　竹葉,/yad330737/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330737&callbackHistFlg=1,『所さんのニッポンの出番』で注目の『足立美術館』横の源泉かけ流しの温泉宿。当館女将が☆どじょうすくい女将☆としてプライベートビエラCMで綾瀬はるかさんと共演中。,【アクセス】ＪＲ安来駅よりバスで２０分。山陰道安来ＩＣより広瀬方面１０分。出雲大社６０分、松江４０分。,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥12,685〜","（￥6,342〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,さぎの湯温泉　夢ランドしらさぎ,/yad336780/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336780&callbackHistFlg=1,さぎの湯温泉を泉源とする温泉・温泉プールがありご家族・ご友人皆様で楽しめます。山や川、自然豊かな立地で四季折々の風景・食事を満喫できます♪安来が誇る日本庭園足立美術館まで約徒歩１０分の好立地☆,【アクセス】山陰自動車道安来ＩＣから足立美術館方面へ車で20分。ＪＲ安来駅からバスで20分。,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥10,833〜","（￥5,416〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,富田山荘,/yad370665/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=370665&callbackHistFlg=1,国内屈指の美術館！足立美術館まで当館よりお車で約10分♪パワースポットでも知られる出雲大社もお車で約１時間半ととっても便利！観光やビジネスの拠点に是非ご利用ください。,【アクセス】安来ICより車で約15分／安来駅より車で約20分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥10,462〜","（￥5,231〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484,ホテルひさご家,/yad382006/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=382006&callbackHistFlg=1,真心込めた旅館のようなおもてなし♪米子に１５分、松江に３０分、山陰観光の拠点に！！無料駐車場（予約順１２台まで）無料Ｗi-Ｆi完備！,【アクセス】JR安来駅より徒歩１分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥10,000〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485,湯治の宿　湯田山荘,/yad389980/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=389980&callbackHistFlg=1,奥出雲の仙境に位置する秘湯・比田温泉にある山あいの宿。100％天然鉱泉の湯は、切り傷、神経痛等に薬効が高い温泉です。地産地消を意識したお料理と江戸時代からの歴史がある秘湯で心身共に癒されますよ。,【アクセス】山陰自動車道安来ICから広瀬（県道45号）〜国道432号を経由し車で約40分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥16,574〜","（￥8,287〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7486,上の台緑の村,/yad393840/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393840&callbackHistFlg=1,かつて古代出雲人が「神の台」と呼んだここ上の台は、西にイザナミ神陵、東に大山、北に日本海、南に中国山脈と素晴らしい眺望を誇ります。悠久ロマンの丘にたつコテージで清々しい朝をお迎えください,【アクセス】山陰道「安来IC」より9号線を15km程南下、入口看板を左折し、約10分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥11,388〜","（￥5,694〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,松琴館,/yad398216/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=398216&callbackHistFlg=1,130年もの歴史を持つ老舗の旅館。風情豊かな四季と、耳を澄ませば聞こえてくる「風の音」「虫の声」に包まれた環境で、6代目主人が「精進料理」に腕を揮う。その巧みな技術によって生み出される料理は芸術！,【アクセス】JR安来駅またはJR米子駅からバスで。山陰道安来ＩＣより清水寺方面へ5分。出雲大社までお車で７０分,エリア ： 島根県 > 安来,2016-03-28 01:35:35,2016-03-28 01:35:35,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
