id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,藤ヶ鳴別荘　四季のかばん,/yad310600/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310600&callbackHistFlg=1,うちの子（愛犬）を連れて旅行に行きたい♪四季のかばんは愛犬とご一緒に非日常的な空間をお楽しみいただけ、天空風呂からの眺望は絶景です。本館「レスパール藤ヶ鳴」の温泉もお入りいただけます。,【アクセス】JR岡山駅下車、岡山空港行きバスで約30分、タクシーに乗っていただいて約5分程。,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥19,444〜","（￥9,722〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,ホテル岡山サンシャイン,/yad326488/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326488&callbackHistFlg=1,繁華街へ近い立地ながら周りは寺院に囲まれて閑静で、ビジネスや観光のお泊りに快適なホテルライフをお届けします。,【アクセス】ＪＲ岡山駅より徒歩8分、山陽自動車道岡山ＩＣより車で１５分,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥5,185〜","（￥2,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,苫田温泉　いやしの宿　泉水,/yad378414/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=378414&callbackHistFlg=1,山陽自動車道岡山ＩＣより約６分。東西南北アクセスには大変便利。源泉１００%天然ラドン温泉で体をいやし、自慢の瀬戸内の旬のお料理でおもてなしをいたします,【アクセス】岡山駅より車で25分、岡山空港より車で１５分、岡山ＩＣより車で６分,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥7,314〜","（￥3,657〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,粟井温泉　あしもり荘,/yad386288/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=386288&callbackHistFlg=1,2014年「じゃらん宿大賞-山ごはん編」受賞！岡山の幸で心づくしのこだわり創作懐石料理が好評。岡山産黄ニラとママカリの料理をお出ししています。全５室の小さな宿です・岡山ふるさと旅行券使用できます。,【アクセス】JR吉備線足守駅よりタクシーで10分。岡山自動車道・岡山総社ICより車で12分。岡山空港より車で10分,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥31,481〜","（￥15,740〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,岡山ユニバーサルホテル別館,/yad300032/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300032&callbackHistFlg=1,いままでこんなホテルありましたか？なんと！朝食も夕食も無料！朝食は２６種類の和洋バイキング♪夕食は毎日替わる日替定食かカレー定食のチョイス温泉大浴場と遠赤外線低温サウナもあって大満足！,【アクセス】JR岡山駅東口より車で５分、徒歩で１５分、路面電車で５分〜８分,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥8,324〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,岡山プラザホテル,/yad303630/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303630&callbackHistFlg=1,2014年4月1日以降、客室全室禁煙とさせて頂いております。喫煙者の皆様には、喫煙ブースをご用意させて頂いておりますので、そちらをご利用下さい。みなさまのご理解とご協力をお願い申し上げます。,【アクセス】山陽自動車道岡山ＩＣからＲ５３経由１５分電車/ＪＲ岡山駅から車で５分,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,ダイワロイネットホテル岡山駅前,/yad304172/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304172&callbackHistFlg=1,全室18平米以上のゆとりの空間が魅力！岡山駅地下通路から直結、ビジネスにも観光にもご利用頂ける便利なホテルです。設備の整った広い空間でお寛ぎのひと時をお過ごしくださいませ。,【アクセス】ＪＲ岡山駅東口より徒歩１分。,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,アパホテル＜岡山駅東口＞,/yad304174/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304174&callbackHistFlg=1,岡山駅から徒歩6分・後楽園・岡山城・倉敷美観へもアクセス抜群！新客室【プレミア】誕生！オリジナルベッド採用！40型液晶テレビ完備！最新ユニットバス（たまご型バスタブ）ベッド幅140,,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,岡山ビジネスホテルアネックス,/yad310236/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310236&callbackHistFlg=1,岡山駅から徒歩5分。市内のビジネスエリアへのアクセスも抜群で、リピーターのお客様も多数！週末もカップルを中心に観光利用の方にも人気。ロビー・客室から≪Ｗｉ−Ｆｉ≫無料接続できます。,【アクセス】ＪＲ岡山駅東口より徒歩５分。山陽自動車道岡山ＩＣより車で約２０分。,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥8,703〜","（￥4,351〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,シティホテル池田,/yad311069/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311069&callbackHistFlg=1,岡山駅から徒歩8分。しかも無料駐車場あり。周辺にはレストランや居酒屋が点在しているので岡山の味を満喫して下さい。コンビニも近くて便利。リーズナブルなプランを利用して便利でお得な街中ステイを♪,【アクセス】ＪＲ岡山駅より徒歩７分、岡山空港より車で約３０分。山陽高速道岡山ＩＣより約２０分。,エリア ： 岡山県 > 岡山・玉野,2016-03-28 01:35:46,2016-03-28 01:35:46,"￥6,018〜","（￥3,009〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
