id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,潮原温泉　松かわ,/yad306664/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306664&callbackHistFlg=1,四方を豊かな緑に囲まれた潮原温泉。四季の眺めを堪能できる最上階に7種の湯。効能豊かな強ラドン泉水を「飲用」「温浴」、そして温泉水を使ったお料理で「食して」頂く。心身の癒しと健康をお手伝いします,【アクセス】中国自動車道吉和ＩＣ下車右へ4キロ約5分国道2号線廿日市宮内交差点より吉和方面へ約50分,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,Ｓｉｍｐｌｅ　Ｓｔａｙ　宮島,/yad360008/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360008&callbackHistFlg=1,宮島行フェリー乗り場、宮島口駅から歩いてすぐ。電車で広島駅まで２８分、岩国駅まで２４分。　付近に有料駐車場、レストラン多数、コンビニ２軒ございます。チェックインは15時〜20時となっています,【アクセス】広島駅からJR山陽本線に乗り、宮島口駅で下車。駅前の国道2号線を渡り、岩国方面へ90mほど進むと着きます。,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥5,185〜","（￥2,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,もみのき荘,/yad322090/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322090&callbackHistFlg=1,森林浴百選の一つのもみのき森林公園の中に位置しており春・夏・秋・冬と四季を通じて、季節の移り変りを楽しむことができる。星の観察や自然観察などもできる。食事は、旬の素材を使った料理！,【アクセス】中国自動車道吉和ICから国道488号を湯来町方面に約6Km（10分）,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥12,185〜","（￥6,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,ビジネスホテルいる家,/yad334317/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334317&callbackHistFlg=1,宮島の玄関口、大野ＩＣから３分。対岸には「安芸の宮島」があり、瀬戸内の旬の味覚を楽しめる宿。宮島や岩国、広島市内など観光地へのアクセスも楽々便利。ビジネスマンにも好評。,【アクセス】　ＪＲ山陽本線・大野浦駅よりお車で５分／山陽自動車道大野ＩＣより直進にてお車で３分／宮島口より４km,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥8,481〜","（￥4,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,宮島　錦水館,/yad335734/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335734&callbackHistFlg=1,海側客室からは、世界遺産厳島神社の大鳥居を眺めることができるのが自慢。宮島で希少な天然温泉宿でございます。宿屋料理は地産地消をベースに季節毎に旬の食材を使用しております。全室禁煙,【アクセス】ＪＲ宮島口駅下車、フェリー１０分、宮島桟橋より徒歩５分,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥11,000〜","（￥5,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,みやじま杜の宿,/yad340818/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340818&callbackHistFlg=1,2014年春リニューアル！もみの木の名所＆厳島八景の一つ大元公園にあり水族館のそば。厳島神社徒歩10分。宮島唯一の国民宿舎（指定管理者は全国にドーミーインや癒しの湯宿を展開する共立メンテナンス）,【アクセス】JR山陽本線宮島口駅下車、宮島口桟橋から船で10分、宮島桟橋下船徒歩18分／タクシー5分／乗合バス10分,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,女鹿平温泉クヴェーレ吉和,/yad345756/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=345756&callbackHistFlg=1,吉和ICから約2km。車で約５分の簡単アクセス水着で入る混浴風呂クアガーデンには４万５千年前の長木をくりぬいたモンスターバスなど１３種類の浴槽家族みんなで楽しめます。,【アクセス】中国自動車道吉和ＩＣから約２,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥9,407〜","（￥4,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,民宿　東京荘,/yad394030/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=394030&callbackHistFlg=1,ＪＲ山陽本線前空駅から徒歩5分の好立地。宮島観光にも便利。ビジネスのお客様も御利用下さい。お部屋からは、世界遺産厳島神社の大鳥居も見えます。,【アクセス】ＪＲ山陽本線前空駅下車徒歩5分、山陽自動車道大野インターから車で10分,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,コテージワン宮島街道店,/yad397476/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397476&callbackHistFlg=1,1月1日オープン！広島店の2倍の規模、宮島観光に！広島市内へのアクセスも便利！各グループ旅行に！静かな海辺の別荘で旅の想い出を・・・※5名様以上の検索で★夢の一棟貸切★プラン。絶対おすすめ！,【アクセス】【公共交通】広島電鉄、地御前駅で下車、徒歩5分。　【お車】廿日市インターより5分。宮島口より5分,エリア ： 広島県 > 宮島・廿日市,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,アザレア千代田,/yad302820/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=302820&callbackHistFlg=1,＜広島市内から高速で約40分＞無料朝食をご用意しております。肌に優しい「セラミック湯」で快適なご滞在を。お一人様でのご利用はもちろん、スポーツ団体・合宿やグループ・家族旅行に最適です。,【アクセス】千代田インターチェンジから約3km　●山陽道広島インターから約30分　●広島空港から1時間10分,エリア ： 広島県 > 芸北,2016-03-28 01:35:57,2016-03-28 01:35:57,"￥4,259〜","（￥2,129〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
