id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,パーク琴芝,/yad301494/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301494&callbackHistFlg=1,とてもアットホームな感じのビジネスホテルです♪ご旅行や帰省にもどうぞ♪★色々な宿泊プランを取り揃えて、お客様のお越しを心よりお待ちしております。,【アクセス】宇部市山口大学病院より徒歩５分、琴芝駅より徒歩４分　宇部空港より車で８分・山陽道宇部より車で５分,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥6,648〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,厚狭ステーションホテル,/yad310806/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310806&callbackHistFlg=1,ロビーにパソコン設置｡レディース仕様の客室完備｡全室高速インターネット無料接続OKビジネスホテルとは思えない部屋の広さと清潔感でクチコミ3.9の満足度♪笑顔でお待ち致しております。,【アクセス】ＪＲ厚狭駅より徒歩1分。山陽小野田市内・宇部・小月・長府・美祢方面へ便利,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥8,981〜","（￥4,490〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,ビジネスホテルアクセス,/yad321214/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321214&callbackHistFlg=1,宇部新川駅より徒歩３０秒！駅前の好立地にもかかわらず、無料駐車場完備。２４時間ルームシアタースタートしました。お客様への感謝をこめて、ＣＳ放送無料となりました。,【アクセス】新山口駅より、ＪＲ宇部線で宇部新川駅下車。目の前,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥5,740〜","（￥2,870〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,スーパーホテル宇部天然温泉,/yad327613/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327613&callbackHistFlg=1,,,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥5,324〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,ロイヤルシティホテル,/yad328918/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328918&callbackHistFlg=1,忙しい方にもゆっくりくつろげる様に空間をプロデュース。館内に疲れた体を十分に癒す空間もご用意。協会認定のリフレクソロジストが施術致します(予約制）。コンビニ徒歩1分。ウォシュレット完備。,【アクセス】山口宇部空港から車で10分。JR宇部線東新川駅から徒歩２分。,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,ビジネス旅館駅前,/yad337084/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337084&callbackHistFlg=1,宇部新川駅より徒歩３０秒！好立地でありながら、駐車場無料はありがたい。お酒を飲んだらお泊り！という方も多いとか。,【アクセス】宇部新川駅より徒歩３０秒。,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥5,740〜","（￥2,870〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,ビジネスホテル新川,/yad348482/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348482&callbackHistFlg=1,宇部市の玄関口、宇部新川駅前に建ち、交通の便・環境に恵まれたホテル。機能的な中にもゆったりとした雰囲気を持った客室をご用意。ビジネス・レジャーの拠点として、ご利用下さい。,【アクセス】宇部新川駅より徒歩3分。,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥8,518〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,ナチュラルグリーンパークホテル,/yad378412/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=378412&callbackHistFlg=1,150haの国内最大級の江汐公園。朝の健康ウォーキングは最高の癒し空間。,【アクセス】お車で山口宇部空港から２０分、小野田ICから３分、新幹線厚狭駅から７分、新山口駅から２５分,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥12,962〜","（￥6,481〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,パークイン山陽小野田,/yad398905/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=398905&callbackHistFlg=1,◇◆アクセス抜群！快適で充実したホテルライフを◆◇大浴場あり！！（平日は男性のみ）朝食無料サービス！！（日曜日朝を除く）駐車代無料！！シモンズ社ベッド使用！！ＷＩ-ＦＩ完備！！,【アクセス】国道190号に面し、小野田ＩＣより車3分　山陽新幹線厚狭駅より車10分　ＪＲ小野田駅より徒歩12分,エリア ： 山口県 > 宇部,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥6,481〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,下関で一年中新鮮なふぐ料理を堪能できる旅館　みもすそ川別館,/yad336099/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336099&callbackHistFlg=1,手間ひまかけた本場のふぐ料理はもちろん、その日の朝に市場から仕入れた新鮮海幸と大迫力の関門橋が窓から見える立地が好評♪海響館・唐戸市場は車で約3分。プロがもてなす”ふく”料理をお愉しみください,【アクセス】中国自動車道下関ICより車で5分。山陽新幹線新下関駅よりタクシーで20分。JR下関駅よりタクシーで13分。,エリア ： 山口県 > 下関・長府・川棚,2016-03-28 01:36:09,2016-03-28 01:36:09,"￥32,000〜","（￥16,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
