id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8051,えびす洞温泉　ホテル白い燈台,/yad301010/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301010&callbackHistFlg=1,リクルートポイントプレゼントプラン多数ご用意しています♪海がめの産卵で有名な日和佐、大海原を見渡す展望露天風呂が自慢！客室は全て海に面しており、水平線から昇る朝日は最高です！,【アクセス】神戸淡路鳴門道鳴門ＩＣ下車国道５５を南へ９０分。ＪＲ牟岐線日和佐駅下車、車で５分。,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8052,ホテルサンオーシャン,/yad316964/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316964&callbackHistFlg=1,なんといってもおよそ100台収容の無料駐車スペースを完備！お車でお越しの方も安心です。お部屋は全てひろくお取りしております。併設レストランでは、朝食から夕食までこだわりのお料理をお手軽に。,【アクセス】JR阿南駅下車、徒歩5分,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8053,うみがめ荘,/yad336074/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336074&callbackHistFlg=1,23番札所薬王寺より車で5分JR､高速ﾊﾞｽなども便利夏はｳﾐｶﾞﾒの上陸､冬はﾀﾞﾙﾏ朝日が名物無線LAN内蔵のPCであればﾌﾛﾝﾄ周辺にてｲﾝﾀｰﾈｯﾄ接続可能｡,【アクセス】ＪＲ牟岐線日和佐駅より車で５分。徳島市より55km（車で約80分）,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8054,ロイヤルガーデンホテル,/yad355624/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355624&callbackHistFlg=1,出張・レジャーでのご宿泊に！ご宿泊のお客様は隣接するスーパー銭湯「大和の郷」1回入浴無料。疲れを癒せると好評です。全室サータ社のベッドを導入。無料W-Fi完備でスマホやタブレットの操作も楽々OK！,【アクセス】JR阿南駅下車、徒歩10分、車で3分／徳島空港から車で70分,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055,南阿波サンラインモビレージ,/yad374730/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=374730&callbackHistFlg=1,国定公園内の原生林と海に囲まれた静かな空間。各コテージにキッチンやお風呂もついているのでプチ別荘感覚で過ごして頂けます。ご家族や愛犬とご一緒に、海に山へゆったりとした時間をお楽しみ下さい。,【アクセス】JR日和佐駅下車、車で10分,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥8,979〜","（￥4,489〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8056,薬王寺　温泉宿坊　薬師会館,/yad376556/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376556&callbackHistFlg=1,7/10にリニューアルオープンいたしました!!ウミガメの産卵で有名な大浜海岸が近くにあり、サーフィン・ダイビング・釣りなどレジャーに最適!!お遍路さんも大歓迎です♪,【アクセス】神戸淡路鳴門自動車道　鳴門IC→国道１１号・５５号（約60,エリア ： 徳島県 > 阿南・日和佐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥10,148〜","（￥5,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8057,ペンションししくい,/yad325470/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325470&callbackHistFlg=1,オーナー自作のログハウスを含めゆったりとした時間をお楽しみ下さい。料理は地元産の魚介類、野菜を使った手作り料理。生見、宍喰など有名なサーフスポットなども近く、幅広い年代に対応した宿。,【アクセス】徳島市内から国道５５号線を南へ車で２時間。高知方面からの場合は室戸岬から北へ車で45分。,エリア ： 徳島県 > 宍喰・海南・牟岐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥11,574〜","（￥5,787〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8058,民宿大砂,/yad371255/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=371255&callbackHistFlg=1,民宿大砂周辺には快水浴場百選の中でも特選に選ばれた大砂海水浴場、サーファーの集まる内妻海岸、イカ釣りのスポット、ダイビングサービスなど海を楽しめるポイントが数多く点在しています。,【アクセス】JR四国牟岐線鯖瀬駅より車で3分,エリア ： 徳島県 > 宍喰・海南・牟岐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥6,800〜","（￥3,400〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8059,ＨＯＴＥＬ　ＲＩＶＩＥＲＡ　ししくい,/yad392666/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392666&callbackHistFlg=1,黒潮香る太平洋を眼下に感動のホテルリビエラししくい。そこはまさに南国、リゾート空間。心地よい潮風ときらめく太陽があなたをお迎えします。,【アクセス】【お車】徳島市内から約2時間。高知市内から約3時間。【電車】徳島駅から約2時間（特急は約1時間30分）,エリア ： 徳島県 > 宍喰・海南・牟岐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥15,229〜","（￥7,614〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8060,ふれあいの宿　遊遊ＮＡＳＡ,/yad397188/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397188&callbackHistFlg=1,太平洋を眺めながら…潮騒の音に耳を傾けながら…黒潮の香りを楽しみながら…徳島県最南端の漁師町！山と海に囲まれ、自然の恵みあふれる海陽町。さわやかな潮風とまぶしい陽光が皆様をお迎えします。,【アクセス】お車で神戸市より約３時間半、徳島市より約２時間、高知市より約３時間,エリア ： 徳島県 > 宍喰・海南・牟岐,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥17,600〜","（￥8,800〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8061,大歩危祖谷阿波温泉　あわの抄,/yad324364/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324364&callbackHistFlg=1,大歩危祖谷の入口、井川池田ICやJR阿波池田駅から車10分。ぬめり気あるアルカリ温泉は美肌に◎。夜は阿波踊りを鑑賞できる（期間あり）。サクサクの天ぷらなど会席も,【アクセス】　,エリア ： 徳島県 > 大歩危・祖谷・池田,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥7,777〜","（￥3,888〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8062,新祖谷温泉　ホテルかずら橋,/yad328584/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328584&callbackHistFlg=1,日本三大秘境「祖谷渓谷」にある一軒宿。ケーブルカーで登る天空露天風呂からの絶景は圧巻。男女別･混浴露天風呂、貸切｢五右衛門風呂｣があり、お食事は囲炉裏を囲んで祖谷の郷土料理に舌鼓。,【アクセス】ＪＲ土讃線大歩危駅下車、タクシ-１５分,エリア ： 徳島県 > 大歩危・祖谷・池田,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥30,000〜","（￥15,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8063,アネックス　みづほ,/yad394957/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=394957&callbackHistFlg=1,全室光ネット（LANケーブル）、ウォシュレット、冷暖房、冷蔵庫、空気清浄機設置。（ドライヤー、湯沸しポットは貸出し制）コンビニやスーパーも近くにあり便利。自転車の貸し出しもあり。(先着順）,【アクセス】JR徳島駅からタクシーで5分。JR阿波富田駅より徒歩約5分。国道11号線を県庁所在地より西へ車で約5分,エリア ： 徳島県 > 徳島,2016-03-28 01:43:31,2016-03-28 01:43:31,"￥6,851〜","（￥3,425〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
