id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,三本松ロイヤルホテル,/yad356992/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356992&callbackHistFlg=1,高松と徳島の中間地点に位置する、緑あふれるホテル。自慢のガーデンを見ながらのランチや、ソムリエ厳選のワイン、シェフ特製ディナーがおすすめ。宿泊・婚礼・宴会・会食等、色々なシーンに利用できる。,【アクセス】ＪＲ高徳線・三本松駅下車　徒歩15分,エリア ： 香川県 > 引田・東かがわ,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥11,500〜","（￥5,750〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,翼山温泉,/yad380248/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=380248&callbackHistFlg=1,365日同料金のリーズナブルな価格！地元の人からも親しまれている気泡浴槽サウナ・水風呂で気持ちの良い汗を流してリフレッシュして下さい。※温泉成分が薄まってしまった為、今は温泉ではございません,【アクセス】ＪＲ高徳線「引田駅」からお車で３分／高松道引田ＩＣより２ｋｍ,エリア ： 香川県 > 引田・東かがわ,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥7,777〜","（￥3,888〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,天然いやだに温泉　大師の湯　ふれあいパークみの,/yad300814/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300814&callbackHistFlg=1,道の駅ふれあいパークみの内にある宿泊温泉施設、天然いやだに温泉大師の湯。駅内には物産館、公園もあり大人からお子様にも大人気のスポット。温泉は、加水無しの湯量豊富な天然温泉。,【アクセス】三豊鳥坂ICより車で５分,エリア ： 香川県 > 観音寺,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥10,400〜","（￥5,200〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,かんぽの宿　観音寺,/yad307659/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307659&callbackHistFlg=1,四国内の旅の拠点として非常に便利な地に位置し、こんぴらさん、札所の善通寺をはじめ、少し足を伸ばせば大歩危小歩危（徳島）、道後温泉（愛媛）桂浜（高知）まで高速道路でおおよそ２時間以内です。,【アクセス】観音寺駅からタクシーで８分,エリア ： 香川県 > 観音寺,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,琴弾荘,/yad320348/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=320348&callbackHistFlg=1,海に沈む夕陽、砂浜が2,,エリア ： 香川県 > 観音寺,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥13,888〜","（￥6,944〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,ファミリーロッジ旅籠屋・讃岐観音寺店,/yad337536/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337536&callbackHistFlg=1,広い客室にクイーンサイズベッド２台を配置した人気のロードサイドホテル。朝軽食・WiFi＆ネット接続・駐車場いずれも無料。コインランドリーあり。ご家族、カップルやグループ、ビジネスにも最適。,【アクセス】高松道「さぬき豊中IC」から約6km、「大野原IC」より約5km。,エリア ： 香川県 > 観音寺,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥8,300〜","（￥4,150〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,アパホテル＜丸亀駅前大通＞,/yad315212/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315212&callbackHistFlg=1,【コンビニ・飲食店街に１番近いホテル】レオマワールドまで車で25分！丸亀城まで徒歩５分！コンビニまで徒歩3分！9階に無料大浴場完備！,【アクセス】JR予讃線「丸亀駅」南口より徒歩5分（高松駅より特急で3駅約30分。岡山駅より特急で約40分）,エリア ： 香川県 > 丸亀,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥4,722〜","（￥2,361〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,大江戸温泉物語　ホテルレオマの森,/yad316332/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316332&callbackHistFlg=1,"一泊二食お1人様8,990円〜(税別)｡直行バス運行中！バスの予約はお電話で。4月5日〜九州バイキングなど約80種をご用意！温泉は時期ごとに変わり湯が楽しめる。レオマは中四国最大のイルミネーション",【アクセス】JR琴平駅より車で15分、高松空港より車で30分、坂出ICより車で30分,エリア ： 香川県 > 丸亀,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥17,962〜","（￥8,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,オークラホテル丸亀,/yad336673/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336673&callbackHistFlg=1,瀬戸内海随一の景観を誇るシティーホテル、瀬戸大橋を望む展望風呂完備、心を癒す快適なひとときで皆様をおもてなしいたします。4月1日より、客室料金のお支払いはチェックイン時にお願いいたします。,【アクセス】JR予讃線丸亀駅より車5分（徒歩30分）。瀬戸中央道坂出北ICより15分。高松道坂出IC(四国最終IC）より15分,エリア ： 香川県 > 丸亀,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥6,666〜","（￥3,333〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,ホテルルートイン丸亀,/yad368210/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=368210&callbackHistFlg=1,Wi-Fi全館設置して、ＩＴ環境も快適です♪ラジウム人工温泉大浴場で、ゆ〜っくりおくつろぎくださいませ！！おいしい無料バイキング朝食で一日の活力の源を！◆平面無料駐車場85台（先着順）,【アクセス】高松自動車道　善通寺ＩＣより　車で約10分/JR予讃線　丸亀駅より　車で約10分,エリア ： 香川県 > 丸亀,2016-03-28 01:42:38,2016-03-28 01:42:38,"￥9,027〜","（￥4,513〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
