id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,しまなみ海道　料理旅館　富士見園,/yad306119/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306119&callbackHistFlg=1,じゃらんnetクチコミランキング★中四国エリア１位の実績アリ！！ランキング開始以来、現在まで常にランクイン♪多々羅大橋や行き交う船々…ゆったりと流れる「島時間」と鮮度抜群の魚介料理に舌鼓！,【アクセス】しまなみ海道を今治方面へ、大三島ＩＣから井口港方面へ約５分。,エリア ： 愛媛県 > しまなみ海道,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,南道後温泉  ホテルていれぎ館,/yad381712/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=381712&callbackHistFlg=1,ホテルていれぎ館地下：自家源泉：南道後温泉泉質：ナトリウムー炭酸水素塩温泉「美人の湯」と称される各客室にある趣の異なる浴槽が源泉かけ流し南道後の良泉で至福のひと時をお過ごし下さい♪,【アクセス】松山インターより砥部方面へ５分★砥部町拾町交差点より１００m伊予市方面へ,エリア ： 愛媛県 > 伊予,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥7,777〜","（￥3,888〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ウェルピア伊予,/yad385125/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385125&callbackHistFlg=1,松山城・道後温泉・砥部焼・とべ動物園・内子座などへのアクセスに最適！無料駐車場完備！,【アクセス】JR伊予市駅下車、タクシーで約5分。伊予鉄郡中駅下車、タクシーで約5分。松山自動車道松山ICより15分,エリア ： 愛媛県 > 伊予,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥9,222〜","（￥4,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ホテルサンパール,/yad312882/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312882&callbackHistFlg=1,四国最大級のレジャープール、日本唯一の旧海軍戦闘機「紫電改」展示館といった、周辺観光地へのアクセスも良好。また、館内に全国でも珍しい手書きスコアボウリング場と産直市もあり、レジャーと買物に便利,【アクセス】JR宇和島駅下車、宇和島自動車で城辺もしくは宿毛行きで60分（南レク御荘公園前下車徒歩1分）,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥8,703〜","（￥4,351〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,宇和海国立公園　青い国ホテル,/yad374459/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=374459&callbackHistFlg=1,足摺宇和海国立公園内、リアス式海岸の美しい海に囲まれ1年を通して豊かな自然に触れることができる愛南町へ。ビジネスはもちろん、観光やお遍路巡りの拠点に。無料駐車場完備。全室Wi-Fi利用可能。,【アクセス】松山自動車道西予宇和ICより車で75分・JR予讃線宇和島駅より車で55分,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥8,148〜","（￥4,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ホテルセレクト愛媛愛南町,/yad308968/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308968&callbackHistFlg=1,,,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥5,500〜","（￥2,750〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,宇和島オリエンタルホテル,/yad316173/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316173&callbackHistFlg=1,★市内客室数No.1★駅徒歩5分★館内24H年中無休ローソン★ｴﾘｱ口コミ件数No.1★P無料★無料Wi-Fi★安眠枕★宇和島朝日IC3分★,【アクセス】ＪＲ予讃線宇和島駅下車、徒歩５分。宇和島自動車道朝日ＩＣ下車国道松山方面へ約５分。,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,成川渓谷休養センター,/yad325220/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325220&callbackHistFlg=1,成川渓谷沿いにある公共の宿。お部屋からも温泉からも成川渓谷を一望できます。登山や観光、四国八十八ヶ所巡りの拠点としてもおすすめ。お食事は地元ならではの会席やキジ鍋が好評です♪,【アクセス】宇和島駅よりバスにて15分（成川下車）、お車で約20分/宇和島からお車で20分/松山ＩＣからお車で90分,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥9,814〜","（￥4,907〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,宇和島ターミナルホテル,/yad332808/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332808&callbackHistFlg=1,ＪＲ宇和島駅より徒歩１分。リーズナブルな宿泊料金。Wi-fi接続、LAN接続無料。駐車場無料。朝刊無料サービス。自転車無料貸出し。コインランドリーあり。,【アクセス】JR宇和島駅前、徒歩１分,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥6,203〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,宇和島国際ホテル,/yad351896/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351896&callbackHistFlg=1,ＪＲ宇和島駅より徒歩２分、無料駐車場完備、繁華街も徒歩圏内と観光・ビジネス・巡拝にアクセス抜群のお宿です。郷土料理が楽しめます２食付プランからビジネスプランまで各種プランご用意致しております。,【アクセス】ＪＲ宇和島駅より徒歩２分。お車にて松山方面からは宇和島自動車道、朝日ＩＣより宇和島駅方向へ約５分。,エリア ： 愛媛県 > 宇和島,2016-03-28 01:43:03,2016-03-28 01:43:03,"￥12,037〜","（￥6,018〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
