id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,馬路温泉,/yad306116/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306116&callbackHistFlg=1,人口950人の小さな村やけんど自然に恵まれた馬路温泉はのんびりするには最高ながやき目の前には清流安田川が流れちゅう川の音や虫の声に懐かしい気持ちになれるがよアメゴやゆずを使ったお料理も自慢♪,【アクセス】ごめん・なはり線「安田駅」よりお車にて約３０分,エリア ： 高知県 > 安芸,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥13,518〜","（￥6,759〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,土佐ロイヤルホテル,/yad333668/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333668&callbackHistFlg=1,太平洋を望む絶景のロケーション。『風呂』クチコミ4.6点★高知県NO.1（100室以上の宿）よさこい温泉と海洋深層水露天風呂が楽しめる温泉リゾート。高知市内から車で約50分。室戸岬まで車で約90分。,【アクセス】高知空港から車約20分【無料送迎有(予約制)】名勝『桂浜』から室戸方面へ車約40分。高知市内から車約50分,エリア ： 高知県 > 安芸,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,ホテル　タマイ,/yad384663/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=384663&callbackHistFlg=1,■アパパートナーホテルズ加盟店■高知市から東へ約1時間の安芸市。最上階には太平洋一望の展望レストラン、大浴場はサウナ完備。シングル、ツイン、和室と目的に合わせた快適なお部屋をご用意。,【アクセス】高知自動車道南国ＩＣよりＲ５５を室戸方面へ４０分。,エリア ： 高知県 > 安芸,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,ホテルなはり,/yad394101/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=394101&callbackHistFlg=1,露天風呂付きの檜大浴場は訪れた方皆様に好評。築地直送の天然南マグロ料理は絶品！トロ・珍味とも格安で美味。ともかくレストランは和・洋・中とメニュー多彩で外で食べると損！,【アクセス】高知市より車で東へ９０分、室戸市より車で西に３０分,エリア ： 高知県 > 安芸,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥16,111〜","（￥8,055〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,木の香温泉,/yad356924/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356924&callbackHistFlg=1,春は桜、夏は涼しく秋は見事な紅葉、冬は雪。四季それぞれの大自然を満喫。深い緑と満点の星空に囲まれた「木の香温泉」でしばし静かな休日を。,【アクセス】松山自動車道・伊予西条ＩＣより国道１１号線に入り松山方面へ、加茂川交差点より194号線に入り約25分,エリア ： 高知県 > 吾川・いの,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥6,666〜","（￥3,333〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,かんぽの宿　伊野,/yad392035/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392035&callbackHistFlg=1,全室リバービューでせせらぎを聞きながら四季折々の景色を楽しめる。お風呂は仁淀川（によどがわ）伊野温泉で、塩分を多く含んだ肌に心地よい泉質。露天風呂や寝湯、泡風呂など多彩な浴槽が揃う。,【アクセス】ＪＲ伊野駅からタクシーで約７分,エリア ： 高知県 > 吾川・いの,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥10,555〜","（￥5,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,料理旅館　冨久美味,/yad303110/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=303110&callbackHistFlg=1,坂本龍馬像が建つ桂浜のすぐ近くで高知滞在はいかがですか？黒潮の恵みを受けた厳選海の幸をお召し上がりいただけます。中でも名物の伊勢海老料理は口コミでも評判。またペット連れでのお泊りもOKです。,【アクセス】JR高知駅よりバス利用約30分「桂浜バス停」すぐ/高知自動車道高知ICより約30分/高知空港より約25分,エリア ： 高知県 > 高知・春野,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,高知龍馬ホテル,/yad351696/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351696&callbackHistFlg=1,ビジネスにも観光にも、室数50室ならではのきめの細かいサービスをご提供JR高知駅、高速・空港連絡バスターミナルより徒歩4分高知インター8分★長期滞在にお得な2食付のプランもございます,【アクセス】高知自動車道高知ＩＣ車１０分。,エリア ： 高知県 > 高知・春野,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥5,370〜","（￥2,685〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,高知アネックスホテル,/yad388554/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388554&callbackHistFlg=1,"■■■繁華街のど真ん中に位置し、１３階展望風呂サウナと無料朝食付きで￥5,000の安さ♪ウエルカムコーヒーサービス♪■■■＊平成27年10月1日より駐車場料金が500円から800円に変更いたしました。",【アクセス】高知駅より徒歩8分、ひろめ市場も、日曜市も高知城も徒歩圏内、当然ながらビジネスも便利♪,エリア ： 高知県 > 高知・春野,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥6,944〜","（￥3,472〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,高知グリーンホテル　はりまや橋,/yad302822/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=302822&callbackHistFlg=1,■ＪＲ高知駅より徒歩３分■繁華街にもっとも近いホテルです■WI-FI無料接続（一部有線LAN）■ドリップコーヒー・紅茶・煎茶より、お好きな物をお部屋にお持ちください■観光にビジネスに好立地♪■,【アクセス】高知駅徒歩３分◆高知インター車で1５分◆高速バス高知駅バス停徒歩３分◆高知龍馬空港リムジンバス３５分,エリア ： 高知県 > 高知・春野,2016-03-28 01:42:50,2016-03-28 01:42:50,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
