id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8647,宿　ふじた,/yad304206/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304206&callbackHistFlg=1,別府や湯布院に一時間の田舎町。サービスは一切ありません。お客様だけでごゆっくり。犬だけでお留守番はご遠慮下さい。超大型犬はご相談ください。入口が狭い為大型車は入れません。,【アクセス】大分県中津駅より車で８分。北九州空港から車で１時間。宿がわかりにくい為JR吉富駅でお待ちしております。,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8648,旅館　紀文,/yad327845/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327845&callbackHistFlg=1,創業31年の割烹旅館です。JR日豊本線築城駅から徒歩5分でアクセス便利。ご家族でのご宿泊やビジネスでのご宿泊、長期滞在のお客様に最適です！季節の食材を使った家庭料理でおもてなしを致します。,【アクセス】JR日豊本線築城駅から徒歩５分,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,ベッセルホテル苅田北九州空港,/yad348063/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=348063&callbackHistFlg=1,【お客様が当ホテルをお選びになる理由】■18歳以下添い寝無料/朝食も無料■全室幅150,,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,416〜","（￥2,708〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8650,京都ホテル＜福岡県行橋市＞,/yad358036/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=358036&callbackHistFlg=1,福岡県行橋市　京都ホテル（みやこホテル）。ウエディング、パーティー、ご宴会、ご法事、ご宿泊、レストラン(和・洋・中)、夏期限定のスカイビアガーデンなど、幅広くご利用いただけます。,【アクセス】JR行橋駅東口より、徒歩約7分,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥7,629〜","（￥3,814〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8651,アリストンイン苅田北九州空港,/yad370849/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=370849&callbackHistFlg=1,北九州空港から車で約１５分・ＪＲ苅田駅から徒歩約７分の好アクセス。苅田町中心でビジネスに最適です。,【アクセス】北九州空港から車で約１５分・ＪＲ苅田駅から徒歩約７分,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥2,759〜","（￥1,379〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8652,ホテルルートイン苅田駅前,/yad373784/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=373784&callbackHistFlg=1,☆☆１Ｆ　食・呑み処『花々亭』☆☆営業時間　１８：００〜２２：００(２１：３０ラストオーダー)日祝日店休日手作りのあったか料理をご用意してお待ちして致しております♪,【アクセス】北九州空港から車で１５分、ＪＲ日豊本線苅田駅東口より徒歩１分,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥8,240〜","（￥4,120〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8653,HOTEL AZ 福岡築上店,/yad383644/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=383644&callbackHistFlg=1,お客様のニーズに合わせたリーズナブルなビジネスホテルです。コインランドリー・100円ショップ・居酒屋など、あると便利な施設が揃っております♪北九州空港まではお車で約50分です。,【アクセス】JR築城駅より徒歩17分。椎田道路　築城ＩＣより車で約10分。北九州空港から車で50分。,エリア ： 福岡県 > 苅田・行橋・豊前,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8654,久留米ワシントンホテルプラザ,/yad311805/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311805&callbackHistFlg=1,"西鉄久留米駅より徒歩4分。繁華街の中にあり、観光にもビジネスにも好立地。全室高速インターネット接続無料。チケット購入式VOD有料放送完備（一泊1,000円で180タイトル見放題）。",【アクセス】西鉄久留米駅より徒歩約4分　九州道久留米ICより15分,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,694〜","（￥2,847〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8655,ホテルニュープラザ久留米,/yad315309/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315309&callbackHistFlg=1,西鉄久留米駅より徒歩７分の好立地。駐車スペースも２００台とワークステーションとして最適。ビジネスユースのシングルからプライベート・ファミリーユースまで多彩な７タイプ全２６６室。,【アクセス】西鉄久留米駅より徒歩７分。JR久留米駅より車で５分。久留米ICより15分。,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,370〜","（￥2,685〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8656,グリーンリッチホテル久留米　,/yad317845/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317845&callbackHistFlg=1,●フロントで自由に選べるお飲み物。ドリップコーヒーは当社オリジナル♪●オリジナルブランドの寝具で快適な眠りをお約束♪●さらに女性には嬉しいアメニティをプレゼント☆,【アクセス】●西鉄久留米駅より車で3分、JR久留米駅より車で3分●福岡空港連絡バス停「六ツ門」徒歩3分,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
