id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,HOTEL AZ 佐賀伊万里店,/yad306990/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306990&callbackHistFlg=1,お客様のニーズに合わせたリーズナブルなビジネスホテルです☆彡無料駐車場・コインランドリー・１００円ショップ・バイキング形式の居酒屋など、あると便利な施設が揃っております♪♪,【アクセス】伊万里駅より車で5分,エリア ： 佐賀県 > 伊万里・有田,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥6,796〜","（￥3,398〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,ビジネスホテル　新天,/yad330840/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330840&callbackHistFlg=1,■広い客室（約29,,エリア ： 佐賀県 > 伊万里・有田,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,セントラルホテル伊万里,/yad347404/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347404&callbackHistFlg=1,焼物の里、伊万里のビジネスホテル。ＪＲ駅より徒歩1分!!平面大駐車場無料!!安心価格が自慢です♪ビジネスに、観光の拠点に、使い方はお客様次第。きっとご満足いただけます。[館内]Wi-Fi接続無料!!,【アクセス】伊万里駅より徒歩1分！！,エリア ： 佐賀県 > 伊万里・有田,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥6,481〜","（￥3,240〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,伊万里グランドホテル,/yad364504/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=364504&callbackHistFlg=1,２００８年９月、全館リニューアル!!新しく清潔な部屋で、ゆったりお過ごしください。男女別の大浴場・サウナも完備。またマッサージ師も常駐(日曜以外)。朝食も大好評♪ビジネスに観光に是非どうぞ♪,【アクセス】伊万里駅より徒歩７分,エリア ： 佐賀県 > 伊万里・有田,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥8,611〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,フォレストイン伊万里,/yad369150/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369150&callbackHistFlg=1,都会の喧騒を離れ、大自然の中で極上のいやしと食通が賞賛するお料理をご堪能下さい。特別のひととき、こころづくしのおもてなしで皆様のお越しを心よりお待ちしております。,【アクセス】ＪＲ伊万里駅下車、タクシーで１０分,エリア ： 佐賀県 > 伊万里・有田,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥30,555〜","（￥15,277〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,旅館初音荘,/yad305352/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305352&callbackHistFlg=1,★全館・全室Wi-Fi無料利用OK★お子様連れには嬉しい【幼児２食付無料】プラン♪入学や卒園を迎えるお子様のお祝い旅行にももってこい♪●九州でも珍しい畳風呂やキッズルームも人気の秘密？！●,【アクセス】嬉野ＩＣを出て直進し嬉野川を渡り一つ目の信号右折。（嬉野インターより無料送迎有り。お電話にて要予約）,エリア ： 佐賀県 > 嬉野,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥8,000〜","（￥4,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,ひさご旅館,/yad313922/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313922&callbackHistFlg=1,３代目若旦那のお料理をお部屋食で！美肌温泉【貸切みかん風呂】で楽しんで！カップル、ご家族の方限定【似顔絵プレゼント】は旅の思い出！個性あふれるイゴコチのいい空間を是非、見つけてください。,【アクセス】長崎市内から高速で40分。福岡市内から1時間40分。嬉野ICより車で５分。,エリア ： 佐賀県 > 嬉野,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥9,907〜","（￥4,953〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,旅館　吉田屋,/yad315653/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315653&callbackHistFlg=1,【2014ミシュランガイド福岡・佐賀】で３パビリオン受賞☆今年オープンの新客室・専用個室で戴く懐石料理・リニューアルしたエステルームや岩盤浴・貸切風呂でトロットロ温泉、お昼はKiHaKoでイタリアン♪,【アクセス】博多駅より高速バス約１３０分JR嬉野温泉駅より徒歩７分長崎空港より車35分ハウステンボスより車４０分,エリア ： 佐賀県 > 嬉野,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥25,000〜","（￥12,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,旅館千湯楼,/yad315831/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315831&callbackHistFlg=1,奥嬉野の自然溢れる山間に佇む静寂が心地よい宿。クチコミ4.8点の夕食は部屋でゆっくりとお召し上がり頂けます。バリアフリーの客室あり。日頃の喧騒から解放されるひと時をお過ごし下さい。館内無線LAN完備,【アクセス】嬉野インターより１０分（嬉野ＩＣ直進　３４号線を右折【長崎方面】へ更に【轟←信号名】より左折直進）,エリア ： 佐賀県 > 嬉野,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥20,000〜","（￥10,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,ビジネス旅館　千代乃屋,/yad321288/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321288&callbackHistFlg=1,当館は町の中央にあり付近には食堂スナック等あり便利。仕事での長期滞在歓迎！温泉も満喫できる！他のホテルの温泉入浴券を進呈。飲食物持込自由、各室冷蔵庫完備、滞在のお客様には衣類洗濯サービスあり。,【アクセス】ＪＲ長崎線武雄下車、ＪＲバスで嬉野下車徒歩8分、高速嬉野インターから5分。福岡からは高速バスが便利。,エリア ： 佐賀県 > 嬉野,2016-03-28 01:19:50,2016-03-28 01:19:50,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
