id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6208,ホテルオークラＪＲハウステンボス,/yad314655/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314655&callbackHistFlg=1,☆カフェテラスの朝食で自慢のオムレツは、ひとつひとつシェフが目の前でお作りします。選べる具材も美味しさの秘訣。　　☆1室2名様まで小学生以下の添い寝ご利用いただけます。（食事・寝具の利用無し）,【アクセス】ＪＲ大村線ハウステンボス駅下車徒歩３分。佐世保大塔ＩＣより車で約２０分。,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥14,814〜","（￥7,407〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6209,ホテルアムステルダム 【ハウステンボス　ザ・スリーホテルズ】,/yad318075/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318075&callbackHistFlg=1,パーク内にある唯一のホテル。九州じゃらん人気観光地3年連続１位♪【ハウステンボス】！！さらに、ホテルアムステルダムロビーコンサートが無料に！三世代、ご家族におすすめ。,【アクセス】JR博多駅より特急ハウステンボス号で1時間40分。西九州自動車道佐世保大塔ICより車で10分。,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥28,888〜","（￥14,444〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210,ホテル日航ハウステンボス,/yad326854/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326854&callbackHistFlg=1,２０１６年度電気法定点検に伴う停電のお知らせ（重要）■日時：平成２８年４月２１日（木）午前２時〜５時頃　※４月２０日ご宿泊のお客様が対象です。■内容：ホテル館内全てが作業停電となります。,【アクセス】西九州自動車道大塔ICより10分。長崎空港よりバスで60分。JRハウステンボス駅より徒歩10分。,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥13,888〜","（￥6,944〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6211,フォレストヴィラ 【ハウステンボス　ザ・スリーホテルズ】,/yad330750/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330750&callbackHistFlg=1,人気観光地２年連続１位♪【ハウステンボス】！！美しい森に囲まれた湖畔のコテージ。自然と調和するリゾートで心身をリラックス。そこは森と湖に抱かれた静寂のコテージ。,【アクセス】JR博多駅より特急ハウステンボス号で1時間40分。西九州自動車道佐世保大塔ICより車で10分。,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥36,111〜","（￥18,055〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6212,ウォーターマークホテル長崎ハウステンボス,/yad341214/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=341214&callbackHistFlg=1,海外リゾートに訪れたかのような解放感あふれるモダンヨーロピアンスタイルのホテル◇大人一名に付き幼児添い寝一名無料◇小犬とのご宿泊可◇全室無料Wi-Fi完備,【アクセス】JR九州ハウステンボス駅よりホテル受付まで徒歩５分、長崎空港高速船マリンターミナルより徒歩１分,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥12,500〜","（￥6,250〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,ホテルヨーロッパ 【ハウステンボス　ザ・スリーホテルズ】,/yad379035/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379035&callbackHistFlg=1,人気観光地3年連続１位♪【ハウステンボス】！！高級クラシックホテルで花と音楽と、最高の食事を。お部屋、お食事、おもてなしのすべてに上質を追及したプレミアムなホテル。,【アクセス】JR博多駅より特急ハウステンボス号で1時間40分。西九州自動車道大塔ICより車で10分。,エリア ： 長崎県 > ハウステンボス,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥44,444〜","（￥22,222〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6214,湯ノ本温泉　旅館千石荘,/yad306616/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306616&callbackHistFlg=1,郷ノ浦港より車で20分・芦辺港より15分。湯の本のバス停からも徒歩2分なので、壱岐島の観光の拠点に最適です♪家族経営の小さなお宿で、真心込めたおもてなしで皆様をお迎え致します。,【アクセス】博多より九州郵船フェリー・高速船利用郷ノ浦港より車で２０分・芦辺港より１５分,エリア ： 長崎県 > 壱岐,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,ビューホテル壱岐,/yad319161/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319161&callbackHistFlg=1,クチコミ夕食部門九州エリア3位入賞(2011年5月)海と港を目の前に臨む全室オーシャンビューの料理自慢の宿。新鮮な海の幸と美しい海をお楽しみ下さい♪ビジネスプラン・期間限定プラン６月まで延長♪,【アクセス】郷ノ浦港徒歩5分・芦辺港車20分・印通寺港車15分【各送迎可※要予約】島内観光に便利な立地です,エリア ： 長崎県 > 壱岐,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,民宿　繁屋千賀荘,/yad319314/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319314&callbackHistFlg=1,壱岐空港から車で3分！目の前は大きな海♪錦浜と大浜という美しいビーチをはさむ岬に立つ絶景の宿。料理と景色はどこにも負けません！雄大な自然の眺めと壱岐の島グルメを存分にお楽しみください。,【アクセス】壱岐空港から車で3分／印通寺港から車で5分。印通寺港・芦辺港・郷ノ浦港・空港から送迎有り（要事前予約）,エリア ： 長崎県 > 壱岐,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥8,888〜","（￥4,444〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6217,旅館ニュー長州,/yad321342/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321342&callbackHistFlg=1,都会から高速船で約1時間…新鮮な海の幸に恵まれた≪壱岐島≫美味しい海の幸が食べたくなったら≪壱岐島≫までお越し下さい。あたたかいおもてなしと美味しい料理をご用意してお待ちしております♪,【アクセス】フェリー：印通寺港フェリーターミナルよりタクシー2分　　飛行機：壱岐空港よりタクシー10分,エリア ： 長崎県 > 壱岐,2016-03-28 01:19:28,2016-03-28 01:19:28,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
