id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,旅館金時,/yad307113/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307113&callbackHistFlg=1,阿蘇・内牧温泉の中心街に位置し、観光の拠点としても便利な立地。季節毎の趣向を凝らした食事と良質の温泉が人気。大浴場は２４時間いつでも入浴OKで貸切家族湯や個室の食事処などの配慮も嬉しい。,【アクセス】九州自動車道熊本ICから阿蘇方面へ40分,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,ベルバード,/yad311498/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311498&callbackHistFlg=1,露天岩風呂・内湯等全て無料貸切。お食事は吹き抜けのダイニングホールで洋食が楽しめます。乙姫温泉、ゴルフ、乗馬、テニスも出来ます。カドリードミニオンの前売り券があります。,【アクセス】ＪＲ豊肥本線内牧駅下車徒歩25分。九州自動車道熊本IC阿蘇方面へ約40分。,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,ホテルサンクラウン大阿蘇,/yad316867/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=316867&callbackHistFlg=1,阿蘇の中心に位置し、観光やビジネスに抜群の利便性！夕食は予約にて、会席料理やあか牛ディナー、あか牛ハンバーグなど承っております！温泉や大浴場はありませんが、ご満足頂ける事と思います。,【アクセス】JR豊肥線　宮地駅より約９００ｍ　徒歩１０分　タクシー３分。　九州自動車道　熊本ICより阿蘇方面５０分,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥9,351〜","（￥4,675〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,阿蘇の司ビラパークホテル＆スパリゾート,/yad333314/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333314&callbackHistFlg=1,ステーキ・バイキング・和会席に焼肉などの多彩なプラン＆貸切風呂に温水プールなどなど、遊びきれない楽しさ満載。人気のカドリーまでも車で1分！ファミリーも二人旅も、阿蘇を司で遊び倒そう！,【アクセス】熊本インターチェンジより、国道５７号線を大分方面に約５０分。熊本駅より（豊肥本線阿蘇駅）特急で1時間,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥16,296〜","（￥8,148〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,旅の宿　阿蘇乃湯,/yad333759/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333759&callbackHistFlg=1,阿蘇の田舎情緒あふれ穏やかな時間が流れる宿。天然温泉かけ流しの大浴場に露天風呂、貸切風呂や足湯で湯の癒しを満喫。阿蘇の郷土の味と真心でおもてなし。懐かしさと愛おしさがただよう昔ながらの湯宿。,【アクセス】熊本ＩＣより車で約50分、阿蘇くまもと空港より約45分。ＪＲ内牧駅より約10分。,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,泰山荘,/yad338354/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338354&callbackHistFlg=1,「家にいるときのようにゆったり寛いでほしい」そんな思いでサービスをさせていただいております。大観峰や阿蘇山頂への中継に最適な内牧温泉と、主人が自ら腕によりをかけて作る料理でお寛ぎいただけます。,【アクセス】ＪＲ阿蘇駅より車で7-8分,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥16,851〜","（￥8,425〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,ウィンディ・アンブレラ,/yad358380/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=358380&callbackHistFlg=1,★夕食部門クチコミ★最高評価をありがとうございます★家族湯と露天ジャグジーバス、季節のフレンチコースと人気のハーブティ、天然酵母の自家製パンなどを景色の良いダイニングで素敵なBGMとともに...,【アクセス】熊本インターより車で５０分。ＪＲ内牧駅・阿蘇駅より車で１０分。（無料送迎有15:00〜17:00要連絡）,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥8,703〜","（￥4,351〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,阿蘇内牧温泉　ホテル角萬（ＢＢＨホテルグループ）,/yad359456/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=359456&callbackHistFlg=1,〜全国約90店舗展開中のＢＢＨホテルグループ〜阿蘇五岳を一望できるロケーション阿蘇の観光名所人気テーマーパーク好アクセス。コンビニ・ドラックストアー・生鮮食品スーパー近い絶好の立地,【アクセス】九州道熊本ＩＣより車約50分。ＪＲ豊肥線阿蘇駅よりタクシー約7分,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,アリスのシャンピニオン,/yad368968/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=368968&callbackHistFlg=1,季節ごとにかわる創作欧風料理はシェフ歴27年のオーナーママ自信のオリジナルでファンも多い。心身ともにリフレッシュできる小さな宿,【アクセス】九州縦貫道熊本インターより車で５０分。ＪＲ阿蘇駅からタクシーで１０分。,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,やすらぎの宿　宿房　あそ,/yad308920/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308920&callbackHistFlg=1,昔ながらの大農家が営む、ごちそう自慢・もてなし自慢の人気宿がついに登場！本誌でも常に高い評価を得続けている、心づくしの手料理と貸切家族風呂。名物社長「おいちゃん」は夏野菜の収穫作業に大忙し♪,【アクセス】九州道熊本ICより車約40分、ＪＲ豊肥線阿蘇駅より車約3分,エリア ： 熊本県 > 阿蘇・内牧,2016-03-28 01:19:01,2016-03-28 01:19:01,"￥22,222〜","（￥11,111〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
