id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5959,臼杵　湯の里,/yad301445/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301445&callbackHistFlg=1,国宝臼杵石仏まで車で2分すぐ側にゴルフコース場も在り。観光レジャービジネスに最適。臼杵と言えば本場とらふぐ料理。知る人ぞ知る贅沢三昧、豪快なとらふぐの厚引き。このふぐ刺しの食感は臼杵だけ。,【アクセス】JR臼杵駅より車で約5分、臼杵インターより車で約2分、フェリー乗場より車で約5分,エリア ： 大分県 > 臼杵・佐伯,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥12,407〜","（￥6,203〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5960,HOTEL AZ 大分津久見店,/yad314504/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314504&callbackHistFlg=1,津久見駅から徒歩約４分。ホテル裏は碧々とした海が広がり、海側のお部屋からの眺めは最高！そして夜はまた違った景色を楽しめます。もちろん山側のお部屋からは、津久見の自然と星空を楽しむ事ができます。,【アクセス】JR津久見駅より徒歩約４分。東九州自動車道津久見インターから車で約５分。,エリア ： 大分県 > 臼杵・佐伯,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥7,796〜","（￥3,898〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5961,ホテルルートイン佐伯駅前,/yad344930/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=344930&callbackHistFlg=1,朝食バイキング無料サービス◆大浴場『旅人の湯』◆無料平面駐車場敷地内34台、敷地外40台（敷地内・外とも先着順）◆全客室Wi-Fi･LANご利用可能◆大型ランドリー完備◆加湿機能付き空気清浄機全室完備◆,【アクセス】日豊本線佐伯駅の隣、東九州自動車道佐伯インターより車で12分,エリア ： 大分県 > 臼杵・佐伯,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥9,722〜","（￥4,861〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962,海鮮の宿　まつ浦　,/yad350016/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350016&callbackHistFlg=1,佐伯藩の城下町として栄え、「佐伯の殿様、浦でもつ」と言われる程の豊富な海の幸と山の幸に恵まれた佐伯に新オープンの料理宿。佐伯の新鮮魚介と精肉店直営のこだわりの黒毛和牛を使った懐石をご堪能下さい,【アクセス】佐伯ＩＣより車で約20分,エリア ： 大分県 > 臼杵・佐伯,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5963,ホテル金水苑,/yad396408/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=396408&callbackHistFlg=1,JR佐伯駅前に位置するくつろぎのホテル。宿泊棟向かいの建物には、レストラン番匠亭・ラウンジ花筏他、宴会等のご利を用承ります。※当館は二棟に分かれております。チェックインは宿泊棟にお越し下さい。,【アクセス】ＪＲ佐伯駅より徒歩3分、東九州自動車道、佐伯ＩＣより車で10分,エリア ： 大分県 > 臼杵・佐伯,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5964,長湯温泉　やすらぎの宿　かどやRe,/yad369770/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369770&callbackHistFlg=1,Ｒｅはリラックス、リフレッシュ、リメンバー、リターンの頭文字。その名の通り、我が家の様にのんびりと心行くまでお寛ぎ下さい。あたたかなもてなし大切に皆様のご来館お待ち申し上げております。,【アクセス】豊後竹田駅よりバスで５０分、バス停「長湯車庫前」下車徒歩５分,エリア ： 大分県 > 久住・長湯・竹田,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥10,370〜","（￥5,185〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5965,健康美食と炭酸・美肌の湯　御宿　友喜美荘,/yad304332/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304332&callbackHistFlg=1,中心街より２ｋｍほど離れた山の中にある平屋造りの一軒宿。静けさと澄んだ空気と絶景の星空が自慢。若主人が作る旬の素材を使った月替りの創作料理は絶品。ゆっくりと時間を忘れて過ごせる癒しの宿。,【アクセス】1ＪＲ豊肥本線、豊後竹田駅より、バスにて40分長湯車庫下車2湯布院ＩＣより湯平温泉〜直入方面へ45分,エリア ： 大分県 > 久住・長湯・竹田,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥12,407〜","（￥6,203〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5966,くぬぎの森のオーベルジュ　きのこII世号,/yad305294/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305294&callbackHistFlg=1,くぬぎに囲まれた８千坪の広大な敷地に３つの宿泊棟が点在。貸切露天も有、専用天文台からの星空観察も,【アクセス】大分自動車道湯布院インターよりやまなみハイウェーを阿蘇方面へ50分，瀬の本交差点を竹田方面へ7キロ。,エリア ： 大分県 > 久住・長湯・竹田,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5967,山の湯　かずよ,/yad308916/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308916&callbackHistFlg=1,豊富な湯量と炭酸やミネラルなどを多く含んだ抜群の泉質が自慢の大分県の「長湯温泉」。消化器系への効能が高く、美肌の湯としても知られる女性に嬉しい温泉です。お疲れ女子のおひとり様宿泊も大歓迎！,【アクセス】JR豊肥線豊後竹田駅下車。長湯温泉行きバス乗車、新橋バス停下車／大分自動車道・湯布院ICより車で約1時間,エリア ： 大分県 > 久住・長湯・竹田,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥12,592〜","（￥6,296〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5968,ザ　ガンジー　ホテル＆リゾート,/yad312586/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312586&callbackHistFlg=1,クチコミ総合４.８★全ての客室から阿蘇五岳が臨め、久住高原の四季の変化を満喫できるホテル。精肉店直営の豊後牛ステーキと和洋折衷コース料理、源泉掛け流しの炭酸水素塩泉で上質の癒しをご堪能下さい,【アクセス】JR豊後竹田駅・黒川バス停より１７時まで無料送迎実施中！湯布院IC〜車で６０分　ＪＲ豊後竹田駅〜車で30分,エリア ： 大分県 > 久住・長湯・竹田,2016-03-28 01:19:40,2016-03-28 01:19:40,"￥13,481〜","（￥6,740〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
