id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,恵の湯　神の郷温泉,/yad359285/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=359285&callbackHistFlg=1,北霧島の裾野、杉木立に囲まれた静かな佇まい。温泉は全て源泉掛け流しで飲用も可能。ご宿泊は本館、離れよりお選びいただけます。夕食は地元の旬の食材をつかった郷土料理をご用意致しております。,【アクセス】ＪＲ吉都線小林駅下車、タクシーで１０分。宮崎自動車道小林ＩＣより車で１０分。,エリア ： 宮崎県 > えびの・都城,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥12,870〜","（￥6,435〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,ベッセルホテル都城,/yad364257/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=364257&callbackHistFlg=1,リーズナブルな料金で広い客室に全室クィーンサイズ(150cm幅)のベッドを設置。朝食、ネット接続、平面駐車場が無料。都城ICから4kmで、18歳以下のお子様は添い寝無料と、ビジネスにも・家族旅行にも最適！,【アクセス】「都城IC」から４Km,エリア ： 宮崎県 > えびの・都城,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,185〜","（￥2,592〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,九州山河料理　極楽温泉　匠の宿,/yad375184/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=375184&callbackHistFlg=1,極楽温泉　匠の宿は、高千穂の峰(霧島連山)の麓に佇む、昔の懐かしさを思わせる宿です。,【アクセス】ＪＲ高原駅／宮崎自動車道高原,エリア ： 宮崎県 > えびの・都城,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥12,407〜","（￥6,203〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,HOTEL AZ 宮崎延岡店,/yad338048/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338048&callbackHistFlg=1,お客様のニーズに合わせたリーズナブルなビジネスホテルです☆彡無料駐車場・コインランドリー・１００円ショップ・バイキング形式の居酒屋など、あると便利な施設が揃っております♪♪,【アクセス】延岡道路　延岡ＪＣＴより車で18分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,ＥＴＯランド,/yad301392/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301392&callbackHistFlg=1,お子様から大人までみんなが楽しめる♪遊具で遊んだり、景色を眺めたり展望風呂で癒されたり…。自然の中で思い思いの時間をお過ごしいただけます。ご夕食の延岡発祥「チキン南蛮」も好評です☆,【アクセス】ＪＲ延岡駅から車で５０分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,ホテルメリージュ延岡,/yad310885/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310885&callbackHistFlg=1,延岡市の中心地（歓楽街へ徒歩３分）清流・五ヶ瀬河畔に位置した最高のロケーション。人が出会い人が集う、人に優しいハートビル法適合シティホテルです。全館『Wi-Fi』無料！！,【アクセス】国道10号線・延岡大橋北詰、昭和町交差点を２１８号線に入り高千穂方面へ。約２分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥6,000〜","（￥3,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,延岡ロイヤルホテル（ＫＯＳＣＯＩＮＮグループ）,/yad338965/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338965&callbackHistFlg=1,平成28年1月15日よりKOSCOINNグループとしてリニューアルオープン致しました!!朝食無料サービス・全室無線LAN完備！！シャンプーバーや無料ティーサーバーも設置して、お客様をお待ち致しております！！,【アクセス】JR延岡駅より徒歩10分。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥3,685〜","（￥1,842〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,シティホテルプラザ延岡,/yad341023/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=341023&callbackHistFlg=1,ＪＲ延岡駅の改札口をでてすぐ左側！ビジネスにレジャーにおすすめです。都会派感覚の近代的で清潔な建物が女性にも大好評のビジネスホテルです！★全１８６室★インターネット無料接続★Wi-Fi対応★,【アクセス】ＪＲ延岡駅下車徒歩１分。九州自動車〜御船ＩＣ〜国道４４５号線〜２１８号線で車で２時間３０分。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,プラザホテル延岡リーヴァ,/yad353510/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=353510&callbackHistFlg=1,全館WI-FI完備。プラグインハイブリット車、電気自動車用充電スタンド完備。シャンプーＢＡＲを始め、入浴剤・無料アメニティも充実！漫画コーナー・レンタルサイクル有りの都市型ホテルです。,【アクセス】JR日豊本線延岡駅下車徒歩１２分。延岡駅より路線バス乗車５分宮崎交通中央通二丁目バス停下車徒歩２分。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥4,629〜","（￥2,314〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,ビジネスホテルフクハラ(KOSCOINNグループ),/yad359176/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=359176&callbackHistFlg=1,ホテルフクハラではお得なプランを多数掲載しております♪AM6:30〜AM9:00まで朝食無料バイキングサービス実施しています(･∀･)★,【アクセス】ＪＲ延岡駅より船倉方面へ、徒歩で10分。車で約5分。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥4,611〜","（￥2,305〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,ビジネスホテルくどう,/yad363974/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=363974&callbackHistFlg=1,◆コンビニまで徒歩一分以内◆◆駐車場無料(台数制限あり)◆,【アクセス】JR日豊本線(佐伯‐鹿児島中央)延岡駅改札を出て、県道16号線を渡り、南へ200mほど。徒歩3分。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥4,351〜","（￥2,175〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,延岡第一ホテル,/yad371991/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=371991&callbackHistFlg=1,4月1日より料金大幅値下げします。シングル2食付４．５００円、素泊り３．０００円。屋上には大浴場があります（男性専用、金、土、日曜日は休むことがあります）。クレジット不可,【アクセス】宮崎インターより120分、高千穂より60分、大分より120分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥4,629〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,ホテルルートイン延岡駅前,/yad376296/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376296&callbackHistFlg=1,延岡駅前すぐ！◆大浴場有◆バイキング朝食無料サービス◆全室無料LAN･26型TV･VOD完備◆コインランドリー有◆WAON･ID支払可◆コンビニすぐ！◆団体様応相談◆延岡で１番新しいホテルです。,【アクセス】JR日豊本線　延岡駅より約80m徒歩1分／延岡バスセンターより約80m徒歩1分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,ビジネスホテル東洋,/yad376319/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376319&callbackHistFlg=1,延岡市の中心地に位置し、飲食店街と市役所まで１００ｍ！宮崎→大分を結ぶ、延岡ＩＣまで車５分！ビジネスにも観光にもアクセス最高です。飲食店街からの距離が安眠をお約束します。,【アクセス】延岡ＩＣから５分、延岡市役所から東へ１００メートのＮＴＴ延岡の前です。８階建のグリーンの建物です。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥6,944〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,ＫＥＮＲＯＫＵＥＮ　ＩＮＮ,/yad377105/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=377105&callbackHistFlg=1,"鞄ひとつで楽ちんステイ〜♪ウィークリーマンションのようにお使い頂けます。２食付4,740円〜",【アクセス】JR日豊本線延岡駅下車　徒歩３分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,925〜","（￥2,962〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,延岡アーバンホテル,/yad379542/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379542&callbackHistFlg=1,★全館Ｗｉ-Ｆｉ対応　★３２型ＴＶ導入(ツインは４０型）　★ＢＳ受信　延岡市の中心地！飲食店街に隣接！立地最高です！※この度、延岡アーバンホテルは「適マーク」を交付されました※,【アクセス】延岡駅から車で5分,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥6,388〜","（￥3,194〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,駐車場無料　駅正面に位置するホテル　ビジネスホテル延岡,/yad393745/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393745&callbackHistFlg=1,とってもアットホーム！土日や連休も値上げなしの365日同料金。東九州でのビジネス、観光の拠点にぜひご利用下さい♪★インターネット接続無料（無線LAN）★ウォシュレット完備　★駐車場無料,【アクセス】ＪＲ日豊本線延岡駅から徒歩１分以内。宮崎交通「延岡バスセンター」目の前,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥4,629〜","（￥2,314〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,旅館兼六園,/yad394002/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=394002&callbackHistFlg=1,延岡駅から徒歩3分。サウナ付の個性あふれる観音風呂で汗を流し、新鮮な海の幸のお食事で風呂上がりの一杯を！ビジネス滞在や合宿に便利で、毎日食事メニューが変わる。周辺の観光スポットも充実している。,【アクセス】日豊本線延岡駅より徒歩3分。道路アクセス至便。駐車場は無料で、４ｔトラック・マイクロバスも可。,エリア ： 宮崎県 > 延岡,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥6,851〜","（￥3,425〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,リッチモンドホテル宮崎駅前,/yad300572/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300572&callbackHistFlg=1,宮崎駅東口より徒歩２分の好立地！隣にコンビニエンスストアあり！広い客室に明るい照明と大型机を完備◆お部屋でより寛げるアメニティをプレゼント◆Wi-Fi全室無料◆朝食の和洋食バイキングリニューアル☆,【アクセス】JR宮崎駅東口より徒歩２分、宮崎空港よりJRで10分、宮崎自動車道宮崎ICより車で約15分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
