id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,湖畔の宿　みどり荘,/yad308104/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308104&callbackHistFlg=1,県外のリピーターも多く。口コミも高得点！鹿児島空港や鹿児島市内より車で６０分。知覧・指宿の観光アクセスにもとても便利。どのプランからもＯＫ！の日置市限定のレンタカーキャッシュバックも大人気！,【アクセス】鹿児島中央駅下車、鹿児島交通加世田方面へ伊作バス停下車、車で５分,エリア ： 鹿児島県 > 伊集院・東市来・吹上浜,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥18,148〜","（￥9,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544,HOTEL AZ 鹿児島伊集院店,/yad315203/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315203&callbackHistFlg=1,お客様のニーズに合わせたリーズナブルなビジネスホテルです☆彡館内には、コインランドリーや１００円ショップ、居酒屋など、あると便利な施設が揃っております♪♪,【アクセス】南九州自動車道　伊集院ＩＣから車で4分,エリア ： 鹿児島県 > 伊集院・東市来・吹上浜,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,ＯＣＥＡＮ　ＲＥＳＯＲＴ　えぐち家　,/yad368008/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=368008&callbackHistFlg=1,【全１９室の小さな絶景オーシャンビューホテル】≪鹿児島第４のリゾート地≫として大注目のエリア★開業４周年企画の１万円プラン＆秋のタイムセールも実施中♪カップルや２人旅行にお勧めプランが充実！,【アクセス】鹿児島ICから車で４０分　鹿児島空港から車で６０分（有料道路使用）　JR湯之元駅より車で５分,エリア ： 鹿児島県 > 伊集院・東市来・吹上浜,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥14,000〜","（￥7,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3546,ホテル　カレッタ,/yad338616/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338616&callbackHistFlg=1,海が目の前30秒の場所に広がるホテル♪子供用深さ50cmのプールもある☆ビーチリゾートホテルが奄美にＯＰＥＮ☆焼きたてパンの朝食パンビュッフェが人気☆バニラエアに合わせた送迎プランも新登場！！,【アクセス】奄美空港から車で15分（送迎あり前日までに要予約）、駐車場無料,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547,ペンションハーラ,/yad341240/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=341240&callbackHistFlg=1,対岸には、加計呂麻島が広がり施設からのサンセットが最高。奄美を楽しむ拠点にはもってこいの立地です。ご朝食は、洋食・和食から選べますのでチェックイン時にお伝え下さい。朝食時間7：30〜9：30,【アクセス】奄美空港より車で約120分、瀬戸内町古仁屋から車で５分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥12,962〜","（￥6,481〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3548,レスト＆ロッジ翔,/yad354134/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=354134&callbackHistFlg=1,奄美の自然を満喫し、奄美の食材をほおばり、奄美のスピリッツ(魂)黒糖焼酎を豪快に呑み干し、奄美の文化に触れ、(人との会話)を楽しむ。(＾−＾)奄美を感じて頂くスタッフと共に笑顔あふれる宿です。,【アクセス】奄美空港より車で約5分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549,ＴＨＥ　ＳＣＥＮＥ(ザ　シーン）,/yad361062/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=361062&callbackHistFlg=1,心がほぐれるプライベートビーチ奄美大島の最南端だからこその静けさと、大自然の美しさをお楽しみください。あなただけのコンシェルジュが快適なバカンスをサポート致します。,【アクセス】奄美空港より車で約120分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥30,000〜","（￥15,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,ホテル　カリフォルニア,/yad308580/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308580&callbackHistFlg=1,奄美市繁華街から車で５分の好立地。テラスからの景色は最高。沈む夕日は奄美１・２を争う絶景。お食事は１Ｆフレンチレストラン「アガルイ」で異国情緒をお楽しみください。,【アクセス】奄美空港から車で50分。名瀬新港から車で１０分。路線バス「小浜町（こはまちょう」バス停から徒歩１０分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3551,ゲストハウス涼風,/yad310750/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310750&callbackHistFlg=1,日本の海水浴場百選に選ばれた名瀬大浜海浜公園へ車で10分、宿の部屋からバードウォッチングが出来ます、お迎無料（名瀬市）レンタカー、レンタルバイク有りチェックイン時にシーツ代300円が加算されます。,【アクセス】名瀬新港より車で5分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥27,407〜","（￥13,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552,プチリゾート　ネイティブシー奄美,/yad315960/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315960&callbackHistFlg=1,2013年6月全室リニューアル！手つかずの自然が残る奄美の中でも透明度抜群の倉崎ビーチすぐ。スノーケル・ダイビングでの感動体験♪アダンの木陰やテラスカフェで微睡むひとときに癒される…,【アクセス】東京羽田空港より奄美空港直行便２時間２５分/大阪伊丹空港より奄美空港直行便１時間３０分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥17,222〜","（￥8,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3553,奄美リゾート ばしゃ山村,/yad325560/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=325560&callbackHistFlg=1,奄美リゾートばしゃ山村は、時間を忘れてゆっくり奄美を満喫したい方にぴったりの宿です。きらきら光る海を眺めてのご朝食やアロママッサージ。そして島人体験や海水風呂があなたの疲れた身体を癒します。,【アクセス】奄美空港より車で約10分,エリア ： 鹿児島県 > 奄美大島,2016-03-28 01:18:40,2016-03-28 01:18:40,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
