id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,赤坂ホテル,/yad301102/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=301102&callbackHistFlg=1,沖縄市役所隣、コンビニローソンまで120m、沖縄子供の国（動物園）。異国情緒のゲート通り、パークアヴェニューは近い、全室光ネット、ＷｉＦｉ設置、洗浄器付トイレ。本島中間部で中北部へ交通移動便利,【アクセス】那覇空港から車で約40分。沖縄南ICから車で約10分。パークアベニューまで徒歩約10分。子供の国まで車で5分,エリア ： 沖縄県 > 沖縄市（コザ）,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥4,629〜","（￥2,314〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,東京第一ホテルオキナワグランメールリゾート,/yad371622/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=371622&callbackHistFlg=1,那覇空港、アメリカンビレッジ（北谷）の往復シャトルバス無料運行！あると便利な『お役立ちアイテム』で快適なホテル滞在を★ファミリーに人気の≪和室≫あり！屋内プールは年中無料でご利用いただけます。,【アクセス】車で那覇空港より約50分、北中城ICより約15分、アメリカンビレッジまで約20分、恩納村まで約40分,エリア ： 沖縄県 > 沖縄市（コザ）,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,ラグナガーデンホテル,/yad329853/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329853&callbackHistFlg=1,那覇空港より車で約30分。沖縄本島のほぼ中央・宜野湾市に立地するフットワークのよさ。海浜公園に位置し、海もあり、那覇や北谷への街も近くレジャーはもちろん、ビジネスでもご利用いただけるホテルです。,【アクセス】那覇空港よりタクシー・車で約30分、リムジンバス「花号」ラグナガーデンホテル前下車、約50分,エリア ： 沖縄県 > 宜野湾,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,ムーンオーシャン宜野湾 ホテル＆レジデンス,/yad397596/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397596&callbackHistFlg=1,お陰様で5周年【お得な記念プラン販売中】西海岸のリゾート＆コンベンションエリアに堂々とそびえ建つ！宜野湾マリーナを眼下に、コバルトブルーに輝く海を一望。観光に、ビジネスに、長期滞在も最適！,【アクセス】那覇空港から車で約３０分。那覇市内より車で約２０分。,エリア ： 沖縄県 > 宜野湾,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥13,194〜","（￥6,597〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,サンズハウス大山,/yad399466/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=399466&callbackHistFlg=1,当施設の周りにはリゾートビーチ、宜野湾海浜公園、宜野湾マリーナなど様々な施設が集積しており便利な立地環境です。青空が広がる海でのマリンスポーツやバーベキューも魅力です！オーシャンビューの個室！,【アクセス】＊車で御越しの方：那覇空港より25分＊バスで御越しの方：那覇空港バス乗り場より50分,エリア ： 沖縄県 > 宜野湾,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥14,351〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,久米島イーフビーチホテル,/yad312912/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=312912&callbackHistFlg=1,久米島唯一のオン・ザ・ビーチホテル久米島唯一のホテル併設、ビーチ展望風呂夏はビーチで思いっきり海を満喫！！！冬はお風呂で心も体もポッカポカ！！！いつ来ても久米島を楽しめるリゾートホテル,【アクセス】久米島空港より車で20分、港より車で15分。目の前イーフビーチ!!,エリア ： 沖縄県 > 久米島,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥8,888〜","（￥4,444〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,リゾートホテル久米アイランド,/yad358620/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=358620&callbackHistFlg=1,＜マリンレジャー充実＞沖縄本島から飛行機で約30分のリゾートアイランド★日本の渚百景「イーフビーチ」まで徒歩1分！オススメマリンツアーやダイビングスポットは、専任スタッフへお気軽にご相談下さい。,【アクセス】久米島空港より車で約20分。イーフビーチまで徒歩1分。海洋深層水温浴施設バーデハウス久米島まで車で約5分,エリア ： 沖縄県 > 久米島,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,ホテルガーデンヒルズ,/yad370065/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=370065&callbackHistFlg=1,久米島空港から車で10分、フェリー到着港の兼城港から徒歩3分の好立地。繁華街にも隣接しており、ビジネスに観光にとても便利。ホテルのガーデンからは、海に沈む夕日と夜は星空が楽しめる（晴天時）。,【アクセス】久米島空港から車で約10分　兼城港から徒歩約3分　兼城バス停より徒歩約1分,エリア ： 沖縄県 > 久米島,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥7,962〜","（￥3,981〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,民宿　なんくるないさぁ,/yad388852/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388852&callbackHistFlg=1,豊かな自然を楽しめるのはもちろん、歩いて5分圏内コンビニ、飲食店もあり、また全室LAN接続無料の便利さ！「なんくるないさぁ〜」などの”うちなぁぐち”や三線体験など島の文化にも触れあえる宿。,【アクセス】久米島空港から車で約15分,エリア ： 沖縄県 > 久米島,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥8,750〜","（￥4,375〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,ゲストハウスＹＵＮＡＰＡ,/yad305942/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=305942&callbackHistFlg=1,東洋一美しい与那覇前浜ビーチまで自転車で約５分。サンセットは絶景！！夜には泡盛片手に満点の星空を堪能できます！,【アクセス】宮古空港より車で約1０分　　平良市街地まで車で約15分　スーパーコンビ二まで車で約１分,エリア ： 沖縄県 > 宮古島,2016-03-28 01:25:54,2016-03-28 01:25:54,"￥7,407〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
